['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-08-01', '2021-10-01', '38', '19.0', '-21.8', 178, '39', '1.87', '8.19', '3', '7', 926, -618, '15', '23', '5.71']
['ETH-USDT', '5m', 'ETH-USDT', '2021-08-01', '2021-10-01', '46', '126.17', '-14.36', 12106, '50', '5.64', '843.16', '5', '4', 1893, -1295, '23', '23', '18.51']
['SOL-USDT', '5m', 'SOL-USDT', '2021-08-01', '2021-10-01', '57', '-27.7', '-43.23', -85, '42', '-0.66', '-1.97', '3', '5', 755, -1039, '24', '33', '285.06']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-08-01', '2021-10-01', '73', '-92.92', '-94.33', -100, '48', '-2.75', '-1.06', '4', '4', 994, -7532, '35', '38', '370.68']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-08-01', '2021-10-01', '68', '191.56', '-27.93', 54343, '59', '5.14', '1945.52', '8', '3', 2456, -2492, '40', '28', '391.15']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-08-01', '2021-10-01', '69', '-10.83', '-62.05', -49, '45', '0.3', '-0.79', '5', '6', 1815, -2876, '31', '38', '267.76']
['FIL-USDT', '5m', 'FIL-USDT', '2021-08-01', '2021-10-01', '46', '50.49', '-24.15', 1009, '41', '3.0', '41.8', '5', '5', 1283, -924, '19', '27', '15.62']
['ADA-USDT', '5m', 'ADA-USDT', '2021-08-01', '2021-10-01', '53', '8.55', '-42.27', 62, '43', '1.03', '1.47', '5', '5', 1111, -906, '23', '30', '60.4']
['COTI-USDT', '5m', 'COTI-USDT', '2021-08-01', '2021-10-01', '67', '-52.85', '-68.99', -99, '45', '-1.38', '-1.43', '6', '8', 759, -1004, '30', '37', '351.08']
['XRP-USDT', '5m', 'XRP-USDT', '2021-08-01', '2021-10-01', '42', '-32.74', '-40.48', -90, '33', '-1.22', '-2.23', '4', '8', 718, -1147, '14', '28', '27.68']
['UNI-USDT', '5m', 'UNI-USDT', '2021-08-01', '2021-10-01', '62', '12.51', '-24.92', 100, '40', '1.17', '4.02', '4', '6', 1193, -1747, '25', '37', '8.32']
['DOT-USDT', '5m', 'DOT-USDT', '2021-08-01', '2021-10-01', '49', '18.88', '-29.17', 177, '47', '1.52', '6.06', '3', '3', 1004, -1421, '23', '26', '70.73']
['BNB-USDT', '5m', 'BNB-USDT', '2021-08-01', '2021-10-01', '45', '88.32', '-21.18', 4052, '44', '4.21', '191.36', '4', '5', 1514, -1004, '20', '25', '16.38']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-08-01', '2021-10-01', '66', '3.25', '-47.21', 21, '52', '0.95', '0.44', '4', '5', 1205, -2296, '34', '32', '186.85']
['CELR-USDT', '5m', 'CELR-USDT', '2021-08-01', '2021-10-01', '70', '-69.79', '-81.53', -100, '46', '-1.89', '-1.23', '4', '7', 1301, -4051, '32', '38', '323.55']
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-08-01', '2021-10-01', '61', '91.52', '-24.07', 4485, '54', '3.49', '186.32', '7', '4', 1731, -2839, '33', '28', '99.7']
['LINK-USDT', '5m', 'LINK-USDT', '2021-08-01', '2021-10-01', '63', '-35.6', '-44.28', -93, '35', '-1.84', '-2.09', '2', '7', 888, -911, '22', '41', '5.66']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2021-08-01', '2021-10-01', '62', '0.17', '-44.01', 1, '42', '0.73', '0.02', '3', '6', 1274, -1724, '26', '36', '14.74']
['LTC-USDT', '5m', 'LTC-USDT', '2021-08-01', '2021-10-01', '52', '-59.56', '-64.04', -100, '33', '-2.5', '-1.55', '2', '6', 846, -4169, '17', '35', '6.14']
['EOS-USDT', '5m', 'EOS-USDT', '2021-08-01', '2021-10-01', '62', '12.6', '-33.67', 101, '42', '1.18', '3.0', '3', '9', 916, -1094, '26', '36', '-3.29']
['ALGO-USDT', '5m', 'ALGO-USDT', '2021-08-01', '2021-10-01', '64', '50.86', '-30.88', 1025, '47', '2.5', '33.2', '6', '6', 1278, -1463, '30', '34', '93.4']
['DOGE-USDT', '5m', 'DOGE-USDT', '2021-08-01', '2021-10-01', '46', '-29.6', '-48.12', -87, '37', '-1.26', '-1.81', '3', '5', 1043, -1591, '17', '29', '-1.57']
['CRV-USDT', '5m', 'CRV-USDT', '2021-08-01', '2021-10-01', '62', '-6.86', '-58.5', -34, '42', '0.44', '-0.58', '5', '5', 1024, -1199, '26', '36', '36.67']
['MATIC-USDT', '5m', 'MATIC-USDT', '2021-08-01', '2021-10-01', '56', '-19.12', '-46.23', -71, '41', '-0.3', '-1.54', '3', '6', 936, -1236, '23', '33', '4.29']
['AXS-USDT', '5m', 'AXS-USDT', '2021-08-01', '2021-10-01', '56', '-20.45', '-40.44', -74, '43', '-0.37', '-1.83', '4', '7', 847, -1468, '24', '32', '76.05']
['SRM-USDT', '5m', 'SRM-USDT', '2021-08-01', '2021-10-01', '73', '-75.03', '-80.65', -100, '38', '-3.51', '-1.24', '4', '6', 865, -1026, '28', '45', '85.41']
['REN-USDT', '5m', 'REN-USDT', '2021-08-01', '2021-10-01', '59', '3.14', '-48.98', 20, '42', '0.83', '0.41', '6', '6', 1090, -1788, '25', '34', '113.73']
['ONE-USDT', '5m', 'ONE-USDT', '2021-08-01', '2021-10-01', '65', '160.04', '-30.05', 27659, '52', '4.76', '920.4', '6', '5', 2294, -1912, '34', '31', '91.99']
['ETC-USDT', '5m', 'ETC-USDT', '2021-08-01', '2021-10-01', '49', '-17.67', '-24.29', -68, '37', '-0.46', '-2.81', '3', '6', 876, -815, '18', '31', '-8.5']
['BCH-USDT', '5m', 'BCH-USDT', '2021-08-01', '2021-10-01', '47', '46.31', '-27.59', 840, '43', '2.72', '30.43', '4', '7', 1272, -1598, '20', '27', '-8.06']
['ICP-USDT', '5m', 'ICP-USDT', '2021-08-01', '2021-10-01', '65', '30.19', '-47.52', 373, '48', '1.84', '7.84', '4', '9', 1071, -1069, '31', '34', '7.72']
['AAVE-USDT', '5m', 'AAVE-USDT', '2021-08-01', '2021-10-01', '50', '-5.36', '-54.1', -28, '40', '0.34', '-0.51', '7', '7', 1004, -1156, '20', '30', '-16.41']
