'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','Zmc/mZ','2021-08-01','2021-09-25','5','8.6','-1.29',71,'80','4.66','55.36','2','1',257,-135,'4','1','15.62'
'ETH-USD','5m','WL1T,O','2021-08-01','2021-09-25','37','18.83','-4.3',208,'49','5.23','48.33','4','6',249,-212,'18','19','15.62'
'ETH-USD','5m','(_1T,O','2021-08-01','2021-09-25','129','17.85','-4.71',192,'24','3.97','40.7','3','14',246,-157,'31','98','15.62'
'ETH-USD','5m','I>)um4','2021-08-01','2021-09-25','64','12.04','-3.41',110,'41','3.16','32.2','3','6',226,-184,'26','38','15.62'
'ETH-USD','5m','P>2j;Y','2021-08-01','2021-09-25','46','14.05','-5.12',136,'43','3.55','26.46','3','6',346,-204,'20','26','15.62'
'ETH-USD','5m','-UG\\@e','2021-08-01','2021-09-25','23','10.78','-3.65',95,'39','3.29','26.03','2','3',549,-207,'9','14','15.62'
'ETH-USD','5m','(eB8H=','2021-08-01','2021-09-25','101','11.07','-4.08',98,'28','2.75','24.05','4','8',208,-179,'28','73','15.62'
'ETH-USD','5m',';B)Sw(','2021-08-01','2021-09-25','78','13.64','-5.68',130,'50','3.82','22.89','4','4',141,-216,'39','39','15.62'
'ETH-USD','5m','j4LV)a','2021-08-01','2021-09-25','34','12.97','-6.28',121,'47','2.49','19.32','6','4',563,-270,'16','18','15.62'
'ETH-USD','5m','l3h;2l','2021-08-01','2021-09-25','20','9.88','-5.92',85,'55','2.25','14.31','3','3',467,-351,'11','9','15.62'
'ETH-USD','5m','MDtnuL','2021-08-01','2021-09-25','21','10.05','-7.02',87,'48','2.07','12.35','2','5',749,-344,'10','11','15.62'
'ETH-USD','5m','7j<7Tc','2021-08-01','2021-09-25','4','3.32','-2.0',24,'75','2.84','11.86','2','1',156,-132,'3','1','15.62'
'ETH-USD','5m',')Beja5','2021-08-01','2021-09-25','229','9.32','-6.89',79,'22','1.49','11.44','3','14',1021,-155,'50','179','15.62'
'ETH-USD','5m','M?cUCD','2021-08-01','2021-09-25','57','14.07','-12.45',136,'40','2.21','10.91','3','8',789,-250,'23','34','15.62'
'ETH-USD','5m','(L1TgO','2021-08-01','2021-09-25','13','3.17','-2.1',23,'46','1.74','10.72','3','3',220,-120,'6','7','15.62'
'ETH-USD','5m','.JbLkN','2021-08-01','2021-09-25','17','6.19','-4.9',48,'29','1.66','9.78','1','5',658,-202,'5','12','15.62'
'ETH-USD','5m','LIqHHF','2021-08-01','2021-09-25','49','9.93','-9.3',85,'35','1.82','9.18','3','8',717,-324,'17','32','15.62'
'ETH-USD','5m','(L1TAO','2021-08-01','2021-09-25','97','9.59','-9.01',82,'27','2.54','9.06','3','9',248,-145,'26','71','15.62'
'ETH-USD','5m','2DAeSP','2021-08-01','2021-09-25','34','6.25','-5.6',48,'32','1.46','8.65','2','4',514,-202,'11','23','15.62'
'ETH-USD','5m','2;CqqE','2021-08-01','2021-09-25','60','10.07','-10.06',87,'32','1.92','8.63','2','7',680,-241,'19','41','15.62'
'ETH-USD','5m','H>dbH(','2021-08-01','2021-09-25','64','12.84','-13.96',120,'38','2.0','8.58','4','6',870,-246,'24','40','15.62'
'ETH-USD','5m','f3,s<0','2021-08-01','2021-09-25','58','6.67','-6.37',52,'43','1.75','8.22','4','5',260,-214,'25','33','15.62'
'ETH-USD','5m','0M1@,h','2021-08-01','2021-09-25','94','9.29','-9.64',78,'43','2.29','8.14','4','5',146,-162,'40','54','15.62'
'ETH-USD','5m','(L1TeO','2021-08-01','2021-09-25','15','2.36','-2.19',16,'40','1.31','7.49','3','3',220,-119,'6','9','15.62'
'ETH-USD','5m','RKFv>;','2021-08-01','2021-09-25','47','9.49','-11.84',81,'36','1.76','6.81','4','8',714,-220,'17','30','15.62'
'ETH-USD','5m','E?H./q','2021-08-01','2021-09-25','44','4.19','-4.62',31,'52','1.48','6.65','3','4',143,-193,'23','21','15.62'
'ETH-USD','5m','>W>_s?','2021-08-01','2021-09-25','49','6.76','-8.09',53,'33','1.57','6.57','3','9',435,-173,'16','33','15.62'
'ETH-USD','5m','0Lm.m','2021-08-01','2021-09-25','75','7.84','-9.84',64,'33','1.31','6.46','2','6',978,-279,'25','50','15.62'
'ETH-USD','5m','08+gJ','2021-08-01','2021-09-25','25','3.07','-3.56',22,'36','1.48','6.12','2','4',178,-201,'9','16','15.62'
'ETH-USD','5m','929SnH','2021-08-01','2021-09-25','37','4.15','-5.26',30,'35','1.41','5.77','3','4',305,-221,'13','24','15.62'
'ETH-USD','5m','(L1T,p','2021-08-01','2021-09-25','114','6.0','-9.11',46,'25','1.56','5.07','2','13',226,-131,'29','85','15.62'
'ETH-USD','5m','7;R@S','2021-08-01','2021-09-25','66','6.47','-10.04',50,'33','1.27','5.03','3','5',644,-315,'22','44','15.62'
'ETH-USD','5m','SRrE\\R','2021-08-01','2021-09-25','24','5.44','-9.48',41,'38','1.14','4.36','3','5',668,-339,'9','15','15.62'
'ETH-USD','5m','q;=iLC','2021-08-01','2021-09-25','49','8.04','-15.29',66,'37','1.6','4.28','3','8',494,-227,'18','31','15.62'
'ETH-USD','5m',':L1T,O','2021-08-01','2021-09-25','68','4.12','-7.21',30,'32','1.11','4.18','3','12',221,-175,'22','46','15.62'
'ETH-USD','5m','Y>lq-N','2021-08-01','2021-09-25','43','7.0','-13.29',55,'40','1.39','4.17','5','5',672,-348,'17','26','15.62'
'ETH-USD','5m','d<CI/','2021-08-01','2021-09-25','35','4.88','-9.0',36,'34','1.29','4.05','2','5',334,-238,'12','23','15.62'
'ETH-USD','5m','.<AQs?','2021-08-01','2021-09-25','132','4.77','-10.23',36,'27','1.05','3.47','3','10',367,-222,'36','96','15.62'
'ETH-USD','5m','L7bUJ6','2021-08-01','2021-09-25','76','6.29','-17.46',49,'37','1.16','2.8','4','5',696,-251,'28','48','15.62'
'ETH-USD','5m','7C<seP','2021-08-01','2021-09-25','18','2.14','-5.6',15,'28','0.71','2.64','2','6',526,-247,'5','13','15.62'
'ETH-USD','5m','(L1T,r','2021-08-01','2021-09-25','109','3.26','-10.75',23,'25','0.94','2.16','2','12',227,-129,'27','82','15.62'
'ETH-USD','5m','Y>lqJN','2021-08-01','2021-09-25','46','3.51','-14.19',25,'37','0.78','1.78','6','8',651,-344,'17','29','15.62'
'ETH-USD','5m','\\;TK)F','2021-08-01','2021-09-25','39','3.35','-15.02',24,'36','0.84','1.6','4','7',484,-299,'14','25','15.62'
'ETH-USD','5m','O6oK6R','2021-08-01','2021-09-25','65','2.6','-14.2',18,'34','0.63','1.28','3','6',647,-289,'22','43','15.62'
'ETH-USD','5m','\\NjC1','2021-08-01','2021-09-25','37','1.45','-8.58',10,'38','0.44','1.14','2','4',565,-302,'14','23','15.62'
'ETH-USD','5m','.;JOKM','2021-08-01','2021-09-25','68','1.7','-10.86',12,'31','0.57','1.07','2','6',454,-205,'21','47','15.62'
'ETH-USD','5m','(L1T,i','2021-08-01','2021-09-25','145','1.76','-12.71',12,'22','0.54','0.95','2','17',229,-130,'32','113','15.62'
