'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'CRO-USD','5m','CRO-USD','2021-08-01','2021-09-25','41','43.24','-3.01',941,'59','10.05','312.94','7','4',300,-159,'24','17','23.25'
'IOTA-USD','5m','IOTA-USD','2021-08-01','2021-09-25','45','35.76','-2.79',633,'58','7.05','227.29','8','4',287,-258,'26','19','36.86'
'ASD-USD','5m','ASD-USD','2021-08-01','2021-09-25','43','26.31','-1.77',358,'47','9.68','202.66','4','6',265,-119,'20','23','16.13'
'BADGER-USD','5m','BADGER-USD','2021-08-01','2021-09-25','53','37.26','-3.57',688,'57','6.22','192.75','7','3',288,-393,'30','23','50.06'
'RUNE-USD','5m','RUNE-USD','2021-08-01','2021-09-25','54','38.46','-6.91',734,'61','6.1','106.12','6','3',302,-330,'33','21','22.61'
'NEO-USD','5m','NEO-USD','2021-08-01','2021-09-25','44','27.6','-4.01',390,'52','6.61','97.2','4','4',269,-191,'23','21','-13.25'
'ZRX-USD','5m','ZRX-USD','2021-08-01','2021-09-25','50','27.49','-5.38',387,'52','6.34','71.93','5','5',265,-220,'26','24','11.34'
'PUNDIX-USD','5m','PUNDIX-USD','2021-08-01','2021-09-25','50','27.4','-5.46',385,'52','5.04','70.49','8','5',276,-222,'26','24','-12.97'
'TRU-USD','5m','TRU-USD','2021-08-01','2021-09-25','72','27.45','-5.94',386,'54','3.91','64.95','6','4',267,-307,'39','33','178.84'
'XLM-USD','5m','XLM-USD','2021-08-01','2021-09-25','40','26.12','-5.65',354,'52','6.07','62.58','5','5',267,-180,'21','19','-1.67'
'SKL-USD','5m','SKL-USD','2021-08-01','2021-09-25','66','28.61','-7.54',416,'55','5.18','55.13','6','4',276,-414,'36','30','23.41'
'SC-USD','5m','SC-USD','2021-08-01','2021-09-25','47','17.77','-3.53',190,'47','4.41','53.95','4','4',251,-326,'22','25','-16.9'
'XEM-USD','5m','XEM-USD','2021-08-01','2021-09-25','45','24.2','-6.35',311,'51','5.99','48.94','5','7',263,-207,'23','22','-15.57'
'ETH-USD','5m','ETH-USD','2021-08-01','2021-09-25','37','18.83','-4.3',208,'49','5.23','48.33','4','6',249,-212,'18','19','15.62'
'OXY-USD','5m','OXY-USD','2021-08-01','2021-09-25','55','17.83','-4.19',191,'38','4.7','45.7','4','5',256,-157,'21','34','43.22'
'ALCX-USD','5m','ALCX-USD','2021-08-01','2021-09-25','58','24.36','-8.4',314,'48','4.36','37.38','4','5',261,-429,'28','30','-29.23'
'WAVES-USD','5m','WAVES-USD','2021-08-01','2021-09-25','53','18.69','-5.72',205,'51','3.65','35.95','5','4',249,-372,'27','26','54.25'
'CONV-USD','5m','CONV-USD','2021-08-01','2021-09-25','77','19.45','-6.3',219,'40','3.67','34.66','4','6',264,-218,'31','46','23.66'
'BNB-USD','5m','BNB-USD','2021-08-01','2021-09-25','44','11.63','-3.27',105,'41','3.22','32.03','3','4',235,-170,'18','26','6.73'
'RSR-USD','5m','RSR-USD','2021-08-01','2021-09-25','55','18.21','-6.19',198,'53','3.76','31.93','5','3',253,-394,'29','26','0.77'
