['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', '-@CBEU', '2021-08-01', '2021-10-01', '51', '4.97', '-8.0', 34, '35', '0.23', '1.44', '4.29', '4', '4', 293, -242, '18', '33', '18.37']
['ETH-USD', '5m', 'i-a0;b', '2021-08-01', '2021-10-01', '29', '7.1', '-5.0', 51, '52', '0.98', '1.97', '10.93', '5', '4', 264, -262, '15', '14', '18.37']
['ETH-USD', '5m', '-@CBLH', '2021-08-01', '2021-10-01', '116', '-5.31', '-16.0', -28, '26', '-0.08', '-0.79', '-1.78', '3', '9', 293, -226, '30', '86', '18.37']
['ETH-USD', '5m', '@DK7)H', '2021-08-01', '2021-10-01', '76', '-4.66', '-10.0', -25, '32', '-0.12', '-0.89', '-2.48', '3', '8', 223, -243, '24', '52', '18.37']
['ETH-USD', '5m', 'F=v(49', '2021-08-01', '2021-10-01', '81', '12.52', '-6.0', 103, '40', '1.38', '2.72', '17.03', '3', '6', 214, -287, '32', '49', '18.37']
['ETH-USD', '5m', 'F=w(49', '2021-08-01', '2021-10-01', '81', '13.18', '-6.0', 110, '40', '1.6', '2.84', '18.78', '3', '6', 218, -291, '32', '49', '18.37']
['ETH-USD', '5m', 'F=c(49', '2021-08-01', '2021-10-01', '81', '4.06', '-8.0', 27, '43', '0.2', '1.08', '3.35', '3', '6', 157, -234, '35', '46', '18.37']
['ETH-USD', '5m', 'F=b(4)', '2021-08-01', '2021-10-01', '81', '3.11', '-8.0', 20, '43', '0.14', '0.86', '2.4', '3', '6', 154, -230, '35', '46', '18.37']
['ETH-USD', '5m', 'F=b(<9', '2021-08-01', '2021-10-01', '81', '3.11', '-8.0', 20, '43', '0.14', '0.86', '2.4', '3', '6', 154, -230, '35', '46', '18.37']
['ETH-USD', '5m', 'F=b(G9', '2021-08-01', '2021-10-01', '80', '4.18', '-8.0', 28, '44', '0.19', '1.12', '3.31', '3', '6', 156, -232, '35', '45', '18.37']
