['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2020-10-01', '2021-10-01', '351', '-14.48', '-32.43', -14, '30', '-0.07', '-0.25', '-0.45', '4', '15', 885, -482, '107', '244', '306.49']
['ETH-USDT', '5m', 'ETH-USDT', '2020-10-01', '2021-10-01', '363', '115.72', '-16.53', 116, '38', '4.7', '1.86', '7.0', '6', '8', 1839, -1500, '137', '226', '733.34']
['FTM-USDT', '5m', 'FTM-USDT', '2020-10-01', '2021-10-01', '550', '146.77', '-39.77', 147, '40', '1.62', '1.5', '3.69', '5', '12', 2160, -6167, '219', '331', '3005.28']
['ADA-USDT', '5m', 'ADA-USDT', '2020-10-01', '2021-10-01', '441', '-16.43', '-40.74', -16, '32', '-0.08', '-0.01', '-0.4', '7', '10', 899, -543, '141', '300', '1986.0']
['XRP-USDT', '5m', 'XRP-USDT', '2020-10-01', '2021-10-01', '423', '-34.69', '-66.29', -35, '33', '-0.04', '-0.28', '-0.52', '4', '9', 806, -814, '139', '284', '294.25']
['BNB-USDT', '5m', 'BNB-USDT', '2020-10-01', '2021-10-01', '418', '5.29', '-26.84', 5, '31', '0.06', '0.36', '0.2', '6', '13', 906, -623, '131', '287', '1224.28']
['LINK-USDT', '5m', 'LINK-USDT', '2020-10-01', '2021-10-01', '443', '69.42', '-23.79', 69, '37', '1.42', '1.21', '2.92', '5', '14', 1557, -773, '164', '279', '143.05']
['LTC-USDT', '5m', 'LTC-USDT', '2020-10-01', '2021-10-01', '422', '-23.57', '-39.47', -24, '33', '-0.09', '-0.19', '-0.6', '4', '11', 957, -779, '139', '283', '231.39']
['EOS-USDT', '5m', 'EOS-USDT', '2020-10-01', '2021-10-01', '448', '-48.18', '-54.59', -48, '32', '-0.07', '-0.83', '-0.88', '4', '18', 893, -397, '142', '306', '52.72']
['MATIC-USDT', '5m', 'MATIC-USDT', '2020-10-01', '2021-10-01', '486', '-27.78', '-60.08', -28, '37', '-0.05', '-0.06', '-0.46', '4', '13', 1179, -848, '182', '304', '5484.16']
['ETC-USDT', '5m', 'ETC-USDT', '2020-10-01', '2021-10-01', '473', '-60.05', '-60.14', -60, '28', '-0.06', '-1.25', '-1.0', '4', '14', 815, -408, '134', '339', '772.48']
['OMG-USDT', '5m', 'OMG-USDT', '2020-10-01', '2021-10-01', '507', '-8.71', '-42.93', -9, '32', '-0.03', '0.19', '-0.2', '5', '16', 818, -497, '161', '346', '209.54']
