'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','5m','c@Rr9.','2019-10-01','2021-10-01','654','266.33','-19.73',91,'35','5.34','1.7','4.62','6','8',3126,-2555,'228','426','1556.97'
'ETH-USDT','5m','g@Rr9.','2019-10-01','2021-10-01','641','235.46','-18.47',83,'35','5.02','1.57','4.49','4','9',2651,-2460,'222','419','1556.97'
'ETH-USDT','5m','c@QrE.','2019-10-01','2021-10-01','654','255.75','-19.76',88,'35','5.09','1.68','4.48','6','8',2982,-2465,'227','427','1556.97'
'ETH-USDT','5m','f@QrE8','2019-10-01','2021-10-01','643','241.55','-21.37',85,'35','3.85','1.61','3.96','4','10',2738,-2421,'228','415','1556.97'
'ETH-USDT','5m','fDbrZH','2019-10-01','2021-10-01','467','174.16','-16.72',65,'34','4.87','1.37','3.92','3','7',2565,-1755,'161','306','1556.97'
'ETH-USDT','5m','a@Kr5M','2019-10-01','2021-10-01','547','220.87','-20.52',79,'36','4.95','1.67','3.85','5','10',2394,-1844,'195','352','1556.97'
'ETH-USDT','5m','SKDrf.','2019-10-01','2021-10-01','653','128.66','-13.64',51,'32','3.37','1.2','3.75','4','10',1410,-707,'210','443','1556.97'
'ETH-USDT','5m','`=9aR0','2019-10-01','2021-10-01','713','141.11','-15.52',55,'37','4.47','1.44','3.56','5','8',910,-925,'266','447','1556.97'
'ETH-USDT','5m','R;DORQ','2019-10-01','2021-10-01','348','125.48','-14.15',50,'40','2.69','1.72','3.54','5','12',870,-584,'138','210','1556.97'
'ETH-USDT','5m','F>`<O','2019-10-01','2021-10-01','783','187.44','-19.81',69,'34','3.43','1.45','3.5','5','12',2261,-745,'269','514','1556.97'
'ETH-USDT','5m','_@RX9.','2019-10-01','2021-10-01','692','164.07','-18.08',62,'34','3.32','1.4','3.45','4','9',1600,-1423,'237','455','1556.97'
'ETH-USDT','5m','LDYNlH','2019-10-01','2021-10-01','444','147.51','-17.63',57,'36','2.93','1.54','3.25','5','13',1382,-681,'162','282','1556.97'
'ETH-USDT','5m','R=wLnI','2019-10-01','2021-10-01','378','189.66','-21.8',70,'38','2.78','1.68','3.21','5','13',2210,-912,'142','236','1556.97'
'ETH-USDT','5m','h5KH,H','2019-10-01','2021-10-01','619','121.48','-15.94',49,'38','3.24','1.36','3.06','6','12',852,-822,'234','385','1556.97'
'ETH-USDT','5m','w@\\(<H','2019-10-01','2021-10-01','481','81.02','-11.69',34,'57','2.91','1.47','2.95','9','7',260,-1109,'274','207','1556.97'
'ETH-USDT','5m','^@Q^58','2019-10-01','2021-10-01','694','132.64','-18.74',52,'34','2.37','1.24','2.8','4','9',1515,-929,'236','458','1556.97'
'ETH-USDT','5m','l@QrE8','2019-10-01','2021-10-01','619','172.97','-24.25',65,'35','3.06','1.35','2.68','4','12',2254,-1920,'217','402','1556.97'
