'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'FTM-USDT','5m','FTM-USDT','2020-10-01','2021-10-01','561','100.38','-14.55',100,'40','3.67','2.09','6.9','5','10',698,-1824,'225','336','2991.5'
'BLZ-USDT','5m','BLZ-USDT','2020-10-01','2021-10-01','514','118.46','-17.78',118,'40','2.64','2.82','6.66','6','12',883,-385,'206','308','85.76'
'ETH-USDT','5m','ETH-USDT','2020-10-01','2021-10-01','368','34.58','-7.3',35,'37','3.18','1.61','4.74','4','8',453,-397,'135','233','733.2'
'ZIL-USDT','5m','ZIL-USDT','2020-10-01','2021-10-01','495','51.75','-11.13',52,'37','2.21','1.63','4.65','7','9',571,-325,'184','311','337.48'
'TRX-USDT','5m','TRX-USDT','2020-10-01','2021-10-01','400','47.88','-11.53',48,'34','2.2','1.78','4.15','4','11',514,-217,'137','263','241.17'
'LINK-USDT','5m','LINK-USDT','2020-10-01','2021-10-01','445','35.09','-10.87',35,'36','1.5','1.4','3.23','5','14',488,-245,'161','284','143.28'
'VET-USDT','5m','VET-USDT','2020-10-01','2021-10-01','472','36.61','-12.41',37,'38','1.07','1.26','2.95','4','9',503,-238,'178','294','608.11'
'SOL-USDT','5m','SOL-USDT','2020-10-01','2021-10-01','538','56.97','-24.11',57,'38','0.63','1.56','2.36','6','10',543,-260,'204','334','4762.84'
'DOGE-USDT','5m','DOGE-USDT','2020-10-01','2021-10-01','388','24.58','-11.43',25,'36','1.1','0.87','2.15','5','9',489,-577,'138','250','7648.1'
'SUSHI-USDT','5m','SUSHI-USDT','2020-10-01','2021-10-01','516','33.78','-17.8',34,'38','0.51','1.11','1.9','6','9',503,-260,'195','321','692.8'
'KAVA-USDT','5m','KAVA-USDT','2020-10-01','2021-10-01','521','30.57','-16.17',31,'37','0.71','1.04','1.89','4','11',482,-243,'191','330','134.58'
'BNB-USDT','5m','BNB-USDT','2020-10-01','2021-10-01','413','18.01','-10.03',18,'32','0.7','0.85','1.8','6','13',414,-301,'134','279','1224.81'
'ZEC-USDT','5m','ZEC-USDT','2020-10-01','2021-10-01','423','24.08','-14.05',24,'36','0.68','0.98','1.71','6','7',450,-263,'154','269','67.14'
'XLM-USDT','5m','XLM-USDT','2020-10-01','2021-10-01','445','16.1','-10.43',16,'34','0.38','0.72','1.54','5','10',413,-725,'153','292','271.92'
'RUNE-USDT','5m','RUNE-USDT','2020-10-01','2021-10-01','577','28.89','-26.13',29,'37','0.14','0.97','1.11','7','7',452,-246,'216','361','1330.21'
'ONT-USDT','5m','ONT-USDT','2020-10-01','2021-10-01','468','25.94','-24.51',26,'35','0.16','1.03','1.06','4','12',435,-244,'165','303','23.6'
'ADA-USDT','5m','ADA-USDT','2020-10-01','2021-10-01','424','10.83','-14.52',11,'34','0.22','0.53','0.75','6','10',413,-234,'143','281','1987.45'
'BAT-USDT','5m','BAT-USDT','2020-10-01','2021-10-01','459','10.7','-17.28',11,'34','0.14','0.52','0.62','5','16',380,-196,'158','301','164.04'
'OMG-USDT','5m','OMG-USDT','2020-10-01','2021-10-01','506','10.85','-21.14',11,'32','0.09','0.51','0.51','5','12',382,-192,'162','344','209.21'
'CRV-USDT','5m','CRV-USDT','2020-10-01','2021-10-01','529','11.59','-23.88',12,'38','0.07','0.52','0.49','7','11',440,-411,'200','329','145.84'
'DASH-USDT','5m','DASH-USDT','2020-10-01','2021-10-01','442','4.96','-19.35',5,'35','0.05','0.32','0.26','5','12',370,-326,'155','287','139.81'
'QTUM-USDT','5m','QTUM-USDT','2020-10-01','2021-10-01','480','3.29','-26.1',3,'34','0.02','0.25','0.13','4','10',367,-191,'164','316','326.96'
'UNI-USDT','5m','UNI-USDT','2020-10-01','2021-10-01','484','0.3','-22.23',0,'33','0.0','0.15','0.01','5','8',385,-257,'160','324','465.68'
'DYDX-USDT','5m','DYDX-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LUNA-USDT','5m','LUNA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FIL-USDT','5m','FIL-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'COTI-USDT','5m','COTI-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CELR-USDT','5m','CELR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MATIC-USDT','5m','MATIC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AXS-USDT','5m','AXS-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REN-USDT','5m','REN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ONE-USDT','5m','ONE-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ICP-USDT','5m','ICP-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AAVE-USDT','5m','AAVE-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1INCH-USDT','5m','1INCH-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALICE-USDT','5m','ALICE-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'NEAR-USDT','5m','NEAR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BZRX-USDT','5m','BZRX-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAKE-USDT','5m','BAKE-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GALA-USDT','5m','GALA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'EGLD-USDT','5m','EGLD-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'IOTX-USDT','5m','IOTX-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C98-USDT','5m','C98-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TLM-USDT','5m','TLM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'IOST-USDT','5m','IOST-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KSM-USDT','5m','KSM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RAY-USDT','5m','RAY-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GRT-USDT','5m','GRT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MASK-USDT','5m','MASK-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DODO-USDT','5m','DODO-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RLC-USDT','5m','RLC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1000SHIB-USDT','5m','1000SHIB-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHR-USDT','5m','CHR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HBAR-USDT','5m','HBAR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SAND-USDT','5m','SAND-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DENT-USDT','5m','DENT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SNX-USDT','5m','SNX-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1000XEC-USDT','5m','1000XEC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CHZ-USDT','5m','CHZ-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAL-USDT','5m','BAL-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ZEN-USDT','5m','ZEN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AKRO-USDT','5m','AKRO-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MANA-USDT','5m','MANA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MKR-USDT','5m','MKR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ENJ-USDT','5m','ENJ-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CTK-USDT','5m','CTK-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TOMO-USDT','5m','TOMO-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LINA-USDT','5m','LINA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HOT-USDT','5m','HOT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ALPHA-USDT','5m','ALPHA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SFP-USDT','5m','SFP-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'CVC-USDT','5m','CVC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'OGN-USDT','5m','OGN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BEL-USDT','5m','BEL-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KEEP-USDT','5m','KEEP-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'AUDIO-USDT','5m','AUDIO-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTT-USDT','5m','BTT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BAND-USDT','5m','BAND-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'STMX-USDT','5m','STMX-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LIT-USDT','5m','LIT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SKL-USDT','5m','SKL-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'REEF-USDT','5m','REEF-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'HNT-USDT','5m','HNT-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'TRB-USDT','5m','TRB-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'FLM-USDT','5m','FLM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'BTS-USDT','5m','BTS-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MTL-USDT','5m','MTL-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RVN-USDT','5m','RVN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'YFII-USDT','5m','YFII-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'LRC-USDT','5m','LRC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'RSR-USDT','5m','RSR-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'NKN-USDT','5m','NKN-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'SC-USDT','5m','SC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'ATA-USDT','5m','ATA-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'GTC-USDT','5m','GTC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'KNC-USDT','5m','KNC-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'XEM-USDT','5m','XEM-USDT','2020-10-01','2021-10-01',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
