iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
90,Q*7rS\,3.459306865878242,77,9,13.11,0,2,-1.8,40,118,116,76,42,234
90,N3B6nF,0.913606101623129,58,86,49.13,33,18,-2.6,37,197,165,22,67,139
90,R;DORQ,0.6796869613194867,57,47,60.49,42,14,1.41,41,268,174,45,41,186
90,T8AjgN,0.4632493599691733,56,37,42.91,50,10,-1.06,43,242,161,68,60,174
90,3@?DJa,0.459247192414376,66,9,8.42,40,5,3.61,12,313,152,35,33,255
90,NV]SmJ,0.32743056891025735,39,43,33.81,44,9,4.9,37,508,285,48,66,156
90,/6@=[A,0.3103225806451613,37,244,47.68,25,39,3.3,8,224,156,29,49,118
90,1v*5jN,0.3041196484593017,76,39,9.6,50,10,-0.38,10,791,59,22,63,174
90,:ihlOD,0.2839045583363735,31,77,37.32,33,9,3.29,19,676,334,70,38,131
90,\GF[LF,0.2567512183382556,40,84,43.86,41,12,0.61,50,375,183,55,35,139
90,a453+L,0.2529032258064516,67,122,24.39,65,20,4.63,55,206,108,20,5,165
90,F>]`<O,0.24132931023811277,46,91,64.99,26,15,-4.63,30,295,285,60,20,178
90,:D<fRR,0.2408244501100317,50,54,51.22,21,14,-8.06,19,348,139,65,41,191
90,.C:1mO,0.24009852820269278,75,12,7.5,25,4,-1.08,8,339,130,18,66,178
90,FAia=7,0.23825788030178155,45,92,64.58,41,17,1.48,30,322,338,61,21,75
90,"0gv;,,",0.23736104886054482,29,111,40.81,36,11,3.29,9,658,396,27,6,27
90,<(XHw>,0.23161290322580644,37,199,49.68,25,36,-6.8,20,100,263,38,75,105
90,`=9aR0,0.22838709677419355,43,120,43.3,52,17,1.91,54,286,125,61,41,44
90,g7?a=T,0.20018658688184338,43,80,31.25,56,16,1.74,60,233,152,61,21,199
90,"2NOe,-",0.18451612903225806,38,137,52.92,35,17,0.09,11,437,223,64,6,32
90,R=wLnI,0.18198790164584916,44,49,29.74,50,12,2.88,41,286,400,42,67,152
90,j/vPJ_,0.18169154731076284,52,23,20.52,83,6,5.05,63,162,396,45,33,247
90,/SamA;,0.18,31,148,43.57,40,15,3.45,8,481,303,71,25,92
90,pE-2<-,0.1789140052940756,75,109,12.64,88,17,7.98,69,357,72,19,20,32
90,/StC32,0.1774193548387097,33,149,40.7,31,16,4.02,8,481,387,34,12,53
90,uZ_J*p,0.16421709293646397,47,38,28.5,50,6,1.97,73,543,294,40,4,320
90,nASOK+,0.1632163251443781,41,78,27.71,33,12,-2.16,67,322,241,45,34,23
90,SmeiO:,0.16176228264917916,37,61,27.92,28,7,4.66,42,711,320,68,38,87
90,8@[.]M,0.15813628285822745,53,58,29.65,28,14,-3.01,17,313,276,15,51,169
90,mDJ`w3,0.1567581252285933,41,78,28.36,36,11,-0.87,66,348,201,60,75,57
90,Q*7rS\,3.459306865878242,77,9,13.11,0,2,-1.8,40,118,116,76,42,234
90,N3B6nF,0.913606101623129,58,86,49.13,33,18,-2.6,37,197,165,22,67,139
90,R;DORQ,0.6796869613194867,57,47,60.49,42,14,1.41,41,268,174,45,41,186
90,T8AjgN,0.4632493599691733,56,37,42.91,50,10,-1.06,43,242,161,68,60,174
90,3@?DJa,0.459247192414376,66,9,8.42,40,5,3.61,12,313,152,35,33,255
