['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ZRX-USDT', '5m', '2021-06-28', '2021-07-12', '106', '10.29', '-2.12', 983, '49', '6.74', '462.95', '8', '9', 194, -73, '52', '54', '18.78']
['ZRX-USDT', '5m', '2021-06-21', '2021-07-05', '105', '14.07', '-1.27', 2359, '59', '14.92', '1864.13', '10', '7', 163, -92, '62', '43', '-5.05']
['ZRX-USDT', '5m', '2021-07-04', '2021-07-18', '106', '6.17', '-4.0', 329, '45', '3.73', '82.27', '9', '9', 184, -69, '48', '58', '-14.41']
['ZRX-USDT', '5m', '2021-05-04', '2021-05-18', '118', '-4.62', '-7.13', -68, '45', '-2.15', '-9.59', '5', '7', 259, -247, '53', '65', '-8.62']
['ZRX-USDT', '5m', '2021-06-22', '2021-07-06', '109', '11.83', '-1.22', 1421, '56', '14.39', '1166.53', '10', '7', 158, -89, '61', '48', '20.3']
['ZRX-USDT', '5m', '2021-06-17', '2021-07-01', '110', '10.69', '-2.62', 1083, '54', '8.84', '412.82', '10', '13', 159, -90, '59', '51', '-13.15']
['ZRX-USDT', '5m', '2021-08-13', '2021-08-27', '113', '-2.3', '-6.67', -43, '44', '-1.26', '-6.48', '6', '11', 167, -76, '50', '63', '13.36']
['ZRX-USDT', '5m', '2021-06-19', '2021-07-03', '113', '10.42', '-2.54', 1016, '55', '10.54', '400.21', '10', '13', 158, -89, '62', '51', '-12.48']
['ZRX-USDT', '5m', '2021-05-26', '2021-06-09', '133', '3.1', '-10.79', 110, '50', '1.55', '10.23', '7', '10', 198, -90, '67', '66', '9.24']
['ZRX-USDT', '5m', '2021-04-30', '2021-05-14', '105', '1.3', '-3.8', 37, '42', '0.96', '9.77', '5', '8', 266, -252, '44', '61', '4.17']
['ZRX-USDT', '5m', '2021-06-14', '2021-06-28', '121', '1.77', '-5.85', 53, '47', '1.46', '9.1', '10', '13', 125, -86, '57', '64', '-26.18']
['ZRX-USDT', '5m', '2021-06-03', '2021-06-17', '117', '9.76', '-4.57', 865, '49', '4.86', '189.19', '7', '8', 220, -99, '57', '60', '-10.93']
['ZRX-USDT', '5m', '2021-07-21', '2021-08-04', '113', '4.58', '-5.32', 197, '48', '2.76', '37.07', '7', '15', 200, -71, '54', '59', '41.46']
['ZRX-USDT', '5m', '2021-08-22', '2021-09-05', '108', '-3.31', '-5.43', -56, '37', '-2.15', '-10.31', '5', '9', 311, -77, '40', '68', '23.94']
['ZRX-USDT', '5m', '2021-07-16', '2021-07-30', '106', '6.67', '-5.31', 381, '47', '3.52', '71.67', '7', '15', 191, -72, '50', '56', '14.87']
['ZRX-USDT', '5m', '2021-07-10', '2021-07-24', '90', '9.81', '-4.12', 875, '52', '7.3', '212.57', '9', '10', 203, -64, '47', '43', '-10.25']
['ZRX-USDT', '5m', '2021-05-07', '2021-05-21', '140', '15.69', '-6.96', 3372, '49', '5.26', '484.47', '6', '8', 437, -254, '69', '71', '-18.09']
['ZRX-USDT', '5m', '2021-04-21', '2021-05-05', '129', '-0.65', '-4.45', -15, '43', '-0.13', '-3.28', '6', '13', 257, -78, '55', '74', '15.72']
['ZRX-USDT', '5m', '2021-05-16', '2021-05-30', '167', '21.43', '-7.29', 11161, '46', '5.01', '1531.78', '7', '10', 417, -230, '77', '90', '-38.58']
['ZRX-USDT', '5m', '2021-06-29', '2021-07-13', '111', '10.21', '-2.12', 964, '49', '6.68', '455.45', '7', '9', 192, -71, '54', '57', '6.29']
['ZRX-USDT', '5m', '2021-06-15', '2021-06-29', '113', '5.74', '-3.51', 289, '50', '4.48', '82.44', '10', '13', 163, -89, '56', '57', '-24.24']
['ZRX-USDT', '5m', '2021-05-30', '2021-06-13', '122', '8.06', '-5.49', 560, '50', '4.02', '102.07', '7', '8', 210, -96, '61', '61', '3.42']
['ZRX-USDT', '5m', '2021-07-24', '2021-08-07', '103', '3.41', '-5.3', 126, '46', '2.12', '23.79', '7', '15', 197, -70, '47', '56', '33.0']
['ZRX-USDT', '5m', '2021-09-10', '2021-09-24', '104', '19.68', '-3.6', 7817, '53', '9.72', '2169.33', '10', '5', 257, -92, '55', '49', '14.23']
['ZRX-USDT', '5m', '2021-05-01', '2021-05-15', '106', '0.52', '-3.79', 14, '42', '0.51', '3.58', '5', '8', 263, -250, '44', '62', '10.05']
['ZRX-USDT', '5m', '2021-05-19', '2021-06-02', '160', '20.49', '-7.79', 9225, '48', '5.21', '1184.1', '6', '10', 437, -234, '77', '83', '-37.03']
['ZRX-USDT', '5m', '2021-07-26', '2021-08-09', '107', '-1.47', '-5.31', -30, '44', '-0.98', '-5.7', '7', '15', 187, -66, '47', '60', '30.54']
['ZRX-USDT', '5m', '2021-07-22', '2021-08-05', '107', '4.33', '-5.31', 181, '50', '2.64', '34.03', '7', '15', 196, -69, '54', '53', '31.15']
['ZRX-USDT', '5m', '2021-07-08', '2021-07-22', '88', '12.12', '-4.13', 1519, '48', '7.78', '367.9', '9', '10', 206, -65, '42', '46', '-21.48']
['ZRX-USDT', '5m', '2021-05-09', '2021-05-23', '152', '13.75', '-6.97', 2199, '47', '4.4', '315.35', '6', '8', 437, -254, '71', '81', '-41.08']
['ZRX-USDT', '5m', '2021-08-27', '2021-09-10', '95', '11.92', '-6.43', 1449, '39', '5.74', '225.49', '4', '8', 388, -116, '37', '58', '38.64']
['ZRX-USDT', '5m', '2021-09-08', '2021-09-22', '103', '21.09', '-3.84', 10426, '52', '10.69', '2717.18', '8', '5', 365, -98, '54', '49', '1.52']
['ZRX-USDT', '5m', '2021-04-22', '2021-05-06', '118', '5.7', '-4.44', 285, '46', '3.24', '64.16', '6', '8', 277, -84, '54', '64', '27.14']
['ZRX-USDT', '5m', '2021-09-06', '2021-09-20', '103', '20.73', '-3.84', 9695, '51', '9.25', '2527.06', '6', '5', 399, -119, '53', '50', '8.76']
['ZRX-USDT', '5m', '2021-06-09', '2021-06-23', '126', '-0.27', '-7.09', -6, '40', '0.01', '-0.9', '6', '13', 185, -66, '51', '75', '-34.58']
['ZRX-USDT', '5m', '2021-05-02', '2021-05-16', '109', '2.4', '-3.81', 78, '45', '1.59', '20.51', '5', '8', 262, -250, '49', '60', '-5.65']
['ZRX-USDT', '5m', '2021-05-22', '2021-06-05', '150', '3.1', '-10.78', 110, '47', '1.27', '10.23', '7', '10', 320, -140, '70', '80', '11.21']
['ZRX-USDT', '5m', '2021-07-22', '2021-08-05', '107', '4.33', '-5.31', 181, '50', '2.64', '34.03', '7', '15', 196, -69, '54', '53', '31.15']
['ZRX-USDT', '5m', '2021-08-11', '2021-08-25', '110', '3.21', '-6.7', 116, '47', '2.03', '17.3', '6', '11', 171, -78, '52', '58', '14.71']
['ZRX-USDT', '5m', '2021-07-03', '2021-07-17', '106', '7.49', '-2.23', 480, '47', '4.61', '215.22', '9', '9', 182, -68, '50', '56', '-11.24']
['ZRX-USDT', '5m', '2021-04-23', '2021-05-07', '111', '-2.96', '-4.46', -52, '41', '-1.95', '-11.63', '4', '8', 256, -78, '46', '65', '25.61']
['ZRX-USDT', '5m', '2021-06-02', '2021-06-16', '121', '7.65', '-4.57', 501, '48', '3.76', '109.81', '7', '8', 216, -99, '58', '63', '-1.86']
['ZRX-USDT', '5m', '2021-05-12', '2021-05-26', '158', '22.56', '-6.98', 14029, '49', '5.49', '2010.13', '6', '8', 419, -243, '77', '81', '-35.7']
['ZRX-USDT', '5m', '2021-08-02', '2021-08-16', '104', '2.17', '-2.57', 69, '49', '1.74', '26.69', '6', '9', 154, -61, '51', '53', '41.09']
['ZRX-USDT', '5m', '2021-07-26', '2021-08-09', '107', '-1.47', '-5.31', -30, '44', '-0.98', '-5.7', '7', '15', 187, -66, '47', '60', '30.54']
['ZRX-USDT', '5m', '2021-05-29', '2021-06-12', '125', '5.12', '-6.75', 237, '50', '2.65', '35.09', '7', '8', 207, -95, '63', '62', '1.81']
['ZRX-USDT', '5m', '2021-05-23', '2021-06-06', '137', '8.64', '-10.75', 651, '50', '2.84', '60.62', '7', '10', 339, -147, '68', '69', '22.3']
['ZRX-USDT', '5m', '2021-04-29', '2021-05-13', '106', '3.33', '-3.62', 122, '42', '2.32', '33.58', '5', '8', 261, -103, '44', '62', '3.16']
['ZRX-USDT', '5m', '2021-08-28', '2021-09-11', '93', '14.46', '-4.92', 2573, '38', '7.0', '522.76', '5', '11', 384, -114, '35', '58', '16.45']
['ZRX-USDT', '5m', '2021-04-24', '2021-05-08', '115', '-1.83', '-4.06', -36, '42', '-1.36', '-8.91', '4', '8', 263, -79, '48', '67', '31.08']
