['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'O3;8]', '2021-08-01', '2021-09-25', '62', '20.53', '-13.18', 238, '44', '3.58', '18.03', '5', '4', 526, -181, '27', '35', '15.62']
['ETH-USD', '5m', 'N3WVI', '2021-08-01', '2021-09-25', '73', '20.4', '-7.99', 235, '42', '3.22', '29.44', '4', '5', 813, -199, '31', '42', '15.62']
['ETH-USD', '5m', 'N3V4I', '2021-08-01', '2021-09-25', '72', '18.95', '-8.5', 210, '42', '3.07', '24.71', '4', '5', 791, -199, '30', '42', '15.62']
['ETH-USD', '5m', 'N8QVB', '2021-08-01', '2021-09-25', '69', '21.07', '-11.29', 248, '38', '3.1', '21.94', '4', '5', 825, -202, '26', '43', '15.62']
['ETH-USD', '5m', 'r1W:I', '2021-08-01', '2021-09-25', '53', '23.33', '-8.02', 292, '51', '3.42', '36.43', '4', '3', 875, -254, '27', '26', '15.62']
['ETH-USD', '5m', 'N8LKI', '2021-08-01', '2021-09-25', '68', '19.69', '-10.78', 223, '38', '3.01', '20.67', '4', '5', 759, -202, '26', '42', '15.62']
['ETH-USD', '5m', 'N8LVI', '2021-08-01', '2021-09-25', '68', '19.69', '-10.78', 223, '38', '3.01', '20.67', '4', '5', 759, -202, '26', '42', '15.62']
['ETH-USD', '5m', 'r1WVI', '2021-08-01', '2021-09-25', '53', '23.33', '-8.02', 292, '51', '3.42', '36.43', '4', '3', 875, -254, '27', '26', '15.62']
['ETH-USD', '5m', 'N3QPB', '2021-08-01', '2021-09-25', '74', '19.73', '-8.94', 223, '42', '3.13', '25.0', '4', '5', 712, -198, '31', '43', '15.62']
['ETH-USD', '5m', 'O9HR;', '2021-08-01', '2021-09-25', '68', '18.67', '-12.04', 205, '40', '3.08', '17.05', '4', '5', 848, -206, '27', '41', '15.62']
['ETH-USD', '5m', 'N8VVI', '2021-08-01', '2021-09-25', '68', '18.14', '-10.16', 196, '38', '2.77', '19.33', '4', '5', 930, -202, '26', '42', '15.62']
['ETH-USD', '5m', 't=<]1', '2021-08-01', '2021-09-25', '56', '3.83', '-21.05', 28, '30', '0.78', '1.32', '4', '8', 627, -318, '17', '39', '15.62']
['ETH-USD', '5m', 'r0W:I', '2021-08-01', '2021-09-25', '53', '24.57', '-7.58', 319, '47', '3.69', '42.05', '6', '4', 814, -229, '25', '28', '15.62']
['ETH-USD', '5m', 'N3CPI', '2021-08-01', '2021-09-25', '74', '19.33', '-10.04', 216, '42', '3.14', '21.57', '4', '5', 575, -195, '31', '43', '15.62']
['ETH-USD', '5m', 'N9LnI', '2021-08-01', '2021-09-25', '66', '18.96', '-9.62', 210, '39', '3.07', '21.84', '5', '5', 770, -220, '26', '40', '15.62']
['ETH-USD', '5m', ']6hHB', '2021-08-01', '2021-09-25', '62', '17.69', '-10.14', 189, '42', '3.0', '18.65', '4', '5', 881, -270, '26', '36', '15.62']
['ETH-USD', '5m', 'NDWVm', '2021-08-01', '2021-09-25', '26', '18.69', '-6.29', 205, '46', '3.32', '32.68', '3', '4', 901, -309, '12', '14', '15.62']
['ETH-USD', '5m', 'd1[UI', '2021-08-01', '2021-09-25', '62', '16.53', '-9.73', 171, '47', '2.65', '17.58', '7', '8', 829, -182, '29', '33', '15.62']
['ETH-USD', '5m', 'N6huB', '2021-08-01', '2021-09-25', '76', '12.61', '-11.51', 117, '39', '2.12', '10.15', '4', '6', 749, -216, '30', '46', '15.62']
['ETH-USD', '5m', 'N6hVB', '2021-08-01', '2021-09-25', '76', '12.61', '-11.51', 117, '39', '2.12', '10.15', '4', '6', 749, -216, '30', '46', '15.62']
['ETH-USD', '5m', 'N9QVB', '2021-08-01', '2021-09-25', '68', '20.49', '-9.62', 237, '38', '3.17', '24.65', '4', '5', 844, -220, '26', '42', '15.62']
['ETH-USD', '5m', 'N9WVI', '2021-08-01', '2021-09-25', '68', '17.73', '-9.18', 190, '38', '2.82', '20.67', '4', '5', 963, -220, '26', '42', '15.62']
['ETH-USD', '5m', 'N9WPI', '2021-08-01', '2021-09-25', '68', '17.73', '-9.18', 190, '38', '2.82', '20.67', '4', '5', 963, -220, '26', '42', '15.62']
['ETH-USD', '5m', 'N9WXI', '2021-08-01', '2021-09-25', '67', '18.07', '-8.9', 195, '39', '2.88', '21.94', '4', '5', 963, -220, '26', '41', '15.62']
['ETH-USD', '5m', ']5hHB', '2021-08-01', '2021-09-25', '62', '14.64', '-11.29', 144, '44', '2.62', '12.73', '4', '5', 804, -216, '27', '35', '15.62']
['ETH-USD', '5m', 'q0jVI', '2021-08-01', '2021-09-25', '54', '20.13', '-7.13', 230, '48', '3.04', '32.29', '6', '5', 1052, -229, '26', '28', '15.62']
['ETH-USD', '5m', 'BGs(@', '2021-08-01', '2021-09-25', '53', '5.75', '-9.14', 44, '42', '1.18', '4.81', '3', '5', 683, -320, '22', '31', '15.62']
['ETH-USD', '5m', 'N6L9I', '2021-08-01', '2021-09-25', '73', '6.06', '-12.2', 47, '40', '1.23', '3.83', '4', '6', 469, -216, '29', '44', '15.62']
['ETH-USD', '5m', 'N6LbI', '2021-08-01', '2021-09-25', '75', '10.47', '-13.19', 91, '40', '1.91', '6.92', '5', '6', 505, -216, '30', '45', '15.62']
['ETH-USD', '5m', 'H:gSA', '2021-08-01', '2021-09-25', '70', '14.64', '-12.14', 144, '40', '2.38', '11.83', '4', '5', 845, -233, '28', '42', '15.62']
['ETH-USD', '5m', 'N9CPI', '2021-08-01', '2021-09-25', '68', '15.76', '-10.48', 160, '38', '2.8', '15.23', '4', '5', 765, -220, '26', '42', '15.62']
['ETH-USD', '5m', 'N6LsI', '2021-08-01', '2021-09-25', '73', '11.52', '-12.2', 104, '40', '2.07', '8.48', '4', '6', 509, -216, '29', '44', '15.62']
['ETH-USD', '5m', 'N9LVI', '2021-08-01', '2021-09-25', '68', '18.07', '-9.9', 195, '38', '2.95', '19.71', '4', '5', 770, -220, '26', '42', '15.62']
['ETH-USD', '5m', 'N6LnI', '2021-08-01', '2021-09-25', '74', '11.71', '-12.2', 106, '41', '2.1', '8.67', '5', '6', 509, -216, '30', '44', '15.62']
['ETH-USD', '5m', 'V?uEb', '2021-08-01', '2021-09-25', '50', '9.13', '-12.37', 77, '42', '1.75', '6.2', '4', '8', 631, -246, '21', '29', '15.62']
['ETH-USD', '5m', 'N?L9I', '2021-08-01', '2021-09-25', '58', '8.19', '-12.83', 67, '40', '1.52', '5.22', '3', '8', 797, -210, '23', '35', '15.62']
['ETH-USD', '5m', 'N:QVB', '2021-08-01', '2021-09-25', '66', '16.88', '-10.9', 176, '39', '2.72', '16.18', '4', '5', 854, -223, '26', '40', '15.62']
['ETH-USD', '5m', 'N?LK)', '2021-08-01', '2021-09-25', '58', '8.19', '-12.83', 67, '40', '1.52', '5.22', '3', '8', 797, -210, '23', '35', '15.62']
['ETH-USD', '5m', 'N9MKZ', '2021-08-01', '2021-09-25', '58', '4.75', '-11.61', 35, '36', '0.98', '3.04', '3', '5', 776, -220, '21', '37', '15.62']
['ETH-USD', '5m', 'N7hPB', '2021-08-01', '2021-09-25', '72', '12.63', '-11.7', 117, '40', '2.15', '10.01', '4', '4', 789, -197, '29', '43', '15.62']
['ETH-USD', '5m', 'N7hVB', '2021-08-01', '2021-09-25', '72', '12.63', '-11.7', 117, '40', '2.15', '10.01', '4', '4', 789, -197, '29', '43', '15.62']
['ETH-USD', '5m', 'r3lgI', '2021-08-01', '2021-09-25', '54', '13.18', '-9.01', 124, '50', '2.41', '13.77', '4', '5', 476, -277, '27', '27', '15.62']
['ETH-USD', '5m', 'N4L9I', '2021-08-01', '2021-09-25', '71', '18.32', '-8.85', 199, '39', '2.89', '22.53', '4', '5', 657, -192, '28', '43', '15.62']
['ETH-USD', '5m', 'N45LY', '2021-08-01', '2021-09-25', '66', '17.54', '-8.26', 187, '41', '3.38', '22.6', '5', '5', 487, -202, '27', '39', '15.62']
['ETH-USD', '5m', '\\\\POp', '2021-08-01', '2021-09-25', '23', '8.28', '-10.54', 68, '43', '1.6', '6.44', '3', '4', 979, -214, '10', '13', '15.62']
['ETH-USD', '5m', 'v/MVB', '2021-08-01', '2021-09-25', '56', '16.78', '-8.41', 175, '48', '2.72', '20.79', '6', '4', 859, -248, '27', '29', '15.62']
['ETH-USD', '5m', 'r6E>I', '2021-08-01', '2021-09-25', '50', '10.12', '-11.8', 87, '46', '1.96', '7.41', '6', '5', 752, -242, '23', '27', '15.62']
['ETH-USD', '5m', 'N?QqB', '2021-08-01', '2021-09-25', '58', '5.84', '-12.83', 45, '40', '1.17', '3.49', '3', '8', 655, -210, '23', '35', '15.62']
['ETH-USD', '5m', 'N>WVB', '2021-08-01', '2021-09-25', '62', '3.81', '-12.9', 28, '37', '0.82', '2.14', '3', '10', 644, -240, '23', '39', '15.62']
['ETH-USD', '5m', 'N8haB', '2021-08-01', '2021-09-25', '69', '11.91', '-9.82', 108, '38', '2.18', '11.02', '4', '5', 675, -202, '26', '43', '15.62']
['ETH-USD', '5m', 'N?hPB', '2021-08-01', '2021-09-25', '58', '5.84', '-12.83', 45, '40', '1.17', '3.49', '3', '8', 655, -210, '23', '35', '15.62']
