['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-04-01', '2021-09-27', '192', '-9.82', '-40.5', -19, '40', '0.04', '-0.47', '4', '8', 1461, -1094, '76', '116', '-26.72']
['ETH-USDT', '5m', 'ETH-USDT', '2021-04-01', '2021-09-27', '189', '201.79', '-26.59', 839, '48', '2.82', '31.56', '7', '6', 4314, -1342, '91', '98', '58.03']
['SOL-USDT', '5m', 'SOL-USDT', '2021-04-01', '2021-09-27', '249', '114.58', '-51.77', 370, '46', '1.84', '7.15', '7', '6', 2861, -1172, '115', '134', '597.55']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-04-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-04-01', '2021-09-27', '271', '1199.44', '-43.78', 18032, '52', '3.92', '411.9', '9', '6', 21561, -32886, '140', '131', '176.62']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-04-01', '2021-09-27', '254', '15.51', '-65.01', 34, '44', '0.86', '0.52', '8', '8', 4131, -1280, '113', '141', '131.45']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-04-01', '2021-09-27', '287', '-25.85', '-74.19', -45, '44', '0.08', '-0.61', '6', '8', 4535, -1856, '125', '162', '84.93']
['FIL-USDT', '5m', 'FIL-USDT', '2021-04-01', '2021-09-27', '222', '7.84', '-47.06', 17, '40', '0.65', '0.35', '5', '8', 1439, -842, '88', '134', '-71.04']
['ADA-USDT', '5m', 'ADA-USDT', '2021-04-01', '2021-09-27', '229', '5.29', '-40.3', 11, '39', '0.6', '0.27', '4', '8', 1805, -808, '89', '140', '84.35']
['COTI-USDT', '5m', 'COTI-USDT', '2021-04-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2021-04-01', '2021-09-27', '225', '51.93', '-44.35', 134, '41', '1.27', '3.01', '4', '6', 2845, -1122, '93', '132', '64.77']
['UNI-USDT', '5m', 'UNI-USDT', '2021-04-01', '2021-09-27', '249', '19.98', '-48.89', 45, '43', '0.87', '0.91', '7', '8', 1868, -884, '106', '143', '-15.05']
['DOT-USDT', '5m', 'DOT-USDT', '2021-04-01', '2021-09-27', '249', '-41.01', '-63.1', -66, '39', '-0.3', '-1.04', '4', '10', 1932, -678, '97', '152', '-22.29']
['BNB-USDT', '5m', 'BNB-USDT', '2021-04-01', '2021-09-27', '206', '118.97', '-25.3', 390, '45', '2.08', '15.41', '4', '7', 5133, -1496, '92', '114', '13.25']
['ATOM-USDT', '5m', 'ATOM-USDT', '2021-04-01', '2021-09-27', '285', '-60.68', '-79.39', -85, '40', '-0.78', '-1.07', '6', '8', 2657, -1046, '114', '171', '107.62']
['CELR-USDT', '5m', 'CELR-USDT', '2021-04-01', '2021-09-27', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '5m', 'XTZ-USDT', '2021-04-01', '2021-09-27', '236', '-19.76', '-51.22', -36, '44', '0.24', '-0.7', '7', '6', 2581, -1614, '103', '133', '33.81']
