['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USD', '5m', 'BTC-USD', '2021-06-01', '2021-09-25', '160', '17.47', '-12.79', 65, '36', '1.7', '5.1', '6', '10', 871, -269, '58', '102', '15.3']
['ETH-USD', '5m', 'ETH-USD', '2021-06-01', '2021-09-25', '167', '70.92', '-8.56', 432, '46', '4.48', '50.49', '6', '6', 1013, -283, '77', '90', '8.78']
['SOL-USD', '5m', 'SOL-USD', '2021-06-01', '2021-09-25', '212', '23.35', '-19.05', 92, '43', '1.44', '4.85', '7', '7', 1471, -364, '92', '120', '327.25']
['AVAX-USD', '5m', 'AVAX-USD', '2021-06-01', '2021-09-25', '263', '-43.92', '-43.92', -84, '35', '-2.79', '-1.9', '5', '8', 691, -365, '93', '170', '300.83']
['FTT-USD', '5m', 'FTT-USD', '2021-06-01', '2021-09-25', '250', '5.95', '-25.16', 20, '40', '0.62', '0.79', '6', '8', 773, -748, '99', '151', '56.38']
['ATOM-USD', '5m', 'ATOM-USD', '2021-06-01', '2021-09-25', '286', '-51.37', '-59.78', -89, '36', '-3.29', '-1.5', '5', '10', 626, -270, '102', '184', '205.99']
['LUNA-USD', '5m', 'LUNA-USD', '2021-06-01', '2021-09-25', '271', '-27.31', '-34.99', -63, '40', '-1.44', '-1.8', '5', '8', 862, -392, '108', '163', '519.87']
['ADA-USD', '5m', 'ADA-USD', '2021-06-01', '2021-09-25', '224', '-6.02', '-19.82', -18, '37', '-0.2', '-0.89', '4', '8', 693, -268, '83', '141', '31.89']
['DOT-USD', '5m', 'DOT-USD', '2021-06-01', '2021-09-25', '234', '-5.59', '-41.68', -16, '36', '-0.08', '-0.39', '5', '12', 996, -352, '84', '150', '32.94']
['MATIC-USD', '5m', 'MATIC-USD', '2021-06-01', '2021-09-25', '228', '1.59', '-27.44', 5, '40', '0.39', '0.18', '7', '7', 1110, -384, '92', '136', '-39.38']
['XRP-USD', '5m', 'XRP-USD', '2021-06-01', '2021-09-25', '196', '39.64', '-18.74', 183, '41', '2.51', '9.79', '6', '9', 1210, -508, '80', '116', '-8.62']
['LINK-USD', '5m', 'LINK-USD', '2021-06-01', '2021-09-25', '223', '3.67', '-28.17', 12, '41', '0.47', '0.42', '6', '9', 680, -277, '92', '131', '-26.84']
['ALGO-USD', '5m', 'ALGO-USD', '2021-06-01', '2021-09-25', '229', '8.51', '-38.88', 29, '41', '0.76', '0.75', '6', '14', 1201, -504, '93', '136', '92.32']
['XTZ-USD', '5m', 'XTZ-USD', '2021-06-01', '2021-09-25', '235', '-26.85', '-37.69', -62, '37', '-1.41', '-1.65', '5', '8', 970, -361, '87', '148', '95.31']
['FTM-USD', '5m', 'FTM-USD', '2021-06-01', '2021-09-25', '257', '10.06', '-33.59', 35, '42', '0.78', '1.04', '5', '8', 1250, -948, '109', '148', '277.26']
['SRM-USD', '5m', 'SRM-USD', '2021-06-01', '2021-09-25', '261', '-19.84', '-38.54', -50, '39', '-0.68', '-1.29', '5', '10', 864, -468, '102', '159', '65.42']
['AXS-USD', '5m', 'AXS-USD', '2021-06-01', '2021-09-25', '265', '-43.04', '-49.36', -83, '35', '-2.2', '-1.68', '5', '14', 1151, -606, '93', '172', '1293.94']
