'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ZRX-USDT','5m','2021-09-11','2021-09-25','138','37.5','-5.11',231747,'51','11.93','45321.0','14','7',367,-101,'71','67','16.22'
'ZRX-USDT','5m','2021-07-01','2021-07-15','142','29.71','-1.4',55966,'50','11.6','40112.74','10','11',510,-102,'71','71','13.23'
'ZRX-USDT','5m','2021-06-21','2021-07-05','137','29.41','-1.56',52890,'61','17.29','33976.68','8','8',284,-101,'83','54','-0.01'
'ZRX-USDT','5m','2021-06-28','2021-07-12','135','20.77','-0.32',9770,'50','10.35','30689.92','10','11',247,-76,'67','68','38.66'
'ZRX-USDT','5m','2021-05-13','2021-05-27','205','35.89','-8.53',174178,'49','6.57','20428.44','8','10',416,-252,'101','104','-15.96'
'ZRX-USDT','5m','2021-06-30','2021-07-14','143','20.55','-1.38',9350,'49','10.04','6779.23','10','11',247,-102,'70','73','9.18'
'ZRX-USDT','5m','2021-09-08','2021-09-22','130','27.84','-5.82',39293,'50','9.94','6747.11','9','7',351,-114,'65','65','-8.45'
'ZRX-USDT','5m','2021-09-06','2021-09-20','134','25.1','-5.85',23179,'49','7.76','3962.06','8','7',387,-125,'65','69','-4.02'
'ZRX-USDT','5m','2021-06-24','2021-07-08','145','17.51','-1.56',4970,'52','14.62','3188.48','8','11',264,-91,'75','70','37.79'
'ZRX-USDT','5m','2021-09-01','2021-09-15','134','22.82','-5.82',14762,'42','7.4','2534.48','7','7',395,-128,'56','78','21.53'
'ZRX-USDT','5m','2021-08-28','2021-09-11','134','19.11','-3.2',6941,'39','6.79','2166.33','7','7',391,-127,'52','82','18.01'
'ZRX-USDT','5m','2021-09-03','2021-09-17','137','20.76','-5.84',9752,'44','6.66','1668.58','5','7',390,-126,'60','77','15.54'
'ZRX-USDT','5m','2021-07-03','2021-07-17','144','14.65','-2.48',2682,'47','5.81','1082.32','10','11',462,-100,'68','76','3.29'
'ZRX-USDT','5m','2021-08-29','2021-09-12','145','15.68','-4.4',3364,'37','5.32','765.08','5','7',396,-128,'53','92','19.19'
'ZRX-USDT','5m','2021-05-30','2021-06-13','149','15.38','-6.23',3152,'54','5.75','505.91','9','10',217,-97,'81','68','-4.76'
'ZRX-USDT','5m','2021-07-04','2021-07-18','148','13.43','-4.54',2045,'46','5.3','450.35','10','11',467,-101,'68','80','-3.57'
'ZRX-USDT','5m','2021-05-17','2021-05-31','212','18.09','-12.49',5613,'42','3.63','449.6','8','15',413,-229,'90','122','-31.21'
'ZRX-USDT','5m','2021-08-19','2021-09-02','138','12.18','-3.98',1540,'46','6.74','386.78','6','9',328,-78,'63','75','31.42'
'ZRX-USDT','5m','2021-06-02','2021-06-16','150','13.33','-6.23',2001,'52','4.98','320.99','8','10',222,-99,'78','72','-8.06'
'ZRX-USDT','5m','2021-07-12','2021-07-26','140','8.74','-4.62',668,'51','4.34','144.69','9','12',430,-101,'72','68','-0.83'
'ZRX-USDT','5m','2021-08-16','2021-08-30','137','7.14','-6.11',436,'45','3.95','71.33','7','10',319,-76,'61','76','12.5'
'ZRX-USDT','5m','2021-05-02','2021-05-16','146','5.48','-5.99',266,'46','2.44','44.46','7','9',251,-247,'67','79','-10.45'
'ZRX-USDT','5m','2021-08-17','2021-08-31','147','3.8','-5.88',148,'42','2.18','25.19','6','10',318,-76,'62','85','13.89'
'ZRX-USDT','5m','2021-04-30','2021-05-14','140','3.44','-6.0',128,'43','1.66','21.26','6','9',256,-252,'60','80','-3.79'
'ZRX-USDT','5m','2021-06-07','2021-06-21','149','4.66','-10.02',203,'41','1.9','20.24','9','17',213,-80,'61','88','-22.14'
'ZRX-USDT','5m','2021-07-21','2021-08-04','149','2.83','-4.98',97,'47','1.92','19.53','9','10',200,-110,'70','79','46.91'
'ZRX-USDT','5m','2021-06-06','2021-06-20','145','3.4','-10.03',126,'41','1.49','12.53','8','14',213,-80,'59','86','-21.25'
'ZRX-USDT','5m','2021-08-18','2021-09-01','149','2.18','-5.81',69,'41','1.39','11.84','6','10',310,-74,'61','88','22.24'
'ZRX-USDT','5m','2021-07-20','2021-08-03','148','1.67','-4.43',50,'46','1.21','11.25','9','12',197,-108,'68','80','39.49'
'ZRX-USDT','5m','2021-06-09','2021-06-23','156','2.08','-10.02',65,'42','1.18','6.49','9','17',189,-72,'65','91','-34.59'
'ZRX-USDT','5m','2021-08-12','2021-08-26','143','0.86','-6.15',23,'46','0.71','3.77','11','10',217,-75,'66','77','12.34'
'ZRX-USDT','5m','2021-08-08','2021-08-22','142','0.53','-4.5',14,'45','0.53','3.07','7','10',220,-69,'64','78','17.66'
'ZRX-USDT','5m','2021-05-25','2021-06-08','180','1.02','-14.81',28,'50','0.7','1.9','9','15',248,-128,'90','90','-0.93'
'ZRX-USDT','5m','2021-08-09','2021-08-23','145','0.27','-4.48',7,'44','0.36','1.49','7','10',223,-77,'64','81','26.99'
'ZRX-USDT','5m','2021-04-21','2021-05-05','164','0.34','-6.46',9,'43','0.43','1.34','8','14',264,-130,'71','93','16.93'
'ZRX-USDT','5m','2021-04-20','2021-05-04','163','-0.01','-6.48',0,'43','0.29','-0.05','8','12',263,-129,'70','93','34.02'
'ZRX-USDT','5m','2021-05-05','2021-05-19','162','-0.14','-9.87',-3,'44','0.31','-0.33','7','10',283,-252,'71','91','2.31'
'ZRX-USDT','5m','2021-08-13','2021-08-27','146','-0.33','-6.15',-8,'44','0.01','-1.27','7','10',216,-75,'64','82','9.78'
'ZRX-USDT','5m','2021-04-19','2021-05-03','169','-1.02','-6.48',-22,'43','-0.1','-3.4','8','12',263,-129,'72','97','20.31'
'ZRX-USDT','5m','2021-04-26','2021-05-10','139','-1.82','-9.23',-36,'43','-0.69','-3.9','6','9',268,-135,'60','79','31.05'
'ZRX-USDT','5m','2021-08-07','2021-08-21','142','-1.11','-4.46',-24,'44','-0.46','-5.34','7','10',143,-67,'62','80','24.48'
'ZRX-USDT','5m','2021-04-25','2021-05-09','149','-2.61','-8.74',-47,'44','-1.37','-5.43','6','9',266,-133,'65','84','40.58'
'ZRX-USDT','5m','2021-07-27','2021-08-10','141','-3.24','-7.37',-55,'43','-1.94','-7.48','7','10',190,-104,'61','80','34.65'
'ZRX-USDT','5m','2021-04-28','2021-05-12','148','-5.56','-9.74',-75,'41','-2.89','-7.71','6','9',239,-124,'60','88','3.35'
'ZRX-USDT','5m','2021-08-01','2021-08-15','136','-4.68','-8.31',-69,'42','-2.41','-8.28','7','10',139,-74,'57','79','27.41'
'ZRX-USDT','5m','2021-07-28','2021-08-11','134','-5.52','-8.34',-75,'43','-3.28','-8.98','6','10',191,-104,'57','77','34.03'
'ZRX-USDT','5m','2021-04-24','2021-05-08','152','-5.66','-8.44',-76,'41','-3.17','-8.98','6','9',257,-129,'62','90','28.49'
'ZRX-USDT','5m','2021-08-06','2021-08-20','151','-2.22','-4.47',-42,'44','-1.18','-9.43','7','10',143,-68,'66','85','22.45'
'ZRX-USDT','5m','2021-04-23','2021-05-07','145','-6.44','-7.99',-80,'41','-3.05','-10.05','6','9',250,-125,'60','85','25.99'
'ZRX-USDT','5m','2021-08-05','2021-08-19','154','-4.77','-5.67',-70,'42','-2.78','-12.27','7','11',141,-66,'64','90','22.74'
