'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','5m','N4M<B','2021-02-01','2021-08-01','305','112.37','-10.9',353,'40','3.26','32.38','6','7',1597,-532,'123','182','93.52'
'ETH-USD','5m','N4QVB','2021-02-01','2021-08-01','305','90.69','-13.18',265,'40','2.84','20.09','6','7',1579,-487,'122','183','93.52'
'ETH-USD','5m','>cCPI','2021-02-01','2021-08-01','229','95.01','-14.98',282,'29','2.58','18.81','4','13',2404,-691,'66','163','93.52'
'ETH-USD','5m','V?uEb','2021-02-01','2021-08-01','182','91.97','-14.59',270,'41','2.85','18.5','5','7',1680,-673,'74','108','93.52'
'ETH-USD','5m','N4L9I','2021-02-01','2021-08-01','296','84.45','-14.86',241,'40','2.8','16.24','6','7',1367,-458,'119','177','93.52'
'ETH-USD','5m','N4W=I','2021-02-01','2021-08-01','301','75.62','-13.94',209,'41','2.49','15.02','6','7',1669,-461,'122','179','93.52'
'ETH-USD','5m','NoL(I','2021-02-01','2021-08-01','117','84.99','-16.69',243,'33','2.35','14.58','3','7',2585,-1148,'39','78','93.52'
'ETH-USD','5m','N3QPB','2021-02-01','2021-08-01','309','68.82','-12.94',186,'41','2.41','14.36','6','7',1421,-527,'127','182','93.52'
'ETH-USD','5m','AcCPI','2021-02-01','2021-08-01','218','72.98','-14.06',200,'30','2.19','14.23','4','9',2123,-689,'65','153','93.52'
'ETH-USD','5m','@eCUI','2021-02-01','2021-08-01','212','78.51','-15.75',220,'30','2.25','13.94','4','8',2068,-701,'64','148','93.52'
'ETH-USD','5m','vnPVp','2021-02-01','2021-08-01','42','54.96','-10.59',141,'40','2.34','13.28','3','3',2705,-524,'17','25','93.52'
'ETH-USD','5m','rc5gI','2021-02-01','2021-08-01','134','56.77','-11.39',146,'34','2.06','12.85','3','7',1883,-877,'46','88','93.52'
'ETH-USD','5m','VMPOp','2021-02-01','2021-08-01','75','51.65','-10.49',131,'44','2.24','12.44','3','4',1832,-572,'33','42','93.52'
'ETH-USD','5m','/N8*m','2021-02-01','2021-08-01','393','89.79','-21.07',261,'31','2.8','12.41','4','8',1529,-368,'121','272','93.52'
'ETH-USD','5m','=cDk6','2021-02-01','2021-08-01','238','72.48','-16.21',198,'27','2.18','12.24','3','13',2692,-478,'65','173','93.52'
