'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'CELR-USDT','5m','CELR-USDT','2021-07-01','2021-09-27','129','81.87','-9.75',1062,'48','4.47','108.93','8','5',1785,-578,'62','67','471.35'
'ETH-USDT','5m','ETH-USDT','2021-07-01','2021-09-27','79','45.24','-6.24',362,'52','4.1','58.02','7','3',1252,-303,'41','38','34.74'
'SAND-USDT','5m','SAND-USDT','2021-07-01','2021-09-27','122','68.66','-19.59',753,'45','3.13','38.45','4','7',2164,-801,'55','67','167.94'
'ZRX-USDT','5m','ZRX-USDT','2021-07-01','2021-09-27','107','63.24','-16.86',646,'50','5.24','38.32','5','9',1039,-434,'53','54','20.81'
'AAVE-USDT','5m','AAVE-USDT','2021-07-01','2021-09-27','117','41.23','-15.31',312,'47','3.08','20.38','6','7',1227,-350,'55','62','17.05'
'CVC-USDT','5m','CVC-USDT','2021-07-01','2021-09-27','107','30.65','-16.73',199,'44','2.25','11.92','3','4',1296,-434,'47','60','75.71'
'SOL-USDT','5m','SOL-USDT','2021-07-01','2021-09-27','116','27.86','-15.91',174,'43','2.14','10.93','4','4',1154,-390,'50','66','283.78'
'UNI-USDT','5m','UNI-USDT','2021-07-01','2021-09-27','114','30.18','-18.89',195,'43','2.42','10.32','5','5',986,-275,'49','65','25.08'
'CRV-USDT','5m','CRV-USDT','2021-07-01','2021-09-27','120','24.2','-15.03',143,'47','2.03','9.53','5','6',1180,-429,'56','64','40.15'
'BNB-USDT','5m','BNB-USDT','2021-07-01','2021-09-27','88','15.41','-8.63',80,'43','1.81','9.27','4','7',880,-214,'38','50','13.69'
'XRP-USDT','5m','XRP-USDT','2021-07-01','2021-09-27','90','14.39','-8.14',74,'42','1.68','9.04','4','5',1165,-310,'38','52','34.16'
'DASH-USDT','5m','DASH-USDT','2021-07-01','2021-09-27','108','20.92','-15.02',118,'47','1.95','7.85','5','5',1292,-705,'51','57','11.57'
