'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'PERP-USD','5m','PERP-USD','2021-06-01','2021-09-25','46','147.56','-10.51',1591,'57','5.37','151.31','7','4',3012,-1033,'26','20','42.69'
'BADGER-USD','5m','BADGER-USD','2021-06-01','2021-09-25','51','138.08','-14.43',1397,'41','4.44','96.81','7','6',4251,-870,'21','30','40.46'
'RAMP-USD','5m','RAMP-USD','2021-06-01','2021-09-25','48','111.04','-10.01',928,'46','4.23','92.73','6','4',2787,-816,'22','26','11.96'
'ASD-USD','5m','ASD-USD','2021-06-01','2021-09-25','31','50.47','-2.85',258,'42','4.81','90.36','4','3',1077,-191,'13','18','-6.75'
'FIL-USD','5m','FIL-USD','2021-06-01','2021-09-25','22','55.92','-5.49',300,'55','3.82','54.58','2','2',1559,-641,'12','10','-12.32'
'SC-USD','5m','SC-USD','2021-06-01','2021-09-25','30','63.71','-9.37',365,'53','3.9','38.99','4','3',1420,-403,'16','14','-15.93'
'QTUM-USD','5m','QTUM-USD','2021-06-01','2021-09-25','33','83.5','-14.93',564,'52','4.16','37.8','6','8',2433,-717,'17','16','-19.04'
'FLOW-USD','5m','FLOW-USD','2021-06-01','2021-09-25','43','58.62','-10.52',322,'40','2.81','30.58','3','4',2992,-941,'17','26','19.81'
'AUDIO-USD','5m','AUDIO-USD','2021-06-01','2021-09-25','43','57.7','-11.03',314,'44','2.57','28.49','4','7',2600,-485,'19','24','100.71'
'EOS-USD','5m','EOS-USD','2021-06-01','2021-09-25','31','39.71','-6.7',184,'48','3.08','27.45','4','3',1088,-336,'15','16','-38.81'
'FIDA-USD','5m','FIDA-USD','2021-06-01','2021-09-25','45','70.14','-16.07',425,'40','3.68','26.43','3','7',2957,-523,'18','27','193.51'
'OXY-USD','5m','OXY-USD','2021-06-01','2021-09-25','36','32.07','-5.82',138,'36','3.94','23.73','4','9',884,-277,'13','23','-6.19'
'STEP-USD','5m','STEP-USD','2021-06-01','2021-09-25','48','76.06','-21.92',484,'44','3.03','22.07','4','6',3430,-1235,'21','27','-37.83'
'ETH-USD','5m','ETH-USD','2021-06-01','2021-09-25','25','34.77','-8.09',154,'44','3.79','18.99','2','2',1458,-255,'11','14','8.78'
'ALCX-USD','5m','ALCX-USD','2021-06-01','2021-09-25','62','51.25','-14.01',264,'42','2.79','18.81','2','4',1870,-799,'26','36','-71.54'
'MEDIA-USD','5m','MEDIA-USD','2021-06-01','2021-09-25','20','24.92','-6.34',100,'25','3.2','15.81','1','6',1162,-314,'5','15','-39.61'
'SNX-USD','5m','SNX-USD','2021-06-01','2021-09-25','27','32.08','-8.75',138,'41','2.47','15.79','3','3',1933,-310,'11','16','-20.77'
'SHIT-USD','5m','SHIT-USD','2021-06-01','2021-09-25','31','22.62','-5.88',89,'45','2.31','15.14','3','5',918,-232,'14','17','-10.67'
'MER-USD','5m','MER-USD','2021-06-01','2021-09-25','16','30.68','-8.62',130,'50','3.84','15.14','2','3',1023,-418,'8','8','-39.64'
'AXS-USD','5m','AXS-USD','2021-06-01','2021-09-25','28','55.63','-19.88',297,'43','2.76','14.96','5','4',4088,-708,'12','16','1293.94'
