iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
60,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
60,PIHAE,0.5531093327029586,39,101,45.9,50,14,4.01,39,392,38,17,98
60,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
60,V?uEb,0.45865011614015494,43,102,42.69,68,16,19.21,45,304,78,20,186
60,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
60,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
60,n2mIZ,0.41672043682758503,50,122,41.58,61,13,10.34,67,189,71,22,162
60,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
60,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
60,;IQYL,0.38580923277398865,40,122,56.17,47,19,3.16,20,392,46,32,119
60,*Vjdg,0.37616352601913877,42,52,22.09,22,9,-0.87,4,508,68,38,201
60,B<Tl@,0.3760638560257399,47,155,59.44,38,21,6.57,26,277,49,43,83
60,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
60,-[gh1,0.3524532769489856,36,148,41.23,31,29,2.24,7,552,66,41,37
60,d1[.Y,0.3411304864624646,51,129,39.72,47,17,2.97,57,180,55,6,159
60,VLoI(,0.34087758340784263,36,85,32.74,30,13,-1.04,45,419,73,22,10
60,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
60,<gZ)D,0.33704520299741897,34,86,50.64,25,8,-1.7,20,658,54,3,95
60,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
60,"hHT,j",0.2705245249881533,39,68,32.36,57,14,16.54,61,384,49,4,211
60,")nO,5",0.2590258247576336,23,178,39.77,36,25,7.12,3,720,45,4,49
60,8nscK,0.25424935446279573,36,86,40.88,50,8,9.9,17,720,76,38,116
60,Q]1]i,0.24497361628062897,45,44,24.92,60,5,11.01,40,570,18,34,207
60,L`auf,0.23638146773293744,41,34,23.97,25,4,2.45,35,596,61,49,198
60,/EAmi,0.23242614045421695,43,23,12.6,33,6,1.93,8,357,32,44,207
60,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
60,VVCq=,0.220503600414308,36,76,25.42,36,11,2.68,45,508,34,46,74
60,<cJ77,0.2201971936671187,30,93,31.13,36,11,9.35,20,623,40,11,56
60,N45LY,0.21994051498470732,45,151,28.02,52,21,18.5,37,206,22,24,159
60,?2_b[,0.2165956045214832,47,136,19.61,39,23,10.29,23,189,59,37,165
60,/N8*m,0.6201865571983489,33,184,56.34,27,33,-1.49,8,437,24,3,220
60,PIHAE,0.5531093327029586,39,101,45.9,50,14,4.01,39,392,38,17,98
60,JSIgn,0.47613202377945824,42,33,27.51,60,5,1.83,33,481,39,40,223
60,V?uEb,0.45865011614015494,43,102,42.69,68,16,19.21,45,304,78,20,186
60,BGs(@,0.4546965037186446,40,112,61.86,60,15,20.06,26,375,76,2,83
60,VH7Mj,0.42954538698102074,37,72,30.8,22,9,-4.21,45,384,23,24,211
60,n2mIZ,0.41672043682758503,50,122,41.58,61,13,10.34,67,189,71,22,162
60,^A?@o,0.3974996460070256,38,71,34.9,50,12,7.27,52,322,30,17,226
60,I^GbS,0.3965255665660487,39,76,35.95,44,9,3.69,32,578,37,37,141
60,;IQYL,0.38580923277398865,40,122,56.17,47,19,3.16,20,392,46,32,119
60,*Vjdg,0.37616352601913877,42,52,22.09,22,9,-0.87,4,508,68,38,201
60,B<Tl@,0.3760638560257399,47,155,59.44,38,21,6.57,26,277,49,43,83
60,UKB6v,0.3661186125118673,41,68,45.71,30,10,-1.98,44,410,33,11,247
60,-[gh1,0.3524532769489856,36,148,41.23,31,29,2.24,7,552,66,41,37
60,d1[.Y,0.3411304864624646,51,129,39.72,47,17,2.97,57,180,55,6,159
60,VLoI(,0.34087758340784263,36,85,32.74,30,13,-1.04,45,419,73,22,10
60,VSOD_,0.3385560715617903,41,73,37.96,40,10,0.6,45,481,45,19,177
60,<gZ)D,0.33704520299741897,34,86,50.64,25,8,-1.7,20,658,54,3,95
60,Q_Ka],0.28033610167122225,38,60,40.26,44,9,1.88,40,587,41,37,171
60,"hHT,j",0.2705245249881533,39,68,32.36,57,14,16.54,61,384,49,4,211
60,")nO,5",0.2590258247576336,23,178,39.77,36,25,7.12,3,720,45,4,49
60,8nscK,0.25424935446279573,36,86,40.88,50,8,9.9,17,720,76,38,116
60,Q]1]i,0.24497361628062897,45,44,24.92,60,5,11.01,40,570,18,34,207
60,L`auf,0.23638146773293744,41,34,23.97,25,4,2.45,35,596,61,49,198
60,/EAmi,0.23242614045421695,43,23,12.6,33,6,1.93,8,357,32,44,207
60,oY^QO,0.22119307988436576,36,68,29.22,33,9,-4.37,68,534,58,27,128
60,VVCq=,0.220503600414308,36,76,25.42,36,11,2.68,45,508,34,46,74
60,<cJ77,0.2201971936671187,30,93,31.13,36,11,9.35,20,623,40,11,56
