['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2020-10-01', '2021-10-01', '121', '44.22', '-42.35', 47, '56', '0.18', '0.91', '1.1', '6', '6', 1946, -1436, '68', '53', '306.4']
['ETH-USDT', '5m', 'ETH-USDT', '2020-10-01', '2021-10-01', '101', '1093.17', '-27.98', 1135, '71', '28.46', '3.84', '40.58', '13', '2', 16203, -14722, '72', '29', '733.2']
['SOL-USDT', '5m', 'SOL-USDT', '2020-10-01', '2021-10-01', '144', '-77.77', '-71.62', -61, '51', '-0.09', '-0.23', '-0.85', '6', '4', 1653, -2748, '73', '71', '4762.84']
['DYDX-USDT', '5m', 'DYDX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2020-10-01', '2021-10-01', '109', '1290.67', '-42.69', 1365, '64', '27.53', '3.29', '31.98', '7', '4', 20606, -8626, '70', '39', '2991.5']
['AVAX-USDT', '5m', 'AVAX-USDT', '2020-10-01', '2021-10-01', '115', '-62.23', '-57.26', -52, '54', '-0.16', '-0.03', '-0.9', '7', '4', 1566, -2526, '62', '53', '1439.54']
['LUNA-USDT', '5m', 'LUNA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FIL-USDT', '5m', 'FIL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ADA-USDT', '5m', 'ADA-USDT', '2020-10-01', '2021-10-01', '104', '-18.8', '-61.61', -12, '56', '-0.02', '0.23', '-0.19', '6', '8', 1934, -1866, '58', '46', '1987.45']
['COTI-USDT', '5m', 'COTI-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2020-10-01', '2021-10-01', '109', '-105.19', '-95.07', -92, '49', '-0.05', '-1.9', '-0.97', '5', '6', 1467, -3479, '53', '56', '294.33']
['UNI-USDT', '5m', 'UNI-USDT', '2020-10-01', '2021-10-01', '97', '54.53', '-44.93', 74, '58', '0.35', '1.08', '1.65', '7', '4', 2656, -2166, '56', '41', '465.68']
['DOT-USDT', '5m', 'DOT-USDT', '2020-10-01', '2021-10-01', '104', '30.45', '-61.05', 34, '55', '0.07', '0.77', '0.55', '11', '3', 2053, -1932, '57', '47', '557.53']
['BNB-USDT', '5m', 'BNB-USDT', '2020-10-01', '2021-10-01', '100', '16.59', '-43.98', 19, '56', '0.07', '0.63', '0.44', '4', '4', 2183, -2037, '56', '44', '1224.81']
['ATOM-USDT', '5m', 'ATOM-USDT', '2020-10-01', '2021-10-01', '115', '3.03', '-60.06', 74, '59', '0.64', '1.08', '1.24', '10', '11', 5463, -8456, '68', '47', '575.48']
['CELR-USDT', '5m', 'CELR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '5m', 'XTZ-USDT', '2020-10-01', '2021-10-01', '118', '-85.93', '-88.69', -81, '47', '-0.05', '-1.47', '-0.92', '6', '9', 1063, -1119, '56', '62', '175.4']
['LINK-USDT', '5m', 'LINK-USDT', '2020-10-01', '2021-10-01', '94', '63.22', '-44.6', 69, '62', '0.34', '1.05', '1.55', '6', '6', 3478, -3985, '58', '36', '143.28']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2020-10-01', '2021-10-01', '102', '249.31', '-39.43', 353, '62', '3.21', '2.01', '8.96', '9', '3', 7821, -12562, '63', '39', '692.8']
['LTC-USDT', '5m', 'LTC-USDT', '2020-10-01', '2021-10-01', '112', '-45.21', '-49.93', -32, '54', '-0.07', '-0.03', '-0.64', '6', '4', 1469, -1511, '61', '51', '230.89']
['EOS-USDT', '5m', 'EOS-USDT', '2020-10-01', '2021-10-01', '119', '-56.29', '-76.49', -46, '47', '-0.05', '-0.2', '-0.6', '6', '7', 1642, -1414, '56', '63', '52.56']
['ALGO-USDT', '5m', 'ALGO-USDT', '2020-10-01', '2021-10-01', '93', '-38.95', '-53.82', -26, '60', '-0.08', '0.04', '-0.49', '11', '3', 1521, -1675, '56', '37', '368.5']
['DOGE-USDT', '5m', 'DOGE-USDT', '2020-10-01', '2021-10-01', '78', '-60.17', '-78.09', -54, '46', '-0.05', '-0.47', '-0.7', '5', '6', 1568, -1589, '36', '42', '7648.1']
['CRV-USDT', '5m', 'CRV-USDT', '2020-10-01', '2021-10-01', '109', '-59.75', '-73.78', -52, '54', '-0.06', '-0.05', '-0.7', '8', '7', 1643, -2836, '59', '50', '145.84']
['MATIC-USDT', '5m', 'MATIC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AXS-USDT', '5m', 'AXS-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SRM-USDT', '5m', 'SRM-USDT', '2020-10-01', '2021-10-01', '157', '-88.04', '-86.93', -78, '55', '-0.07', '-0.74', '-0.9', '10', '8', 1930, -3866, '87', '70', '297.33']
['REN-USDT', '5m', 'REN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONE-USDT', '5m', 'ONE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USDT', '5m', 'ETC-USDT', '2020-10-01', '2021-10-01', '114', '-93.78', '-85.44', -85, '46', '-0.06', '-1.66', '-0.99', '5', '6', 1295, -1104, '52', '62', '773.32']
['BCH-USDT', '5m', 'BCH-USDT', '2020-10-01', '2021-10-01', '99', '82.94', '-50.46', 103, '58', '0.41', '1.33', '2.05', '9', '5', 2485, -4025, '57', '42', '120.12']
['ICP-USDT', '5m', 'ICP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USDT', '5m', 'AAVE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1INCH-USDT', '5m', '1INCH-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALICE-USDT', '5m', 'ALICE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEAR-USDT', '5m', 'NEAR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BZRX-USDT', '5m', 'BZRX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '5m', 'OMG-USDT', '2020-10-01', '2021-10-01', '93', '-48.63', '-72.46', -33, '53', '-0.03', '-0.09', '-0.46', '5', '5', 1821, -1363, '49', '44', '209.21']
['TRX-USDT', '5m', 'TRX-USDT', '2020-10-01', '2021-10-01', '118', '44.39', '-39.35', 51, '53', '0.34', '0.9', '1.29', '8', '7', 2228, -1659, '62', '56', '241.17']
['BAKE-USDT', '5m', 'BAKE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '5m', 'GALA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2020-10-01', '2021-10-01', '107', '25.85', '-61.01', 28, '54', '0.09', '0.74', '0.46', '6', '6', 2785, -3834, '58', '49', '578.4']
