['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-08-01', '2021-10-01', '11', '-0.48', '-2.0', -1, '73', '-0.18', '-0.49', '4', '2', 30, -97, '8', '3', '5.71']
['ETH-USDT', '5m', 'ETH-USDT', '2021-08-01', '2021-10-01', '27', '6.74', '-1.0', 51, '96', '8.81', '56.95', '26', '1', 32, -122, '26', '1', '18.51']
['SOL-USDT', '5m', 'SOL-USDT', '2021-08-01', '2021-10-01', '26', '-16.05', '-5.0', -17, '65', '-1.36', '-3.55', '5', '4', 30, -861, '17', '9', '285.06']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-08-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-08-01', '2021-10-01', '30', '-16.35', '-13.0', -52, '73', '-3.58', '-4.04', '8', '2', 29, -737, '22', '8', '370.68']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-08-01', '2021-10-01', '25', '-11.25', '-9.0', -33, '76', '-1.94', '-3.59', '10', '4', 31, -484, '19', '6', '391.15']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-08-01', '2021-10-01', '24', '-7.44', '-4.0', -1, '71', '-0.07', '-0.31', '6', '2', 30, -407, '17', '7', '267.76']
['FIL-USDT', '5m', 'FIL-USDT', '2021-08-01', '2021-10-01', '19', '-0.46', '-1.0', 18, '74', '3.84', '15.91', '6', '2', 31, -138, '14', '5', '15.62']
['ADA-USDT', '5m', 'ADA-USDT', '2021-08-01', '2021-10-01', '32', '-6.5', '-3.0', 3, '72', '0.36', '1.29', '7', '2', 31, -208, '23', '9', '60.4']
['COTI-USDT', '5m', 'COTI-USDT', '2021-08-01', '2021-10-01', '29', '-14.53', '-10.0', -27, '66', '-1.85', '-2.62', '7', '4', 30, -471, '19', '10', '351.08']
['XRP-USDT', '5m', 'XRP-USDT', '2021-08-01', '2021-10-01', '26', '-8.1', '-4.0', -22, '65', '-1.96', '-4.84', '6', '4', 30, -308, '17', '9', '27.68']
