['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USD', '5m', 'BTC-USD', '2021-06-01', '2021-10-01', '53', '43.55', '-18.0', 195, '64', '1.69', '2.17', '10.7', '5', '3', 1748, -1303, '34', '19', '17.97']
['ETH-USD', '5m', 'ETH-USD', '2021-06-01', '2021-10-01', '46', '142.69', '-11.0', 1402, '74', '14.23', '4.52', '122.25', '13', '2', 2687, -2377, '34', '12', '11.36']
['SOL-USD', '5m', 'SOL-USD', '2021-06-01', '2021-10-01', '36', '31.55', '-19.0', 147, '53', '1.01', '1.81', '7.6', '3', '2', 1937, -1715, '19', '17', '333.76']
['AVAX-USD', '5m', 'AVAX-USD', '2021-06-01', '2021-10-01', '39', '-49.66', '-45.0', -82, '51', '-0.37', '-1.38', '-1.84', '4', '3', 1155, -1558, '20', '19', '269.4']
['FTT-USD', '5m', 'FTT-USD', '2021-06-01', '2021-10-01', '73', '49.52', '-36.0', 252, '63', '0.72', '1.86', '6.93', '8', '4', 1751, -3380, '46', '27', '52.75']
['ATOM-USD', '5m', 'ATOM-USD', '2021-06-01', '2021-10-01', '44', '-26.05', '-47.0', -51, '57', '-0.11', '-0.61', '-1.08', '5', '6', 1589, -2414, '25', '19', '160.13']
['LUNA-USD', '5m', 'LUNA-USD', '2021-06-01', '2021-10-01', '42', '-5.96', '-37.0', 5, '57', '0.02', '0.41', '0.13', '7', '9', 1441, -1534, '24', '18', '499.97']
['ADA-USD', '5m', 'ADA-USD', '2021-06-01', '2021-10-01', '40', '27.81', '-19.0', 130, '57', '1.23', '1.63', '6.8', '6', '5', 1818, -1777, '23', '17', '22.39']
['DOT-USD', '5m', 'DOT-USD', '2021-06-01', '2021-10-01', '36', '124.99', '-12.0', 1136, '67', '5.78', '4.91', '92.35', '10', '2', 2787, -2146, '24', '12', '23.51']
['MATIC-USD', '5m', 'MATIC-USD', '2021-06-01', '2021-10-01', '37', '80.42', '-19.0', 484, '65', '5.17', '2.73', '25.84', '7', '3', 2197, -2090, '24', '13', '-39.48']
['XRP-USD', '5m', 'XRP-USD', '2021-06-01', '2021-10-01', '28', '66.62', '-14.0', 361, '71', '6.03', '2.77', '26.34', '4', '2', 1994, -1486, '20', '8', '-7.77']
['LINK-USD', '5m', 'LINK-USD', '2021-06-01', '2021-10-01', '43', '75.46', '-28.0', 438, '72', '2.94', '2.58', '15.58', '8', '3', 2812, -3306, '31', '12', '-24.59']
['ALGO-USD', '5m', 'ALGO-USD', '2021-06-01', '2021-10-01', '36', '-14.77', '-46.0', -38, '64', '-0.05', '-0.36', '-0.83', '8', '2', 1227, -1133, '23', '13', '75.2']
['XTZ-USD', '5m', 'XTZ-USD', '2021-06-01', '2021-10-01', '45', '-3.72', '-41.0', 12, '58', '0.03', '0.52', '0.29', '6', '2', 1821, -1750, '26', '19', '69.38']
['FTM-USD', '5m', 'FTM-USD', '2021-06-01', '2021-10-01', '31', '118.82', '-20.0', 1079, '77', '6.36', '4.3', '52.71', '6', '2', 2631, -2373, '24', '7', '278.55']
['SRM-USD', '5m', 'SRM-USD', '2021-06-01', '2021-10-01', '42', '-38.27', '-64.0', -71, '55', '-0.12', '-0.73', '-1.1', '6', '4', 2100, -3042, '23', '19', '57.65']
['AXS-USD', '5m', 'AXS-USD', '2021-06-01', '2021-10-01', '39', '-41.33', '-61.0', -33, '54', '-0.03', '0.12', '-0.54', '8', '5', 2538, -3942, '21', '18', '1422.53']
['DOGE-USD', '5m', 'DOGE-USD', '2021-06-01', '2021-10-01', '30', '3.11', '-28.0', 10, '50', '0.03', '0.45', '0.35', '3', '3', 1647, -1668, '15', '15', '-37.08']
