'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','5m','L3S,Jc,','2019-02-01','2021-08-01','629','241.36','-18.14',65,'43','3.4','1.86','3.56','6','9',909,-1035,'268','361','2277.24'
'ETH-USDT','5m','Z,McYkh','2019-02-01','2021-08-01','257','93.16','-11.1',32,'61','3.41','1.69','2.86','16','5',800,-415,'157','100','2277.24'
'ETH-USDT','5m','q:XRt(^','2019-02-01','2021-08-01','704','195.69','-20.82',59,'47','4.22','1.44','2.85','13','9',1745,-2217,'334','370','2277.24'
'ETH-USDT','5m','e.MTe2c','2019-02-01','2021-08-01','907','176.07','-21.31',59,'48','2.52','1.59','2.79','7','8',1292,-1585,'432','475','2277.24'
'ETH-USDT','5m','uYkSlpO','2019-02-01','2021-08-01','71','103.9','-12.77',33,'55','2.4','1.63','2.58','6','7',1608,-1267,'39','32','2277.24'
'ETH-USDT','5m','*3Xto_P','2019-02-01','2021-08-01','170','51.89','-8.86',18,'39','1.29','1.36','2.07','4','13',1050,-330,'66','104','2277.24'
'ETH-USDT','5m','i5fI*?H','2019-02-01','2021-08-01','660','195.26','-32.77',55,'41','0.95','1.22','1.68','5','7',1974,-2243,'271','389','2277.24'
'ETH-USDT','5m','MPEMqa','2019-02-01','2021-08-01','273','58.26','-15.45',21,'47','0.81','0.95','1.35','7','11',579,-711,'129','144','2277.24'
'ETH-USDT','5m','qAJQ/bS','2019-02-01','2021-08-01','473','62.35','-23.35',27,'41','0.83','0.91','1.15','4','9',800,-1255,'195','278','2277.24'
'ETH-USDT','5m',')_f6ZeH','2019-02-01','2021-08-01','313','58.82','-17.97',20,'28','0.61','1.11','1.13','4','11',750,-333,'87','226','2277.24'
'ETH-USDT','5m',')_frZeH','2019-02-01','2021-08-01','313','53.04','-16.88',19,'27','0.73','0.95','1.1','4','11',1236,-313,'86','227','2277.24'
'ETH-USDT','5m',')_freH','2019-02-01','2021-08-01','293','50.69','-16.88',18,'28','0.78','0.93','1.06','5','11',1278,-317,'83','210','2277.24'
'ETH-USDT','5m','u9?08fc','2019-02-01','2021-08-01','438','11.57','-17.74',17,'56','0.38','0.92','0.94','9','5',200,-641,'244','194','2277.24'
'ETH-USDT','5m',')_freeH','2019-02-01','2021-08-01','190','31.39','-12.87',12,'32','0.43','0.77','0.9','3','10',825,-307,'60','130','2277.24'
'ETH-USDT','5m','e(g,5-.','2019-02-01','2021-08-01','1013','92.4','-38.6',33,'37','0.31','0.91','0.86','5','14',702,-608,'372','641','2277.24'
'ETH-USDT','5m','\\0:b+1','2019-02-01','2021-08-01','952','57.66','-29.0',21,'33','0.33','0.69','0.74','4','13',646,-641,'310','642','2277.24'
'ETH-USDT','5m',')_frVeH','2019-02-01','2021-08-01','352','36.79','-19.42',13,'26','0.39','0.71','0.69','5','13',1165,-307,'93','259','2277.24'
'ETH-USDT','5m','(^;jZ(','2019-02-01','2021-08-01','588','51.04','-26.51',18,'20','0.17','0.82','0.68','6','28',627,-316,'120','468','2277.24'
'ETH-USDT','5m',':7fs*jH','2019-02-01','2021-08-01','1217','68.22','-34.69',23,'35','0.33','0.67','0.67','6','11',1460,-515,'426','791','2277.24'
'ETH-USDT','5m',':7fs*j9','2019-02-01','2021-08-01','1217','65.84','-36.04',23,'33','0.3','0.64','0.62','6','17',1667,-506,'398','819','2277.24'
'ETH-USDT','5m','Ua\\997','2019-02-01','2021-08-01','642','57.92','-36.27',20,'31','0.34','0.63','0.56','4','10',1254,-1301,'201','441','2277.24'
