'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'FTM-USDT','5m','FTM-USDT','2021-06-01','2021-10-01','34','78.63','-5.0',508,'79','30.32','5.86','96.08','7','2',1126,-688,'27','7','278.81'
'ETH-USDT','5m','ETH-USDT','2021-06-01','2021-10-01','46','60.83','-5.0',329,'74','14.6','4.63','60.31','13','2',970,-752,'34','12','11.45'
'AAVE-USDT','5m','AAVE-USDT','2021-06-01','2021-10-01','41','72.55','-8.0',411,'73','6.99','5.62','51.62','9','3',1057,-628,'30','11','-27.36'
'IOST-USDT','5m','IOST-USDT','2021-06-01','2021-10-01','27','60.83','-6.0',314,'78','14.38','4.36','49.54','5','1',1014,-1019,'21','6','68.68'
'XEM-USDT','5m','XEM-USDT','2021-06-01','2021-10-01','25','62.17','-7.0',325,'88','13.44','4.22','44.03','11','1',942,-658,'22','3','-24.06'
'DOT-USDT','5m','DOT-USDT','2021-06-01','2021-10-01','36','57.0','-8.0',286,'69','3.73','5.15','36.27','11','3',989,-730,'25','11','23.54'
'BAT-USDT','5m','BAT-USDT','2021-06-01','2021-10-01','36','45.21','-6.0',205,'72','8.32','3.74','34.95','5','2',862,-435,'26','10','-17.09'
'HOT-USDT','5m','HOT-USDT','2021-06-01','2021-10-01','26','46.16','-7.0',221,'69','12.25','3.36','30.53','9','3',900,-471,'18','8','-11.63'
'ONE-USDT','5m','ONE-USDT','2021-06-01','2021-10-01','35','44.83','-8.0',212,'66','6.69','3.24','27.6','7','2',822,-469,'23','12','50.01'
'BTC-USDT','5m','BTC-USDT','2021-06-01','2021-10-01','51','35.52','-6.0',148,'67','6.04','3.27','22.92','6','3',816,-554,'34','17','18.03'
'VET-USDT','5m','VET-USDT','2021-06-01','2021-10-01','32','39.88','-10.0',182,'69','1.87','3.22','17.77','6','2',898,-728,'22','10','-22.83'
'DENT-USDT','5m','DENT-USDT','2021-06-01','2021-10-01','28','37.63','-10.0',160,'75','3.36','2.65','16.33','7','3',793,-695,'21','7','13.63'
'MATIC-USDT','5m','MATIC-USDT','2021-06-01','2021-10-01','32','30.79','-8.0',123,'62','6.53','2.19','16.22','7','2',873,-636,'20','12','-39.38'
'IOTA-USDT','5m','IOTA-USDT','2021-06-01','2021-10-01','24','18.1','-5.0',64,'71','1.77','2.06','12.14','5','2',685,-573,'17','7','3.93'
'BCH-USDT','5m','BCH-USDT','2021-06-01','2021-10-01','42','40.26','-15.0',175,'74','2.01','3.42','11.65','9','2',817,-1081,'31','11','-28.09'
'BAND-USDT','5m','BAND-USDT','2021-06-01','2021-10-01','36','22.75','-9.0',98,'61','2.07','2.37','10.93','4','3',852,-990,'22','14','-19.39'
'QTUM-USDT','5m','QTUM-USDT','2021-06-01','2021-10-01','34','29.03','-12.0',133,'68','0.9','2.52','10.65','7','3',858,-728,'23','11','-15.08'
'COTI-USDT','5m','COTI-USDT','2021-06-01','2021-10-01','32','32.51','-13.0',138,'69','2.42','2.27','10.29','8','2',824,-828,'22','10','166.57'
'ZRX-USDT','5m','ZRX-USDT','2021-06-01','2021-10-01','33','31.98','-13.0',129,'73','0.73','2.78','10.05','9','2',826,-737,'24','9','-9.72'
'OMG-USDT','5m','OMG-USDT','2021-06-01','2021-10-01','29','28.01','-12.0',109,'66','0.99','2.44','9.27','5','4',715,-658,'19','10','90.17'
'DGB-USDT','5m','DGB-USDT','2021-06-01','2021-10-01','36','21.84','-10.0',92,'61','0.97','2.39','9.13','4','3',717,-672,'22','14','-32.2'
