'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'XTZ-USDT','5m','XTZ-USDT','2021-08-01','2021-10-01','30','2.94','-1.0',1252,'80','11.69','1125.91','10','1',227,-1643,'24','6','99.7'
'UNI-USDT','5m','UNI-USDT','2021-08-01','2021-10-01','25','9.2','-2.0',503,'84','9.08','241.88','10','1',196,-833,'21','4','8.32'
'ETH-USDT','5m','ETH-USDT','2021-08-01','2021-10-01','25','15.27','-4.0',512,'80','8.43','115.35','8','2',198,-611,'20','5','18.51'
'RLC-USDT','5m','RLC-USDT','2021-08-01','2021-10-01','29','-6.65','-5.0',574,'79','7.88','106.41','8','2',202,-1617,'23','6','4.84'
'MATIC-USDT','5m','MATIC-USDT','2021-08-01','2021-10-01','25','-9.22','-3.0',348,'76','6.73','101.14','5','1',190,-864,'19','6','4.29'
'RUNE-USDT','5m','RUNE-USDT','2021-08-01','2021-10-01','34','-27.26','-7.0',399,'76','5.05','56.68','11','2',201,-1308,'26','8','8.17'
'STMX-USDT','5m','STMX-USDT','2021-08-01','2021-10-01','18','8.61','-5.0',228,'83','5.53','46.37','7','1',179,-804,'15','3','5.87'
'LINK-USDT','5m','LINK-USDT','2021-08-01','2021-10-01','24','-1.19','-8.0',267,'75','4.58','32.51','5','2',183,-1148,'18','6','5.66'
'YFII-USDT','5m','YFII-USDT','2021-08-01','2021-10-01','26','-7.44','-12.0',312,'77','3.88','26.72','9','2',186,-1439,'20','6','14.7'
'SUSHI-USDT','5m','SUSHI-USDT','2021-08-01','2021-10-01','23','5.82','-10.0',224,'83','3.79','21.92','6','1',179,-1327,'19','4','14.74'
'COMP-USDT','5m','COMP-USDT','2021-08-01','2021-10-01','25','-4.58','-10.0',224,'76','3.78','21.53','9','2',188,-1420,'19','6','-21.83'
