'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ETH-USDT','5m','ETH-USDT','2020-10-01','2021-10-01','391','151.62','-16.14',179,'53','6.63','3.09','11.08','7','4',1053,-1191,'207','184','733.34'
'LINK-USDT','5m','LINK-USDT','2020-10-01','2021-10-01','490','110.21','-24.06',152,'50','3.67','2.32','6.32','7','8',1103,-1238,'244','246','143.05'
'FTM-USDT','5m','FTM-USDT','2020-10-01','2021-10-01','595','94.31','-38.85',188,'48','1.27','2.06','4.85','5','9',1149,-5252,'285','310','3005.28'
'BTT-USDT','5m','BTT-USDT','2020-10-01','2021-10-01','452','67.49','-23.63',109,'46','1.3','1.83','4.62','6','7',1039,-1050,'208','244','850.1'
'TRX-USDT','5m','TRX-USDT','2020-10-01','2021-10-01','448','61.96','-20.33',87,'47','1.73','1.75','4.27','6','8',814,-799,'212','236','241.21'
'VET-USDT','5m','VET-USDT','2020-10-01','2021-10-01','495','24.89','-21.71',65,'48','1.08','1.27','3.0','6','5',747,-927,'240','255','609.44'
'NULS-USDT','5m','NULS-USDT','2020-10-01','2021-10-01','500','32.21','-50.3',69,'48','0.18','1.27','1.38','8','6',691,-1956,'239','261','69.94'
'CELR-USDT','5m','CELR-USDT','2020-10-01','2021-10-01','543','2.3','-57.07',71,'46','0.14','1.23','1.25','6','9',756,-1025,'248','295','2494.56'
'ONT-USDT','5m','ONT-USDT','2020-10-01','2021-10-01','488','4.33','-41.01',31,'46','0.12','0.78','0.76','6','10',483,-587,'226','262','23.72'
'XLM-USDT','5m','XLM-USDT','2020-10-01','2021-10-01','474','-10.04','-32.57',15,'48','0.07','0.53','0.45','8','10',466,-561,'226','248','272.0'
'ADA-USDT','5m','ADA-USDT','2020-10-01','2021-10-01','470','-11.86','-32.86',14,'46','0.12','0.52','0.44','6','11',491,-680,'215','255','1986.0'
'ZEC-USDT','5m','ZEC-USDT','2020-10-01','2021-10-01','465','-35.34','-45.75',7,'44','0.02','0.37','0.15','9','7',702,-959,'204','261','67.11'
'ZRX-USDT','5m','ZRX-USDT','2020-10-01','2021-10-01','529','-24.88','-56.87',2,'46','0.0','0.29','0.03','7','8',438,-719,'244','285','123.58'
'MATIC-USDT','5m','MATIC-USDT','2020-10-01','2021-10-01','521','-54.62','-56.51',-6,'44','-0.01','0.16','-0.11','6','11',600,-842,'231','290','5484.16'
'ZIL-USDT','5m','ZIL-USDT','2020-10-01','2021-10-01','536','-60.23','-46.67',-20,'45','-0.06','-0.19','-0.43','7','8',548,-684,'240','296','337.83'
'LTC-USDT','5m','LTC-USDT','2020-10-01','2021-10-01','459','-37.96','-34.87',-16,'44','-0.07','-0.22','-0.46','6','10',412,-457,'202','257','231.39'
'BNB-USDT','5m','BNB-USDT','2020-10-01','2021-10-01','459','-36.91','-51.02',-27,'43','-0.04','-0.57','-0.53','8','7',401,-533,'198','261','1224.28'
'NEO-USDT','5m','NEO-USDT','2020-10-01','2021-10-01','504','-52.81','-58.77',-34,'42','-0.03','-0.64','-0.58','5','9',365,-406,'211','293','105.34'
'QTUM-USDT','5m','QTUM-USDT','2020-10-01','2021-10-01','512','-52.63','-34.53',-21,'45','-0.12','-0.21','-0.61','7','6',427,-712,'232','280','327.35'
'DASH-USDT','5m','DASH-USDT','2020-10-01','2021-10-01','482','-47.86','-43.97',-30,'44','-0.05','-0.49','-0.67','5','8',396,-703,'212','270','139.85'
'BAT-USDT','5m','BAT-USDT','2020-10-01','2021-10-01','510','-54.72','-54.08',-37,'44','-0.04','-0.7','-0.68','8','7',380,-463,'223','287','163.88'
'OMG-USDT','5m','OMG-USDT','2020-10-01','2021-10-01','545','-58.83','-43.65',-30,'42','-0.08','-0.51','-0.69','5','10',400,-457,'228','317','209.54'
'ENJ-USDT','5m','ENJ-USDT','2020-10-01','2021-10-01','529','-74.56','-48.6',-34,'43','-0.06','-0.51','-0.71','7','12',389,-586,'230','299','714.75'
'XRP-USDT','5m','XRP-USDT','2020-10-01','2021-10-01','470','-75.31','-64.4',-47,'41','-0.04','-1.01','-0.74','5','8',392,-999,'191','279','294.25'
'ICX-USDT','5m','ICX-USDT','2020-10-01','2021-10-01','515','-70.77','-51.4',-40,'42','-0.07','-0.63','-0.78','8','9',354,-442,'218','297','263.16'
'BTC-USDT','5m','BTC-USDT','2020-10-01','2021-10-01','398','-27.83','-30.18',-24,'44','-0.11','-0.61','-0.79','6','8',407,-582,'174','224','306.49'
'IOTA-USDT','5m','IOTA-USDT','2020-10-01','2021-10-01','525','-82.42','-80.46',-64,'43','-0.03','-1.72','-0.8','8','10',422,-405,'228','297','306.13'
'XMR-USDT','5m','XMR-USDT','2020-10-01','2021-10-01','506','-62.33','-59.07',-48,'43','-0.05','-1.37','-0.81','7','8',419,-415,'218','288','131.28'
'HOT-USDT','5m','HOT-USDT','2020-10-01','2021-10-01','473','-80.33','-61.79',-54,'41','-0.05','-1.06','-0.87','6','11',371,-516,'194','279','1546.54'
'THETA-USDT','5m','THETA-USDT','2020-10-01','2021-10-01','524','-82.97','-69.74',-64,'42','-0.04','-1.79','-0.92','6','8',352,-351,'221','303','574.08'
'EOS-USDT','5m','EOS-USDT','2020-10-01','2021-10-01','477','-72.75','-53.51',-50,'40','-0.05','-1.44','-0.94','5','10',404,-331,'193','284','52.72'
'ETC-USDT','5m','ETC-USDT','2020-10-01','2021-10-01','474','-75.0','-61.99',-60,'41','-0.05','-1.64','-0.96','6','9',390,-436,'193','281','772.48'
'WAVES-USDT','5m','WAVES-USDT','2020-10-01','2021-10-01','551','-85.21','-62.83',-60,'40','-0.05','-1.41','-0.96','8','9',412,-455,'221','330','841.87'
'NANO-USDT','5m','NANO-USDT','2020-10-01','2021-10-01','529','-105.54','-81.55',-78,'39','-0.04','-2.32','-0.96','6','14',305,-555,'205','324','435.19'
