['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BTC-USDT', '30m', 'T<BD?iv', '2021-01-01', '2021-10-09', '128', '122.36', '-8.69', 193, '62', '10.64', '3.74', '22.23', '10', '4', 829, -696, '80', '48', '86.18']
['BTC-USDT', '30m', '[<5D?iq', '2021-01-01', '2021-10-09', '115', '106.96', '-13.24', 169, '58', '5.48', '3.26', '12.75', '10', '6', 1057, -697, '67', '48', '86.18']
['BTC-USDT', '30m', '\\</D?iq', '2021-01-01', '2021-10-09', '116', '104.37', '-13.68', 165, '59', '5.01', '3.22', '12.03', '11', '6', 955, -697, '69', '47', '86.18']
['BTC-USDT', '30m', 'S<BD?iv', '2021-01-01', '2021-10-09', '129', '109.33', '-8.75', 174, '61', '8.37', '3.52', '19.92', '10', '4', 790, -696, '79', '50', '86.18']
['BTC-USDT', '30m', 'W<HD?iv', '2021-01-01', '2021-10-09', '124', '109.69', '-9.38', 176, '62', '8.37', '3.63', '18.71', '9', '4', 660, -709, '77', '47', '86.18']
['BTC-USDT', '30m', 'U<@D?iv', '2021-01-01', '2021-10-09', '126', '113.62', '-8.97', 178, '61', '9.65', '3.53', '19.87', '8', '4', 831, -696, '77', '49', '86.18']
['BTC-USDT', '30m', 'X<BD?iv', '2021-01-01', '2021-10-09', '124', '108.59', '-10.41', 176, '60', '7.65', '3.48', '16.95', '9', '4', 790, -696, '75', '49', '86.18']
['BTC-USDT', '30m', 'U<BD?iv', '2021-01-01', '2021-10-09', '127', '108.65', '-8.66', 172, '61', '9.88', '3.51', '19.84', '9', '4', 790, -696, '78', '49', '86.18']
['BTC-USDT', '30m', 'W<=D?iq', '2021-01-01', '2021-10-09', '121', '104.58', '-10.9', 164, '61', '6.68', '3.36', '15.06', '9', '5', 750, -696, '74', '47', '86.18']
['BTC-USDT', '30m', '\\<)D3in', '2021-01-01', '2021-10-09', '111', '99.73', '-13.22', 155, '59', '3.69', '3.12', '11.7', '18', '6', 1012, -658, '65', '46', '86.18']
['BTC-USDT', '30m', '\\<)D.in', '2021-01-01', '2021-10-09', '111', '99.73', '-13.22', 155, '59', '3.69', '3.12', '11.7', '18', '6', 1012, -658, '65', '46', '86.18']
['BTC-USDT', '30m', '[<)D.in', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', ']<HD?iv', '2021-01-01', '2021-10-09', '115', '94.55', '-10.79', 148, '63', '4.86', '3.24', '13.72', '10', '4', 628, -645, '72', '43', '86.18']
['BTC-USDT', '30m', '[<)D8in', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', '[<)D>in', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', '[<)D.im', '2021-01-01', '2021-10-09', '113', '99.09', '-13.03', 154, '58', '3.75', '3.11', '11.8', '10', '6', 1012, -658, '66', '47', '86.18']
['BTC-USDT', '30m', 'V<HD?iq', '2021-01-01', '2021-10-09', '122', '99.13', '-9.36', 154, '61', '8.8', '3.39', '16.46', '9', '3', 628, -683, '75', '47', '86.18']
['BTC-USDT', '30m', '\\<9D=in', '2021-01-01', '2021-10-09', '111', '94.96', '-12.83', 147, '59', '3.73', '3.15', '11.46', '18', '6', 838, -645, '65', '46', '86.18']
['BTC-USDT', '30m', '\\<9D4in', '2021-01-01', '2021-10-09', '111', '94.96', '-12.83', 147, '59', '3.73', '3.15', '11.46', '18', '6', 838, -645, '65', '46', '86.18']
['BTC-USDT', '30m', 'W<HD?iq', '2021-01-01', '2021-10-09', '121', '98.33', '-10.76', 155, '61', '6.53', '3.38', '14.41', '9', '5', 628, -683, '74', '47', '86.18']
['BTC-USDT', '30m', 'U<BD<in', '2021-01-01', '2021-10-09', '117', '101.94', '-10.3', 158, '62', '7.14', '3.44', '15.38', '10', '3', 750, -658, '72', '45', '86.18']
['BTC-USDT', '30m', 'U<;D?in', '2021-01-01', '2021-10-09', '117', '102.83', '-10.15', 160, '62', '7.33', '3.4', '15.73', '10', '3', 829, -658, '73', '44', '86.18']
['BTC-USDT', '30m', 'V<9D4in', '2021-01-01', '2021-10-09', '118', '99.31', '-10.68', 154, '60', '5.75', '3.26', '14.41', '9', '4', 845, -633, '71', '47', '86.18']
['BTC-USDT', '30m', 'V<AD?iq', '2021-01-01', '2021-10-09', '123', '101.57', '-10.24', 160, '61', '8.16', '3.32', '15.61', '9', '3', 809, -671, '75', '48', '86.18']
['BTC-USDT', '30m', 'V</D?iq', '2021-01-01', '2021-10-09', '123', '104.23', '-10.58', 164, '61', '7.85', '3.21', '15.51', '9', '3', 947, -671, '75', '48', '86.18']
['BTC-USDT', '30m', 'V<BD?in', '2021-01-01', '2021-10-09', '118', '97.19', '-10.21', 151, '61', '6.05', '3.33', '14.75', '9', '4', 731, -645, '72', '46', '86.18']
['BTC-USDT', '30m', '[<;D?in', '2021-01-01', '2021-10-09', '111', '93.89', '-12.66', 145, '60', '3.71', '3.14', '11.47', '18', '6', 800, -645, '67', '44', '86.18']
['BTC-USDT', '30m', '\\<;D>in', '2021-01-01', '2021-10-09', '111', '93.51', '-12.85', 145, '60', '3.61', '3.13', '11.26', '18', '6', 800, -645, '67', '44', '86.18']
['BTC-USDT', '30m', '\\<;D8in', '2021-01-01', '2021-10-09', '111', '93.51', '-12.85', 145, '60', '3.61', '3.13', '11.26', '18', '6', 800, -645, '67', '44', '86.18']
['BTC-USDT', '30m', 'V<)D?in', '2021-01-01', '2021-10-09', '119', '106.19', '-11.51', 165, '61', '5.59', '3.23', '14.34', '9', '4', 1025, -633, '72', '47', '86.18']
['BTC-USDT', '30m', 'V<)D8in', '2021-01-01', '2021-10-09', '119', '106.19', '-11.51', 165, '61', '5.59', '3.23', '14.34', '9', '4', 1025, -633, '72', '47', '86.18']
['BTC-USDT', '30m', 'V<)D3in', '2021-01-01', '2021-10-09', '119', '106.19', '-11.51', 165, '61', '5.59', '3.23', '14.34', '9', '4', 1025, -633, '72', '47', '86.18']
['BTC-USDT', '30m', 'Z<9Dniu', '2021-01-01', '2021-10-09', '111', '95.91', '-14.31', 157, '59', '3.33', '3.37', '10.98', '10', '4', 857, -653, '65', '46', '86.18']
['BTC-USDT', '30m', 'T<=D?in', '2021-01-01', '2021-10-09', '118', '96.3', '-9.66', 149, '62', '7.75', '3.34', '15.45', '9', '3', 711, -645, '73', '45', '86.18']
['BTC-USDT', '30m', 'V<;D8in', '2021-01-01', '2021-10-09', '118', '98.05', '-10.15', 152, '61', '5.85', '3.28', '14.95', '9', '4', 807, -633, '72', '46', '86.18']
['BTC-USDT', '30m', 'V<;D>in', '2021-01-01', '2021-10-09', '118', '98.05', '-10.15', 152, '61', '5.85', '3.28', '14.95', '9', '4', 807, -633, '72', '46', '86.18']
['BTC-USDT', '30m', 'V<;D?in', '2021-01-01', '2021-10-09', '118', '98.05', '-10.15', 152, '61', '5.85', '3.28', '14.95', '9', '4', 807, -633, '72', '46', '86.18']
['BTC-USDT', '30m', 'R<-D<in', '2021-01-01', '2021-10-09', '124', '96.54', '-11.05', 150, '60', '4.48', '3.12', '13.57', '11', '4', 902, -632, '74', '50', '86.18']
['BTC-USDT', '30m', 'V<;DDin', '2021-01-01', '2021-10-09', '118', '97.78', '-10.09', 151, '61', '5.88', '3.27', '15.01', '9', '4', 807, -633, '72', '46', '86.18']
['BTC-USDT', '30m', 'R<)D.in', '2021-01-01', '2021-10-09', '124', '97.4', '-11.64', 151, '59', '4.1', '3.06', '12.99', '11', '4', 998, -632, '73', '51', '86.18']
['BTC-USDT', '30m', 'V<2D?iq', '2021-01-01', '2021-10-09', '124', '96.28', '-9.97', 151, '60', '7.6', '3.13', '15.15', '9', '4', 769, -658, '75', '49', '86.18']
['BTC-USDT', '30m', '[<BD<in', '2021-01-01', '2021-10-09', '110', '87.59', '-12.73', 135, '60', '3.36', '3.07', '10.63', '18', '6', 708, -632, '66', '44', '86.18']
['BTC-USDT', '30m', '[<BD?in', '2021-01-01', '2021-10-09', '110', '87.59', '-12.73', 135, '60', '3.36', '3.07', '10.63', '18', '6', 708, -632, '66', '44', '86.18']
['BTC-USDT', '30m', 'R<;D?in', '2021-01-01', '2021-10-09', '122', '93.33', '-9.92', 145, '61', '5.05', '3.21', '14.59', '10', '4', 785, -632, '75', '47', '86.18']
['BTC-USDT', '30m', 'R<;D>in', '2021-01-01', '2021-10-09', '122', '93.33', '-9.92', 145, '61', '5.05', '3.21', '14.59', '10', '4', 785, -632, '75', '47', '86.18']
['BTC-USDT', '30m', 'R<)D?in', '2021-01-01', '2021-10-09', '124', '97.4', '-11.64', 151, '59', '4.1', '3.06', '12.99', '11', '4', 998, -632, '73', '51', '86.18']
['BTC-USDT', '30m', 'R<)D0in', '2021-01-01', '2021-10-09', '124', '97.4', '-11.64', 151, '59', '4.1', '3.06', '12.99', '11', '4', 998, -632, '73', '51', '86.18']
['BTC-USDT', '30m', 'R<)D<in', '2021-01-01', '2021-10-09', '124', '97.4', '-11.64', 151, '59', '4.1', '3.06', '12.99', '11', '4', 998, -632, '73', '51', '86.18']
['BTC-USDT', '30m', 'W<)D.in', '2021-01-01', '2021-10-09', '114', '99.81', '-11.63', 155, '60', '4.71', '3.13', '13.34', '9', '5', 998, -633, '68', '46', '86.18']
['BTC-USDT', '30m', 'Z<9Dqiw', '2021-01-01', '2021-10-09', '111', '96.93', '-15.44', 159, '59', '2.88', '3.37', '10.28', '10', '4', 876, -653, '65', '46', '86.18']
['BTC-USDT', '30m', 'R</D?iq', '2021-01-01', '2021-10-09', '129', '94.17', '-10.4', 148, '60', '5.23', '3.05', '14.25', '8', '4', 922, -633, '77', '52', '86.18']
['BTC-USDT', '30m', 'W<)D3in', '2021-01-01', '2021-10-09', '114', '99.81', '-11.63', 155, '60', '4.71', '3.13', '13.34', '9', '5', 998, -633, '68', '46', '86.18']
['BTC-USDT', '30m', 'U<=D?iq', '2021-01-01', '2021-10-09', '125', '94.09', '-9.73', 148, '61', '7.91', '3.22', '15.19', '9', '4', 711, -658, '76', '49', '86.18']
['BTC-USDT', '30m', '\\<BD?in', '2021-01-01', '2021-10-09', '110', '87.55', '-12.86', 135, '60', '3.28', '3.07', '10.51', '18', '6', 708, -632, '66', '44', '86.18']
['BTC-USDT', '30m', 'U<>D?in', '2021-01-01', '2021-10-09', '119', '91.57', '-8.85', 142, '61', '7.9', '3.3', '16.01', '9', '4', 599, -645, '73', '46', '86.18']
['BTC-USDT', '30m', 'V<=D?in', '2021-01-01', '2021-10-09', '118', '94.26', '-9.58', 146, '61', '5.87', '3.24', '15.21', '9', '4', 711, -633, '72', '46', '86.18']
['BTC-USDT', '30m', 'W<9D.in', '2021-01-01', '2021-10-09', '114', '95.52', '-11.18', 149, '60', '4.79', '3.19', '13.28', '9', '5', 845, -633, '68', '46', '86.18']
['BTC-USDT', '30m', 'T:Ue*Xf', '2021-01-01', '2021-10-09', '118', '99.18', '-13.51', 153, '58', '4.33', '3.3', '11.31', '9', '5', 864, -618, '69', '49', '86.18']
['BTC-USDT', '30m', '\\<HD?iq', '2021-01-01', '2021-10-09', '115', '85.04', '-12.66', 133, '61', '3.96', '3.04', '10.49', '11', '5', 597, -632, '70', '45', '86.18']
['BTC-USDT', '30m', 'Z</D?iq', '2021-01-01', '2021-10-09', '116', '87.75', '-15.33', 137, '58', '3.05', '2.83', '8.97', '10', '6', 893, -632, '67', '49', '86.18']
['BTC-USDT', '30m', '^</D>iq', '2021-01-01', '2021-10-09', '113', '88.39', '-13.45', 138, '58', '4.12', '2.96', '10.28', '10', '6', 893, -645, '66', '47', '86.18']
['BTC-USDT', '30m', '[<=D?in', '2021-01-01', '2021-10-09', '110', '85.9', '-12.98', 132, '60', '3.17', '3.02', '10.21', '18', '6', 673, -632, '66', '44', '86.18']
['BTC-USDT', '30m', 'T<;D>in', '2021-01-01', '2021-10-09', '121', '94.89', '-9.92', 147, '61', '7.0', '3.24', '14.81', '9', '4', 807, -620, '74', '47', '86.18']
['BTC-USDT', '30m', 'T<;D?in', '2021-01-01', '2021-10-09', '121', '94.89', '-9.92', 147, '61', '7.0', '3.24', '14.81', '9', '4', 807, -620, '74', '47', '86.18']
['BTC-USDT', '30m', 'U<)D.in', '2021-01-01', '2021-10-09', '119', '98.05', '-11.63', 152, '60', '5.28', '3.09', '13.07', '9', '4', 998, -620, '71', '48', '86.18']
['BTC-USDT', '30m', 'U<)D>in', '2021-01-01', '2021-10-09', '119', '98.05', '-11.63', 152, '60', '5.28', '3.09', '13.07', '9', '4', 998, -620, '71', '48', '86.18']
['BTC-USDT', '30m', 'T<2D?iq', '2021-01-01', '2021-10-09', '127', '93.37', '-9.91', 147, '61', '7.35', '3.11', '14.81', '8', '4', 769, -658, '77', '50', '86.18']
['BTC-USDT', '30m', '`<BD?iv', '2021-01-01', '2021-10-09', '111', '84.48', '-10.69', 132, '60', '3.84', '3.0', '12.33', '10', '4', 691, -632, '67', '44', '86.18']
['BTC-USDT', '30m', 'T<BD?in', '2021-01-01', '2021-10-09', '121', '92.29', '-10.09', 143, '60', '6.66', '3.24', '14.16', '9', '4', 711, -620, '73', '48', '86.18']
['BTC-USDT', '30m', 'S<=D?in', '2021-01-01', '2021-10-09', '119', '92.23', '-9.66', 143, '61', '6.43', '3.24', '14.79', '9', '3', 692, -645, '73', '46', '86.18']
['BTC-USDT', '30m', 'W<;D>in', '2021-01-01', '2021-10-09', '114', '94.49', '-10.8', 147, '61', '4.81', '3.21', '13.6', '9', '5', 807, -633, '69', '45', '86.18']
['BTC-USDT', '30m', 'W<;D?in', '2021-01-01', '2021-10-09', '114', '94.49', '-10.8', 147, '61', '4.81', '3.21', '13.6', '9', '5', 807, -633, '69', '45', '86.18']
['BTC-USDT', '30m', 'T<;DDin', '2021-01-01', '2021-10-09', '121', '94.4', '-9.86', 146, '61', '7.07', '3.24', '14.83', '9', '4', 807, -620, '74', '47', '86.18']
