['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '30m', 'BTC-USDT', '2021-05-01', '2021-10-10', '70', '61.92', '-6.48', 209, '63', '9.41', '4.39', '32.23', '10', '4', 592, -500, '44', '26', '-4.47']
['ETH-USDT', '30m', 'ETH-USDT', '2021-05-01', '2021-10-10', '99', '12.4', '-9.93', 73, '52', '1.73', '1.61', '7.34', '6', '4', 501, -487, '51', '48', '29.17']
['SOL-USDT', '30m', 'SOL-USDT', '2021-05-01', '2021-10-10', '87', '14.32', '-13.33', 90, '53', '1.6', '1.69', '6.75', '9', '5', 506, -645, '46', '41', '266.85']
['DYDX-USDT', '30m', 'DYDX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '30m', 'FTM-USDT', '2021-05-01', '2021-10-10', '91', '-31.63', '-28.79', -11, '44', '-0.03', '-0.06', '-0.39', '7', '6', 390, -519, '40', '51', '193.52']
['AVAX-USDT', '30m', 'AVAX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LUNA-USDT', '30m', 'LUNA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FIL-USDT', '30m', 'FIL-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ADA-USDT', '30m', 'ADA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COTI-USDT', '30m', 'COTI-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '30m', 'XRP-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNI-USDT', '30m', 'UNI-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DOT-USDT', '30m', 'DOT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BNB-USDT', '30m', 'BNB-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ATOM-USDT', '30m', 'ATOM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CELR-USDT', '30m', 'CELR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '30m', 'XTZ-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LINK-USDT', '30m', 'LINK-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SUSHI-USDT', '30m', 'SUSHI-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LTC-USDT', '30m', 'LTC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['EOS-USDT', '30m', 'EOS-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALGO-USDT', '30m', 'ALGO-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DOGE-USDT', '30m', 'DOGE-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CRV-USDT', '30m', 'CRV-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MATIC-USDT', '30m', 'MATIC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AXS-USDT', '30m', 'AXS-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SRM-USDT', '30m', 'SRM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['REN-USDT', '30m', 'REN-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONE-USDT', '30m', 'ONE-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USDT', '30m', 'ETC-USDT', '2021-05-01', '2021-10-10', '74', '20.81', '-18.53', 113, '54', '0.67', '2.41', '6.11', '6', '5', 550, -654, '40', '34', '53.19']
['BCH-USDT', '30m', 'BCH-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ICP-USDT', '30m', 'ICP-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USDT', '30m', 'AAVE-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1INCH-USDT', '30m', '1INCH-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALICE-USDT', '30m', 'ALICE-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEAR-USDT', '30m', 'NEAR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BZRX-USDT', '30m', 'BZRX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '30m', 'OMG-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TRX-USDT', '30m', 'TRX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BAKE-USDT', '30m', 'BAKE-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '30m', 'GALA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '30m', 'THETA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['EGLD-USDT', '30m', 'EGLD-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RUNE-USDT', '30m', 'RUNE-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOTX-USDT', '30m', 'IOTX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '30m', 'C98-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '30m', 'TLM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOST-USDT', '30m', 'IOST-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KSM-USDT', '30m', 'KSM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SXP-USDT', '30m', 'SXP-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['VET-USDT', '30m', 'VET-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XLM-USDT', '30m', 'XLM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RAY-USDT', '30m', 'RAY-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '30m', 'GRT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KAVA-USDT', '30m', 'KAVA-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MASK-USDT', '30m', 'MASK-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '30m', 'DODO-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RLC-USDT', '30m', 'RLC-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000SHIB-USDT', '30m', '1000SHIB-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COMP-USDT', '30m', 'COMP-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['WAVES-USDT', '30m', 'WAVES-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CHR-USDT', '30m', 'CHR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XMR-USDT', '30m', 'XMR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ICX-USDT', '30m', 'ICX-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HBAR-USDT', '30m', 'HBAR-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SAND-USDT', '30m', 'SAND-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DENT-USDT', '30m', 'DENT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
