iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ubw,parameters.ott_dbw,parameters.long_tps_qty_index,parameters.short_tps_qty_index,parameters.chop_rsi_len,parameters.chop_bandwidth,parameters.max_risk
60,EUIro-E,0.4315142358589968,64,37,45.06,0,5,-9.88,95,137,52,117,23,38,25
60,C>NP.u@,0.422458506649378,55,49,44.4,25,4,-1.71,90,77,60,63,7,220,22
60,)HdC;rE,0.3926194829518807,44,107,39.54,35,17,-3.59,23,103,95,43,10,212,25
60,=?7-6VH,0.3880937284898019,46,99,49.76,41,17,-11.51,74,80,24,8,9,141,26
60,GDLEsIP,0.3554819650053028,50,77,46.22,29,17,-13.67,100,93,57,46,24,109,30
60,;I6@CIE,0.3486444646675299,44,88,44.01,46,13,-2.23,69,106,22,38,12,109,25
60,GaB>UqU,0.3465196673030151,59,57,40.89,18,11,-14.97,100,168,41,35,16,210,33
60,C9GuZ^I,0.3454705780821784,52,105,29.09,29,24,-10.37,90,64,49,122,18,162,27
60,;rts9JV,0.33147399795027416,51,102,13.96,27,22,-20.59,69,212,120,119,9,111,33
60,Jhhb_Vi,0.3256787631001934,58,62,33.77,40,22,-14.07,108,186,101,92,19,141,43
60,")I,7FJ@",0.32440022370154664,31,135,35.48,23,17,-5.37,23,106,6,24,13,111,22
60,>c<t?N;,0.3206141196661378,59,27,31.31,50,6,1.9,77,173,32,120,11,121,20
60,"?brNQ,O",0.31888504059431055,52,74,21.3,37,16,-10.2,80,171,117,60,15,35,30
60,7emB\BF,0.31869446403876384,43,114,11.72,57,19,3.49,59,178,109,41,18,91,25
60,"<>7Xb,=",0.3113602022387388,45,66,27.49,50,8,1.39,72,77,24,76,20,35,21
60,"F69_,.P",0.31107565573556434,45,139,26.63,40,35,-11.72,98,56,27,87,6,40,30
60,LcX-/^h,0.3109637215899129,61,54,37.57,35,20,-15.02,113,173,76,8,7,162,42
60,7Jwfd1G,0.3092528718694173,44,125,4.32,47,23,-6.89,59,108,125,98,20,48,26
60,Da*Anl?,0.30689115507373327,60,28,37.98,0,2,-3.78,93,168,3,40,23,197,22
60,J]CPR;k,0.3031115422396284,57,66,28.94,37,27,-15.96,108,158,43,63,16,73,44
60,7U4fn/M,0.30284648123104263,45,124,27.04,40,25,-7.17,59,137,19,98,23,43,29
60,Fr\u\:L,0.3021443564690509,54,48,27.23,0,6,-12.25,98,212,82,122,18,71,28
60,:oI7F:D,0.3009374444290791,48,79,21.02,53,15,1.63,67,204,52,24,13,71,24
60,BjqQ5QH,0.29927371686816495,56,46,20.8,45,11,-0.85,87,191,116,65,8,129,26
60,?MO*WgU,0.2986337022254366,48,90,30.75,40,22,11.52,80,116,62,3,17,184,33
60,0]6_6DW,0.29575587968856937,38,148,33.5,26,26,-13.12,41,158,22,87,9,96,34
60,D?eR_E=,0.29496428736142505,52,40,23.47,0,1,-0.86,93,80,97,66,19,98,21
60,2[AG:g),0.29346951335165344,43,48,19.82,100,1,2.77,46,152,40,49,10,184,11
60,S5:DQfq,0.29329066761347805,48,139,24.36,54,44,24.77,132,54,28,44,15,182,47
60,W(boUtq,0.2929983246915992,48,106,22.86,56,25,11.3,142,20,92,112,16,217,47
60,EUIro-E,0.4315142358589968,64,37,45.06,0,5,-9.88,95,137,52,117,23,38,25
60,C>NP.u@,0.422458506649378,55,49,44.4,25,4,-1.71,90,77,60,63,7,220,22
60,)HdC;rE,0.3926194829518807,44,107,39.54,35,17,-3.59,23,103,95,43,10,212,25
60,=?7-6VH,0.3880937284898019,46,99,49.76,41,17,-11.51,74,80,24,8,9,141,26
60,GDLEsIP,0.3554819650053028,50,77,46.22,29,17,-13.67,100,93,57,46,24,109,30
60,;I6@CIE,0.3486444646675299,44,88,44.01,46,13,-2.23,69,106,22,38,12,109,25
60,GaB>UqU,0.3465196673030151,59,57,40.89,18,11,-14.97,100,168,41,35,16,210,33
60,C9GuZ^I,0.3454705780821784,52,105,29.09,29,24,-10.37,90,64,49,122,18,162,27
60,;rts9JV,0.33147399795027416,51,102,13.96,27,22,-20.59,69,212,120,119,9,111,33
60,Jhhb_Vi,0.3256787631001934,58,62,33.77,40,22,-14.07,108,186,101,92,19,141,43
60,")I,7FJ@",0.32440022370154664,31,135,35.48,23,17,-5.37,23,106,6,24,13,111,22
60,>c<t?N;,0.3206141196661378,59,27,31.31,50,6,1.9,77,173,32,120,11,121,20
60,"?brNQ,O",0.31888504059431055,52,74,21.3,37,16,-10.2,80,171,117,60,15,35,30
60,7emB\BF,0.31869446403876384,43,114,11.72,57,19,3.49,59,178,109,41,18,91,25
60,"<>7Xb,=",0.3113602022387388,45,66,27.49,50,8,1.39,72,77,24,76,20,35,21
60,"F69_,.P",0.31107565573556434,45,139,26.63,40,35,-11.72,98,56,27,87,6,40,30
60,LcX-/^h,0.3109637215899129,61,54,37.57,35,20,-15.02,113,173,76,8,7,162,42
60,7Jwfd1G,0.3092528718694173,44,125,4.32,47,23,-6.89,59,108,125,98,20,48,26
60,Da*Anl?,0.30689115507373327,60,28,37.98,0,2,-3.78,93,168,3,40,23,197,22
60,J]CPR;k,0.3031115422396284,57,66,28.94,37,27,-15.96,108,158,43,63,16,73,44
60,7U4fn/M,0.30284648123104263,45,124,27.04,40,25,-7.17,59,137,19,98,23,43,29
60,Fr\u\:L,0.3021443564690509,54,48,27.23,0,6,-12.25,98,212,82,122,18,71,28
60,:oI7F:D,0.3009374444290791,48,79,21.02,53,15,1.63,67,204,52,24,13,71,24
60,BjqQ5QH,0.29927371686816495,56,46,20.8,45,11,-0.85,87,191,116,65,8,129,26
60,?MO*WgU,0.2986337022254366,48,90,30.75,40,22,11.52,80,116,62,3,17,184,33
60,0]6_6DW,0.29575587968856937,38,148,33.5,26,26,-13.12,41,158,22,87,9,96,34
60,D?eR_E=,0.29496428736142505,52,40,23.47,0,1,-0.86,93,80,97,66,19,98,21
60,2[AG:g),0.29346951335165344,43,48,19.82,100,1,2.77,46,152,40,49,10,184,11
60,S5:DQfq,0.29329066761347805,48,139,24.36,54,44,24.77,132,54,28,44,15,182,47
60,W(boUtq,0.2929983246915992,48,106,22.86,56,25,11.3,142,20,92,112,16,217,47
