'Time','TRX','BTC','ETH','BNB','ADA','NEO','QTUM','LTC','XRP','Mean','TRXdev','BTCdev','ETHdev','BNBdev','ADAdev','NEOdev','QTUMdev','LTCdev','XRPdev','TRXndev','BTCndev','ETHndev','BNBndev','ADAndev','NEOndev','QTUMndev','LTCndev','XRPndev','Sum'
'01/10/2018',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
'02/10/2018',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
'03/10/2018',0.0,0.0,-4.655,0.0,0.0,0.0,0.0,0.0,0.0,-0.517,0.517,0.517,-4.138,0.517,0.517,0.517,0.517,0.517,0.517,5.655,5.655,1.0,5.655,5.655,5.655,5.655,5.655,5.655,46.24
'04/10/2018',-4.655,-4.655,-4.655,-4.655,-4.655,0.0,0.0,-4.655,0.0,-3.103,-1.552,-1.552,-1.552,-1.552,-1.552,3.103,3.103,-1.552,3.103,1.0,1.0,1.0,1.0,1.0,5.655,5.655,1.0,5.655,22.965
'05/10/2018',-4.655,-4.655,-2.23,5.236,-4.655,0.0,0.0,-4.655,0.0,-1.735,-2.92,-2.92,-0.495,6.971,-2.92,1.735,1.735,-2.92,1.735,1.0,1.0,3.425,10.891,1.0,5.655,5.655,1.0,5.655,35.281
'06/10/2018',-2.23,-2.23,0.175,-2.23,-4.655,0.0,0.0,-4.655,0.0,-1.758,-0.472,-0.472,1.933,-0.472,-2.897,1.758,1.758,-2.897,1.758,3.425,3.425,5.83,3.425,1.0,5.655,5.655,1.0,5.655,35.07
'07/10/2018',-2.23,-2.23,-0.049,0.175,0.175,0.0,0.0,-4.655,0.0,-0.979,-1.251,-1.251,0.93,1.154,1.154,0.979,0.979,-3.676,0.979,3.425,3.425,5.606,5.83,5.83,5.655,5.655,1.0,5.655,42.081
'08/10/2018',-2.23,-2.23,3.205,-0.049,-0.049,-0.049,0.0,-0.049,0.0,-0.161,-2.069,-2.069,3.366,0.112,0.112,0.112,0.161,0.112,0.161,1.0,1.0,6.435,3.181,3.181,3.181,3.23,3.181,3.23,27.619
'09/10/2018',-2.23,3.205,3.205,3.205,3.205,3.205,0.0,-0.049,0.0,1.527,-3.757,1.678,1.678,1.678,1.678,1.678,-1.527,-1.576,-1.527,1.0,6.435,6.435,6.435,6.435,6.435,3.23,3.181,3.23,42.816
'10/10/2018',-2.23,3.205,0.987,3.205,3.205,3.205,0.0,5.647,0.0,1.914,-4.144,1.291,-0.927,1.291,1.291,1.291,-1.914,3.733,-1.914,1.0,6.435,4.217,6.435,6.435,6.435,3.23,8.877,3.23,46.294
'11/10/2018',-2.23,3.205,-1.774,0.987,3.205,0.987,0.0,5.647,0.0,1.114,-3.344,2.091,-2.888,-0.127,2.091,-0.127,-1.114,4.533,-1.114,1.0,6.435,1.456,4.217,6.435,4.217,3.23,8.877,3.23,39.097
'12/10/2018',-1.774,-1.774,-1.774,-1.774,-1.774,-1.774,0.0,-1.774,0.0,-1.379,-0.395,-0.395,-0.395,-0.395,-0.395,-0.395,1.379,-0.395,1.379,1.0,1.0,1.0,1.0,1.0,1.0,2.774,1.0,2.774,12.548
'13/10/2018',2.753,-1.774,-1.774,2.753,-1.774,2.753,2.753,-1.774,0.0,0.435,2.318,-2.209,-2.209,2.318,-2.209,2.318,2.318,-2.209,-0.435,5.527,1.0,1.0,5.527,1.0,5.527,5.527,1.0,2.774,28.882
'14/10/2018',2.753,-1.774,0.701,1.107,-1.774,2.753,2.753,-1.774,0.0,0.527,2.226,-2.301,0.174,0.58,-2.301,2.226,2.226,-2.301,-0.527,5.527,1.0,3.475,3.881,1.0,5.527,5.527,1.0,2.774,29.711
'15/10/2018',2.753,-1.774,0.75,0.701,-1.774,2.753,2.753,-1.774,0.0,0.488,2.265,-2.262,0.262,0.213,-2.262,2.265,2.265,-2.262,-0.488,5.527,1.0,3.524,3.475,1.0,5.527,5.527,1.0,2.774,29.354
'16/10/2018',2.753,0.75,1.899,0.75,-1.774,2.753,2.753,-1.774,0.0,0.901,1.852,-0.151,0.998,-0.151,-2.675,1.852,1.852,-2.675,-0.901,5.527,3.524,4.673,3.524,1.0,5.527,5.527,1.0,2.774,33.076
'17/10/2018',2.753,1.899,0.166,1.899,-1.774,2.753,2.753,1.899,1.899,1.583,1.17,0.316,-1.417,0.316,-3.357,1.17,1.17,0.316,0.316,5.527,4.673,2.94,4.673,1.0,5.527,5.527,4.673,4.673,39.213
'18/10/2018',2.753,1.899,-0.874,0.166,-1.774,2.753,2.753,1.899,1.899,1.275,1.478,0.624,-2.149,-1.109,-3.049,1.478,1.478,0.624,0.624,5.527,4.673,1.9,2.94,1.0,5.527,5.527,4.673,4.673,36.44
'19/10/2018',2.753,1.899,-0.887,-0.874,-1.774,2.753,2.753,-0.874,1.899,0.85,1.903,1.049,-1.737,-1.724,-2.624,1.903,1.903,-1.724,1.049,5.527,4.673,1.887,1.9,1.0,5.527,5.527,1.9,4.673,32.614
'20/10/2018',-0.887,1.899,-0.887,-0.887,-1.774,2.753,2.753,-0.874,1.899,0.444,-1.331,1.455,-1.331,-1.331,-2.218,2.309,2.309,-1.318,1.455,1.887,4.673,1.887,1.887,1.0,5.527,5.527,1.9,4.673,28.961
'21/10/2018',-0.887,1.899,-1.139,-0.887,-1.774,2.753,2.753,-0.874,1.899,0.416,-1.303,1.483,-1.555,-1.303,-2.19,2.337,2.337,-1.29,1.483,1.887,4.673,1.635,1.887,1.0,5.527,5.527,1.9,4.673,28.709
'22/10/2018',-0.887,1.899,-1.291,-1.139,-1.774,-1.139,2.753,-1.139,1.899,-0.091,-0.796,1.99,-1.2,-1.048,-1.683,-1.048,2.844,-1.048,1.99,1.887,4.673,1.483,1.635,1.0,1.635,5.527,1.635,4.673,24.148
'23/10/2018',-1.291,-1.291,-1.27,-1.291,-1.774,-1.291,2.753,-1.291,-1.291,-0.893,-0.398,-0.398,-0.377,-0.398,-0.881,-0.398,3.646,-0.398,-0.398,1.483,1.483,1.504,1.483,1.0,1.483,5.527,1.483,1.483,16.929
'24/10/2018',-1.27,-1.27,-1.317,-1.27,-1.27,-1.27,2.753,-1.291,-1.291,-0.833,-0.437,-0.437,-0.484,-0.437,-0.437,-0.437,3.586,-0.458,-0.458,1.047,1.047,1.0,1.047,1.047,1.047,5.07,1.026,1.026,13.357
'25/10/2018',-1.27,-1.27,-1.564,-1.317,-1.27,-1.317,2.753,-1.291,-1.291,-0.87,-0.4,-0.4,-0.694,-0.447,-0.4,-0.447,3.623,-0.421,-0.421,1.294,1.294,1.0,1.247,1.294,1.247,5.317,1.273,1.273,15.239
'26/10/2018',-1.27,-1.564,-1.627,-1.564,-1.27,-1.564,2.753,-1.564,-1.564,-1.026,-0.244,-0.538,-0.601,-0.538,-0.244,-0.538,3.779,-0.538,-0.538,1.357,1.063,1.0,1.063,1.357,1.063,5.38,1.063,1.063,14.409
'27/10/2018',-1.27,-1.564,-1.941,-1.564,-1.27,-1.627,2.753,-1.564,-1.627,-1.075,-0.195,-0.489,-0.866,-0.489,-0.195,-0.552,3.828,-0.489,-0.552,1.671,1.377,1.0,1.377,1.671,1.314,5.694,1.377,1.314,16.795
'28/10/2018',-1.27,-1.564,-1.775,-1.941,-1.27,-1.627,2.753,-1.564,-1.941,-1.133,-0.137,-0.431,-0.642,-0.808,-0.137,-0.494,3.886,-0.431,-0.808,1.671,1.377,1.166,1.0,1.671,1.314,5.694,1.377,1.0,16.27
'29/10/2018',-1.775,-1.564,-1.893,-1.775,-1.27,-1.627,2.753,-1.564,-1.775,-1.166,-0.609,-0.398,-0.727,-0.609,-0.104,-0.461,3.919,-0.398,-0.609,1.118,1.329,1.0,1.118,1.623,1.266,5.646,1.329,1.118,15.547
'30/10/2018',-1.775,-1.564,0.071,-1.775,-1.27,-1.627,2.753,-1.564,-1.775,-0.947,-0.828,-0.617,1.018,-0.828,-0.323,-0.68,3.7,-0.617,-0.828,1.0,1.211,2.846,1.0,1.505,1.148,5.528,1.211,1.0,16.449
'31/10/2018',-1.775,-1.564,0.071,0.071,-1.27,-1.627,2.753,-1.564,0.071,-0.537,-1.238,-1.027,0.608,0.608,-0.733,-1.09,3.29,-1.027,0.608,1.0,1.211,2.846,2.846,1.505,1.148,5.528,1.211,2.846,20.141
'01/11/2018',-1.775,-1.564,-0.351,0.071,-1.27,-1.627,2.753,-1.564,0.071,-0.584,-1.191,-0.98,0.233,0.655,-0.686,-1.043,3.337,-0.98,0.655,1.0,1.211,2.424,2.846,1.505,1.148,5.528,1.211,2.846,19.719
'02/11/2018',-1.775,-1.564,-0.351,-0.351,-1.27,-1.627,2.753,-1.564,-0.351,-0.678,-1.097,-0.886,0.327,0.327,-0.592,-0.949,3.431,-0.886,0.327,1.0,1.211,2.424,2.424,1.505,1.148,5.528,1.211,2.424,18.875
'03/11/2018',-1.775,-0.393,-0.351,-0.351,-0.393,-0.393,2.753,-0.393,-0.393,-0.188,-1.587,-0.205,-0.163,-0.163,-0.205,-0.205,2.941,-0.205,-0.205,1.0,2.382,2.424,2.424,2.382,2.382,5.528,2.382,2.382,23.286
'04/11/2018',-0.423,-0.393,-0.961,-0.423,-0.393,-0.393,-0.423,-0.393,-0.393,-0.467,0.044,0.074,-0.494,0.044,0.074,0.074,0.044,0.074,0.074,1.538,1.568,1.0,1.538,1.568,1.568,1.538,1.568,1.568,13.454
'05/11/2018',-0.423,-0.961,-0.225,-0.961,-0.393,-0.393,-0.961,-0.393,-0.961,-0.63,0.207,-0.331,0.405,-0.331,0.237,0.237,-0.331,0.237,-0.331,1.538,1.0,1.736,1.0,1.568,1.568,1.0,1.568,1.0,11.978
'06/11/2018',-0.225,-0.225,-0.48,-0.225,-0.393,-0.393,-0.225,-0.393,-0.225,-0.309,0.084,0.084,-0.171,0.084,-0.084,-0.084,0.084,-0.084,0.084,1.255,1.255,1.0,1.255,1.087,1.087,1.255,1.087,1.255,10.536
'07/11/2018',-0.225,-0.225,-0.48,-0.48,-0.393,-0.393,-0.48,-0.393,-0.225,-0.366,0.141,0.141,-0.114,-0.114,-0.027,-0.027,-0.114,-0.027,0.141,1.255,1.255,1.0,1.0,1.087,1.087,1.0,1.087,1.255,10.026
'08/11/2018',-0.225,-0.225,0.538,0.67,0.67,-0.393,0.67,-0.393,-0.225,0.121,-0.346,-0.346,0.417,0.549,0.549,-0.514,0.549,-0.514,-0.346,1.168,1.168,1.931,2.063,2.063,1.0,2.063,1.0,1.168,13.624
'09/11/2018',-0.225,-0.225,-0.05,0.538,0.67,-0.393,0.67,-0.393,-0.225,0.041,-0.266,-0.266,-0.091,0.497,0.629,-0.434,0.629,-0.434,-0.266,1.168,1.168,1.343,1.931,2.063,1.0,2.063,1.0,1.168,12.904
'10/11/2018',-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.67,-0.05,-0.05,0.03,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,0.64,-0.08,-0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.72,1.0,1.0,9.72
'11/11/2018',-0.05,-0.05,-0.305,-0.05,-0.05,-0.05,0.098,-0.05,-0.05,-0.062,0.012,0.012,-0.243,0.012,0.012,0.012,0.16,0.012,0.012,1.255,1.255,1.0,1.255,1.255,1.255,1.403,1.255,1.255,11.188
'12/11/2018',-0.05,-0.05,-0.551,-0.305,-0.05,-0.05,0.098,-0.05,-0.305,-0.146,0.096,0.096,-0.405,-0.159,0.096,0.096,0.244,0.096,-0.159,1.501,1.501,1.0,1.246,1.501,1.501,1.649,1.501,1.246,12.646
'13/11/2018',-0.05,-0.05,-0.582,-0.305,-0.551,-0.05,0.098,-0.05,-0.551,-0.232,0.182,0.182,-0.35,-0.073,-0.319,0.182,0.33,0.182,-0.319,1.532,1.532,1.0,1.277,1.031,1.532,1.68,1.532,1.031,12.147
'14/11/2018',-0.05,-0.582,-0.848,-0.582,-0.582,-0.05,0.098,-0.05,-0.582,-0.358,0.308,-0.224,-0.49,-0.224,-0.224,0.308,0.456,0.308,-0.224,1.798,1.266,1.0,1.266,1.266,1.798,1.946,1.798,1.266,13.404
