['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['TRX-USDT', '2h', '2021-05-19', '2021-05-26', '43', '124.09', '-1.55', 972618289085196032, '44', '34.52', '6.292788781634436e+17', '5', '10', 299, -59, '19', '24', '-29.93']
['TRX-USDT', '2h', '2021-04-29', '2021-05-06', '77', '-13.72', '-20.04', -100, '29', '-3.04', '-4.98', '3', '7', 70, -33, '22', '55', '17.35']
['TRX-USDT', '2h', '2021-04-21', '2021-04-28', '82', '4.55', '-26.67', 663, '28', '2.17', '24.86', '5', '11', 174, -33, '23', '59', '-0.27']
['TRX-USDT', '2h', '2021-03-29', '2021-04-05', '57', '42.57', '-1.94', 1067072258, '42', '19.06', '550723030.82', '4', '6', 168, -22, '24', '33', '32.39']
['TRX-USDT', '2h', '2020-12-08', '2020-12-15', '75', '7.76', '-5.79', 2925, '36', '3.68', '505.43', '4', '7', 61, -30, '27', '48', '-1.6']
['TRX-USDT', '2h', '2021-06-02', '2021-06-09', '62', '24.19', '-8.63', 1960833, '35', '9.52', '227165.19', '4', '8', 78, -21, '22', '40', '-9.41']
['TRX-USDT', '2h', '2021-01-16', '2021-01-23', '68', '7.78', '-12.91', 2954, '40', '2.43', '228.75', '8', '8', 117, -29, '27', '41', '0.07']
['TRX-USDT', '2h', '2021-07-13', '2021-07-20', '58', '-15.47', '-18.36', -100, '24', '-7.29', '-5.44', '2', '7', 85, -30, '14', '44', '-13.65']
['TRX-USDT', '2h', '2021-06-26', '2021-07-03', '63', '0.41', '-8.58', 20, '32', '0.64', '2.37', '4', '12', 79, -54, '20', '43', '14.41']
['TRX-USDT', '2h', '2021-02-12', '2021-02-19', '75', '7.61', '-15.51', 2741, '28', '2.86', '176.73', '3', '8', 81, -30, '21', '54', '9.94']
['TRX-USDT', '2h', '2021-06-10', '2021-06-17', '77', '20.85', '-12.33', 565325, '31', '6.44', '45838.11', '4', '7', 105, -22, '24', '53', '-7.71']
['TRX-USDT', '2h', '2021-03-19', '2021-03-26', '77', '-10.27', '-12.85', -99, '25', '-7.1', '-7.73', '3', '11', 50, -22, '19', '58', '-3.01']
['TRX-USDT', '2h', '2021-02-13', '2021-02-20', '68', '4.21', '-15.16', 557, '26', '1.94', '36.73', '3', '8', 76, -29, '18', '50', '25.62']
['TRX-USDT', '2h', '2021-04-06', '2021-04-13', '83', '9.12', '-2.19', 5261, '27', '7.78', '2406.2', '3', '12', 109, -18, '22', '61', '12.73']
['TRX-USDT', '2h', '2021-07-23', '2021-07-30', '63', '-7.49', '-13.62', -97, '29', '-2.67', '-7.13', '3', '14', 121, -30, '18', '45', '16.61']
['TRX-USDT', '2h', '2021-05-09', '2021-05-16', '62', '28.95', '-6.63', 10924076, '37', '9.08', '1647706.46', '5', '5', 132, -29, '23', '39', '-12.78']
['TRX-USDT', '2h', '2021-01-05', '2021-01-12', '70', '14.65', '-24.42', 51135, '34', '3.65', '2094.32', '5', '12', 111, -43, '24', '46', '8.1']
['TRX-USDT', '2h', '2021-06-30', '2021-07-07', '59', '34.69', '-7.67', 79488771, '34', '11.3', '10358406.59', '6', '7', 216, -34, '20', '39', '5.26']
['TRX-USDT', '2h', '2020-12-04', '2020-12-11', '82', '-8.03', '-15.62', -98, '26', '-3.05', '-6.26', '5', '10', 65, -22, '21', '61', '-11.67']
['TRX-USDT', '2h', '2021-02-16', '2021-02-23', '63', '-9.08', '-17.21', -99, '29', '-2.77', '-5.74', '3', '8', 67, -35, '18', '45', '17.8']
['TRX-USDT', '2h', '2021-05-01', '2021-05-08', '83', '-12.05', '-26.22', -100, '24', '-2.65', '-3.8', '2', '8', 80, -37, '20', '63', '19.67']
['TRX-USDT', '2h', '2021-05-20', '2021-05-27', '48', '113.86', '-1.55', 115416430185166032, '42', '35.21', '7.465952283525275e+16', '5', '10', 252, -56, '20', '28', '8.61']
['TRX-USDT', '2h', '2021-06-28', '2021-07-05', '49', '34.46', '-10.06', 73585923, '43', '10.58', '7315668.47', '10', '12', 119, -24, '21', '28', '15.0']
['TRX-USDT', '2h', '2021-03-26', '2021-04-02', '66', '43.21', '-1.76', 1306184860, '36', '20.4', '743156403.37', '4', '8', 118, -20, '24', '42', '29.83']
['TRX-USDT', '2h', '2021-02-18', '2021-02-25', '54', '-16.6', '-22.56', -100, '24', '-3.61', '-4.43', '3', '8', 91, -30, '13', '41', '-2.77']
['TRX-USDT', '2h', '2021-06-08', '2021-06-15', '68', '28.98', '-2.69', 11044488, '32', '11.08', '4104738.35', '5', '7', 123, -22, '22', '46', '1.68']
['TRX-USDT', '2h', '2021-04-25', '2021-05-02', '80', '31.43', '-6.75', 26041640, '31', '12.69', '3860059.79', '5', '8', 133, -26, '25', '55', '30.93']
['TRX-USDT', '2h', '2020-11-27', '2020-12-04', '81', '-3.08', '-13.31', -76, '27', '-0.46', '-5.71', '7', '12', 104, -36, '22', '59', '16.3']
['TRX-USDT', '2h', '2021-02-23', '2021-03-02', '60', '11.83', '-13.4', 16324, '37', '3.82', '1217.82', '4', '10', 107, -38, '22', '38', '-11.31']
['TRX-USDT', '2h', '2021-07-31', '2021-08-07', '69', '3.15', '-8.75', 312, '25', '1.88', '35.65', '5', '9', 127, -30, '17', '52', '11.87']
