['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BNB-USDT', '30m', '2021-04-10', '2021-05-05', '105', '53.25', '-13.57', 39969, '26', '5.1', '2945.39', '3', '15', 86, -13, '27', '78', '25.74']
['BNB-USDT', '30m', '2021-04-29', '2021-05-24', '94', '147.08', '-17.74', 32717490, '29', '8.11', '1844689.67', '3', '12', 152, -18, '27', '67', '-42.26']
['BNB-USDT', '30m', '2020-10-16', '2020-11-10', '108', '-13.75', '-22.39', -87, '20', '-1.89', '-3.91', '3', '17', 33, -11, '22', '86', '3.9']
['BNB-USDT', '30m', '2020-12-17', '2021-01-11', '96', '1.06', '-22.71', 16, '20', '0.67', '0.7', '2', '26', 64, -15, '19', '77', '55.05']
['BNB-USDT', '30m', '2020-09-04', '2020-09-29', '97', '1.21', '-21.26', 18, '30', '0.74', '0.87', '5', '15', 31, -11, '29', '68', '9.0']
['BNB-USDT', '30m', '2020-03-03', '2020-03-28', '99', '51.93', '-21.71', 35367, '23', '3.5', '1628.77', '4', '16', 97, -14, '23', '76', '-40.28']
['BNB-USDT', '30m', '2021-01-20', '2021-02-14', '95', '75.24', '-24.72', 262964, '32', '5.98', '10638.74', '4', '12', 88, -15, '30', '65', '98.67']
['BNB-USDT', '30m', '2020-04-08', '2020-05-03', '101', '6.11', '-20.13', 130, '21', '1.28', '6.45', '4', '13', 66, -11, '21', '80', '22.71']
['BNB-USDT', '30m', '2020-07-09', '2020-08-03', '98', '19.27', '-13.79', 1086, '30', '2.6', '78.8', '5', '15', 74, -10, '29', '69', '23.82']
['BNB-USDT', '30m', '2020-03-12', '2020-04-06', '92', '4.86', '-27.01', 95, '22', '1.16', '3.51', '4', '12', 73, -13, '20', '72', '-24.11']
