['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['TRX-USDT', '2h', '2018-12-22', '2019-06-22', '851', '221.66', '-26.09', 928, '23', '3.17', '35.57', '5', '23', 6429, -587, '198', '653', '195.87']
['TRX-USDT', '2h', '2019-09-20', '2020-03-20', '845', '202.48', '-28.13', 809, '27', '2.78', '28.77', '6', '25', 3307, -554, '227', '618', '-38.73']
['TRX-USDT', '2h', '2018-09-05', '2019-03-06', '863', '120.58', '-28.26', 384, '23', '2.48', '13.6', '7', '43', 4006, -401, '197', '666', '-34.43']
['TRX-USDT', '2h', '2020-02-03', '2020-08-03', '839', '175.86', '-21.36', 657, '24', '2.67', '30.74', '5', '26', 2666, -612, '198', '641', '23.06']
['TRX-USDT', '2h', '2020-11-15', '2021-05-16', '799', '722.66', '-16.14', 6590, '26', '5.35', '408.32', '6', '29', 10050, -2409, '208', '591', '757.5']
['TRX-USDT', '2h', '2019-12-15', '2020-06-14', '799', '161.92', '-20.43', 582, '25', '2.54', '28.51', '5', '18', 2989, -687, '199', '600', '27.98']
['TRX-USDT', '2h', '2020-06-29', '2020-12-28', '901', '122.7', '-29.85', 394, '24', '2.34', '13.19', '5', '29', 3198, -715, '215', '686', '114.23']
['TRX-USDT', '2h', '2019-07-23', '2020-01-21', '888', '7.73', '-28.12', 16, '26', '0.55', '0.57', '5', '25', 1527, -460, '229', '659', '-27.43']
['TRX-USDT', '2h', '2019-01-28', '2019-07-29', '818', '388.45', '-26.1', 2265, '24', '3.86', '86.81', '5', '24', 6771, -2470, '200', '618', '104.68']
['TRX-USDT', '2h', '2020-03-06', '2020-09-04', '845', '180.3', '-29.86', 681, '23', '2.76', '22.82', '5', '26', 6111, -716, '196', '649', '42.88']
['TRX-USDT', '2h', '2020-09-17', '2021-03-18', '860', '201.54', '-23.32', 804, '24', '3.11', '34.47', '6', '29', 2849, -900, '205', '655', '348.83']
['TRX-USDT', '2h', '2020-02-12', '2020-08-12', '857', '118.73', '-21.37', 376, '23', '2.18', '17.62', '5', '26', 2330, -535, '198', '659', '6.92']
['TRX-USDT', '2h', '2018-09-04', '2019-03-05', '870', '171.08', '-28.26', 631, '22', '2.89', '22.32', '7', '43', 4772, -478, '195', '675', '-39.53']
['TRX-USDT', '2h', '2019-11-02', '2020-05-02', '773', '210.8', '-20.42', 860, '27', '2.92', '42.11', '5', '25', 4216, -686, '207', '566', '-10.5']
['TRX-USDT', '2h', '2018-12-02', '2019-06-02', '833', '338.78', '-26.09', 1810, '24', '3.79', '69.37', '5', '23', 4141, -964, '202', '631', '173.46']
['TRX-USDT', '2h', '2018-08-31', '2019-03-01', '884', '141.91', '-28.25', 482, '21', '2.5', '17.07', '7', '43', 4809, -482, '190', '694', '-36.3']
['TRX-USDT', '2h', '2018-12-15', '2019-06-15', '838', '252.39', '-26.09', 1133, '24', '3.39', '43.43', '5', '23', 3018, -703, '197', '641', '231.87']
['TRX-USDT', '2h', '2020-05-18', '2020-11-16', '915', '21.83', '-29.85', 48, '23', '0.89', '1.62', '5', '27', 3186, -401, '209', '706', '66.33']
['TRX-USDT', '2h', '2020-09-22', '2021-03-23', '864', '179.89', '-21.07', 679, '23', '2.92', '32.22', '6', '29', 2767, -879, '202', '662', '373.57']
['TRX-USDT', '2h', '2019-12-14', '2020-06-13', '795', '171.72', '-20.43', 634, '26', '2.6', '31.05', '5', '18', 3032, -697, '203', '592', '23.3']
['TRX-USDT', '2h', '2020-06-12', '2020-12-11', '905', '97.94', '-29.87', 290, '24', '2.07', '9.72', '5', '29', 3128, -553, '213', '692', '81.03']
['TRX-USDT', '2h', '2019-09-10', '2020-03-10', '858', '104.37', '-28.13', 316, '27', '2.16', '11.23', '5', '25', 2102, -539, '232', '626', '-6.21']
