['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['LINK-USDT', '5m', '2021-03-18', '2021-04-08', '53', '9.53', '-2.79', 353, '47', '4.83', '126.53', '4', '6', 531, -105, '25', '28', '-0.16']
['LINK-USDT', '5m', '2020-12-27', '2021-01-17', '51', '16.43', '-10.92', 1148, '29', '3.6', '105.11', '4', '12', 821, -233, '15', '36', '83.04']
['LINK-USDT', '5m', '2021-02-02', '2021-02-23', '66', '25.46', '-3.43', 4207, '41', '7.89', '1227.01', '4', '6', 642, -191, '27', '39', '37.31']
['LINK-USDT', '5m', '2021-07-04', '2021-07-25', '63', '-4.86', '-11.76', -56, '33', '-2.01', '-4.79', '4', '7', 296, -145, '21', '42', '-9.99']
['LINK-USDT', '5m', '2021-04-06', '2021-04-27', '64', '7.05', '-8.93', 210, '36', '1.86', '23.49', '4', '7', 840, -197, '23', '41', '8.27']
['LINK-USDT', '5m', '2021-03-10', '2021-03-31', '64', '13.08', '-3.9', 669, '45', '6.56', '171.44', '4', '6', 570, -107, '29', '35', '-11.95']
['LINK-USDT', '5m', '2020-12-20', '2021-01-10', '59', '14.97', '-8.89', 911, '37', '3.98', '102.48', '4', '12', 718, -217, '22', '37', '30.29']
['LINK-USDT', '5m', '2020-12-23', '2021-01-13', '53', '21.45', '-8.89', 2413, '36', '4.83', '271.25', '4', '12', 698, -211, '19', '34', '9.29']
['LINK-USDT', '5m', '2021-03-22', '2021-04-12', '51', '9.01', '-3.95', 318, '45', '4.39', '80.66', '4', '7', 538, -107, '23', '28', '16.01']
['LINK-USDT', '5m', '2021-06-27', '2021-07-18', '62', '-8.48', '-9.47', -77, '31', '-4.06', '-8.14', '4', '7', 286, -140, '19', '43', '-9.42']
['LINK-USDT', '5m', '2021-07-28', '2021-08-18', '67', '-3.35', '-12.63', -43, '31', '-1.37', '-3.42', '3', '10', 364, -181, '21', '46', '34.44']
['LINK-USDT', '5m', '2020-12-19', '2021-01-09', '60', '15.0', '-8.89', 916, '40', '3.98', '102.98', '4', '12', 719, -217, '24', '36', '12.61']
['LINK-USDT', '5m', '2021-04-07', '2021-04-28', '62', '9.39', '-8.93', 343, '39', '2.35', '38.44', '4', '7', 851, -200, '24', '38', '5.63']
['LINK-USDT', '5m', '2021-06-14', '2021-07-05', '56', '-0.77', '-8.97', -12, '32', '-0.09', '-1.34', '3', '7', 368, -189, '18', '38', '-17.9']
['LINK-USDT', '5m', '2021-06-09', '2021-06-30', '61', '3.22', '-8.97', 69, '33', '1.29', '7.73', '4', '7', 579, -200, '20', '41', '-19.02']
['LINK-USDT', '5m', '2021-06-19', '2021-07-10', '53', '5.22', '-8.46', 132, '40', '2.39', '15.66', '4', '7', 379, -194, '21', '32', '-11.98']
['LINK-USDT', '5m', '2021-05-13', '2021-06-03', '46', '0.21', '-8.57', 4, '41', '0.27', '0.42', '5', '6', 693, -184, '19', '27', '-27.01']
['LINK-USDT', '5m', '2020-12-21', '2021-01-11', '55', '14.76', '-8.89', 882, '35', '3.92', '99.21', '4', '12', 718, -217, '19', '36', '24.67']
['LINK-USDT', '5m', '2021-03-26', '2021-04-16', '50', '6.28', '-3.95', 175, '46', '3.16', '44.26', '4', '7', 418, -141, '23', '27', '66.54']
['LINK-USDT', '5m', '2021-01-25', '2021-02-15', '63', '5.43', '-12.26', 140, '35', '1.96', '11.46', '4', '11', 583, -180, '22', '41', '33.49']
['LINK-USDT', '5m', '2021-04-19', '2021-05-10', '74', '-14.89', '-20.93', -93, '32', '-6.47', '-4.45', '3', '7', 468, -181, '24', '50', '32.54']
['LINK-USDT', '5m', '2021-04-22', '2021-05-13', '72', '-17.46', '-21.72', -96, '31', '-8.17', '-4.41', '3', '9', 458, -180, '22', '50', '14.1']
['LINK-USDT', '5m', '2020-12-03', '2020-12-24', '67', '1.31', '-4.38', 24, '39', '1.05', '5.49', '4', '7', 288, -185, '26', '41', '-21.81']
['LINK-USDT', '5m', '2021-01-07', '2021-01-28', '60', '-9.22', '-20.04', -80, '25', '-2.21', '-3.99', '2', '11', 713, -202, '15', '45', '20.55']
['LINK-USDT', '5m', '2020-12-16', '2021-01-06', '65', '20.18', '-8.89', 2011, '43', '5.19', '226.1', '4', '12', 730, -220, '28', '37', '14.5']
['LINK-USDT', '5m', '2021-06-21', '2021-07-12', '57', '3.1', '-8.46', 66, '35', '1.49', '7.81', '4', '7', 381, -195, '20', '37', '-15.32']
['LINK-USDT', '5m', '2021-02-13', '2021-03-06', '60', '14.74', '-6.63', 879, '40', '4.74', '132.59', '4', '6', 584, -214, '24', '36', '-9.42']
['LINK-USDT', '5m', '2020-12-14', '2021-01-04', '66', '10.66', '-8.89', 437, '39', '3.38', '49.14', '4', '12', 721, -195, '26', '40', '5.8']
