'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'TRX-USDT','2h','2021-05-02','2021-06-01','232','272.56','-28.75',531421848,'34','7.77','18483078.39','5','13',457,-313,'78','154','-31.0'
'TRX-USDT','2h','2021-04-25','2021-05-25','251','267.83','-35.61',457059930,'30','7.51','12833516.61','4','13',552,-89,'76','175','-10.53'
'TRX-USDT','2h','2021-07-04','2021-08-03','219','208.01','-11.8',56548659,'31','10.76','4790434.64','5','12',771,-63,'67','152','13.26'
'TRX-USDT','2h','2021-07-05','2021-08-04','222','199.81','-11.82',41158357,'30','10.64','3483531.84','5','12',702,-57,'67','155','6.76'
'TRX-USDT','2h','2021-04-27','2021-05-27','247','208.26','-35.27',57095752,'31','6.77','1618950.11','4','13',420,-287,'76','171','-15.49'
'TRX-USDT','2h','2021-03-24','2021-04-23','243','164.39','-8.14',9367048,'30','10.7','1150774.05','5','15',525,-144,'72','171','63.95'
'TRX-USDT','2h','2021-06-09','2021-07-09','244','116.72','-11.63',901348,'32','7.35','77491.13','6','9',359,-109,'79','165','-16.9'
'TRX-USDT','2h','2021-07-20','2021-08-19','239','121.57','-19.91',1169595,'33','6.56','58736.09','6','12',498,-64,'78','161','71.42'
'TRX-USDT','2h','2021-01-31','2021-03-02','222','107.43','-14.25',538029,'31','5.91','37753.19','6','11',335,-71,'68','154','103.64'
'TRX-USDT','2h','2021-06-24','2021-07-24','225','109.11','-17.86',591719,'32','6.8','33122.34','6','10',494,-73,'73','152','4.82'
'TRX-USDT','2h','2021-04-20','2021-05-20','280','122.27','-37.88',1214199,'30','4.9','32057.5','4','13',498,-66,'83','197','-24.2'
'TRX-USDT','2h','2021-05-30','2021-06-29','263','108.9','-26.48',584843,'31','5.27','22090.14','5','22',215,-127,'82','181','-17.08'
'TRX-USDT','2h','2021-06-18','2021-07-18','232','89.22','-15.41',182263,'32','6.03','11830.86','6','10',352,-102,'75','157','-23.4'
'TRX-USDT','2h','2021-01-28','2021-02-27','232','92.66','-21.21',225418,'30','5.3','10626.37','6','9',316,-64,'69','163','104.08'
'TRX-USDT','2h','2021-04-04','2021-05-04','269','91.45','-25.41',209282,'27','5.69','8235.32','7','15',279,-96,'73','196','61.21'
'TRX-USDT','2h','2021-03-04','2021-04-03','257','84.9','-27.17',138864,'28','5.83','5110.32','5','18',218,-48,'73','184','45.5'
'TRX-USDT','2h','2021-05-21','2021-06-20','248','86.82','-33.96',156880,'32','4.47','4619.73','5','22',237,-132,'79','169','-28.58'
'TRX-USDT','2h','2021-03-12','2021-04-11','251','74.1','-23.64',68316,'29','5.95','2890.04','3','18',324,-61,'72','179','60.79'
'TRX-USDT','2h','2021-07-17','2021-08-16','237','66.02','-20.24',39010,'30','4.39','1927.73','3','12',430,-56,'72','165','77.23'
'TRX-USDT','2h','2021-05-26','2021-06-25','259','69.32','-26.27',49186,'32','4.07','1872.58','5','22',148,-67,'83','176','-27.09'
'TRX-USDT','2h','2020-12-15','2021-01-14','262','58.98','-16.58',23381,'32','3.96','1410.61','7','15',369,-121,'83','179','49.47'
'TRX-USDT','2h','2021-02-16','2021-03-18','224','56.94','-14.8',20069,'32','4.17','1355.72','5','16',204,-55,'71','153','19.03'
'TRX-USDT','2h','2020-12-28','2021-01-27','250','58.5','-21.03',22560,'34','3.39','1072.82','7','15',244,-88,'84','166','72.91'
'TRX-USDT','2h','2021-04-05','2021-05-05','277','54.22','-25.4',16313,'27','3.84','642.17','5','15',257,-95,'75','202','32.85'
'TRX-USDT','2h','2021-03-09','2021-04-08','252','52.17','-22.22',13917,'27','4.41','626.31','4','18',281,-34,'67','185','50.65'
'TRX-USDT','2h','2021-02-20','2021-03-22','234','34.17','-18.22',3085,'30','2.92','169.32','4','18',190,-53,'70','164','-8.36'
'TRX-USDT','2h','2021-01-16','2021-02-15','258','35.97','-34.0',3625,'31','2.66','106.61','7','9',284,-66,'80','178','114.89'
'TRX-USDT','2h','2021-02-27','2021-03-29','258','23.73','-26.89',1127,'28','2.49','41.9','3','18',189,-52,'73','185','26.23'
'TRX-USDT','2h','2020-12-02','2021-01-01','293','15.48','-18.81',444,'30','2.12','23.62','5','15',249,-37,'87','206','10.92'
'TRX-USDT','2h','2021-01-07','2021-02-06','257','-3.59','-35.79',-35,'31','0.85','-0.98','7','12',189,-90,'79','178','74.33'
