'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AAVE-USDT','5m','2021-05-17','2021-06-16','136','149.73','-10.59',4784033,'38','8.38','451671.48','4','8',253,-56,'51','85','-40.91'
'AAVE-USDT','5m','2021-05-30','2021-06-29','136','136.26','-12.26',2490687,'39','8.51','203180.96','4','8',202,-58,'53','83','-23.65'
'AAVE-USDT','5m','2021-06-10','2021-07-10','134','113.89','-12.26',771886,'40','8.14','62948.24','4','8',318,-55,'53','81','-10.51'
'AAVE-USDT','5m','2021-05-23','2021-06-22','129','81.96','-12.26',114954,'37','6.31','9372.99','4','8',185,-43,'48','81','-35.76'
'AAVE-USDT','5m','2021-05-26','2021-06-25','134','80.63','-12.26',105426,'38','5.94','8598.16','4','8',178,-51,'51','83','-43.23'
'AAVE-USDT','5m','2020-12-27','2021-01-26','150','76.64','-12.23',81059,'43','4.78','6626.5','8','7',323,-56,'64','86','229.08'
'AAVE-USDT','5m','2021-04-30','2021-05-30','142','50.96','-23.27',12664,'35','4.3','544.23','4','7',221,-48,'49','93','-32.26'
'AAVE-USDT','5m','2021-04-27','2021-05-27','146','49.21','-25.72',11030,'34','4.18','428.89','4','7',215,-46,'49','97','2.36'
'AAVE-USDT','5m','2021-02-09','2021-03-11','123','35.69','-17.41',4000,'37','3.54','229.82','4','8',134,-39,'46','77','-17.65'
'AAVE-USDT','5m','2021-07-17','2021-08-16','140','24.55','-9.36',1226,'34','3.21','130.96','5','10',169,-39,'48','92','61.81'
'AAVE-USDT','5m','2021-02-26','2021-03-28','138','18.65','-14.48',649,'32','2.61','44.8','2','7',145,-33,'44','94','4.14'
'AAVE-USDT','5m','2021-04-23','2021-05-23','157','24.29','-28.9',1194,'31','2.54','41.32','4','7',168,-28,'48','109','-7.04'
'AAVE-USDT','5m','2021-02-27','2021-03-29','141','14.53','-14.5',394,'31','2.16','27.2','2','7',141,-32,'44','97','7.11'
'AAVE-USDT','5m','2021-01-30','2021-03-01','131','14.11','-17.4',434,'34','1.93','24.97','4','8',115,-30,'44','87','22.7'
'AAVE-USDT','5m','2021-03-01','2021-03-31','144','2.99','-13.79',41,'31','0.82','3.0','2','7',126,-29,'44','100','5.74'
'AAVE-USDT','5m','2021-01-13','2021-02-12','150','1.25','-33.87',16,'33','0.7','0.46','5','7',217,-38,'50','100','305.08'
'AAVE-USDT','5m','2021-03-03','2021-04-02','145','-0.01','-17.14',0,'30','0.42','-0.01','2','7',129,-26,'44','101','-1.74'
'AAVE-USDT','5m','2021-04-19','2021-05-19','163','-9.17','-28.88',-68,'29','-0.44','-2.35','3','7',173,-28,'47','116','64.66'
'AAVE-USDT','5m','2020-11-11','2020-12-11','154','-39.96','-40.02',-100,'29','-5.65','-2.49','2','7',68,-29,'45','109','14.11'
'AAVE-USDT','5m','2021-03-25','2021-04-24','150','-23.68','-35.9',-96,'28','-4.0','-2.67','4','9',118,-24,'42','108','11.88'
'AAVE-USDT','5m','2020-11-15','2020-12-15','156','-29.7','-36.18',-98,'32','-4.62','-2.72','2','7',78,-30,'50','106','29.1'
'AAVE-USDT','5m','2021-04-13','2021-05-13','164','-28.82','-32.31',-98,'25','-3.64','-3.04','3','9',147,-26,'41','123','28.74'
'AAVE-USDT','5m','2021-04-10','2021-05-10','168','-31.34','-32.53',-99,'24','-3.9','-3.04','3','9',144,-29,'40','128','27.64'
'AAVE-USDT','5m','2021-03-20','2021-04-19','151','-24.12','-30.5',-96,'28','-4.45','-3.15','4','9',111,-26,'42','109','3.45'
'AAVE-USDT','5m','2021-03-29','2021-04-28','151','-17.28','-28.03',-89,'28','-1.86','-3.19','4','9',134,-27,'42','109','26.96'
'AAVE-USDT','5m','2021-03-31','2021-04-30','154','-20.04','-28.05',-93,'27','-2.26','-3.31','4','9',133,-27,'42','112','15.97'
'AAVE-USDT','5m','2021-01-26','2021-02-25','145','-24.09','-28.77',-95,'29','-1.85','-3.32','3','8',87,-28,'42','103','49.44'
'AAVE-USDT','5m','2020-11-27','2020-12-27','159','-24.07','-28.79',-96,'33','-4.33','-3.34','7','9',70,-26,'52','107','16.79'
'AAVE-USDT','5m','2021-04-06','2021-05-06','166','-26.36','-26.38',-97,'25','-3.21','-3.69','4','9',140,-28,'42','124','20.04'
'AAVE-USDT','5m','2020-12-04','2021-01-03','159','-10.64','-17.72',-73,'36','-1.63','-4.14','7','9',55,-31,'57','102','-6.12'
