['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['BNB-USDT', '30m', '2021-02-02', '2021-03-04', '93', '7.13', '-14.35', 125, '26', '1.55', '8.71', '4', '12', 41, -12, '24', '69', '111.42']
['BNB-USDT', '30m', '2021-02-19', '2021-03-21', '115', '2.88', '-11.61', 40, '27', '0.84', '3.42', '4', '13', 34, -10, '31', '84', '6.14']
['BNB-USDT', '30m', '2020-12-24', '2021-01-23', '107', '20.14', '-12.47', 767, '21', '2.81', '61.51', '5', '26', 48, -12, '23', '84', '59.99']
['BNB-USDT', '30m', '2021-06-28', '2021-07-28', '98', '57.05', '-9.14', 20238, '33', '9.41', '2214.02', '5', '15', 74, -11, '32', '66', '10.31']
['BNB-USDT', '30m', '2021-02-25', '2021-03-27', '133', '3.24', '-11.23', 46, '26', '0.89', '4.06', '4', '13', 34, -10, '35', '98', '16.29']
['BNB-USDT', '30m', '2020-11-16', '2020-12-16', '136', '25.91', '-10.9', 1407, '26', '4.84', '129.1', '4', '26', 55, -8, '36', '100', '20.77']
['BNB-USDT', '30m', '2021-02-09', '2021-03-11', '98', '11.57', '-13.88', 263, '27', '2.28', '18.95', '3', '12', 38, -11, '26', '72', '69.5']
['BNB-USDT', '30m', '2021-05-15', '2021-06-14', '104', '35.65', '-15.64', 3524, '29', '4.09', '225.24', '4', '13', 69, -15, '30', '74', '-41.76']
['BNB-USDT', '30m', '2021-05-05', '2021-06-04', '104', '58.97', '-13.15', 23354, '29', '5.86', '1775.6', '3', '13', 86, -17, '30', '74', '-22.74']
['BNB-USDT', '30m', '2020-12-10', '2021-01-09', '128', '18.4', '-6.91', 630, '21', '3.19', '91.23', '2', '26', 48, -8, '27', '101', '62.76']
['BNB-USDT', '30m', '2021-06-01', '2021-07-01', '115', '9.17', '-9.82', 181, '26', '1.75', '18.43', '3', '10', 34, -11, '30', '85', '-21.18']
