'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BNB-USDT','30m','2021-06-18','2021-07-28','136','264.17','-17.68',9930242,'29','8.5','561544.81','5','15',339,-48,'40','96','-12.86'
'BNB-USDT','30m','2021-06-19','2021-07-29','136','245.48','-17.16',6213052,'28','8.19','361993.47','4','15',336,-46,'38','98','-6.49'
'BNB-USDT','30m','2021-06-16','2021-07-26','138','219.75','-17.5',3119451,'29','7.53','178268.39','5','15',356,-50,'40','98','-22.88'
'BNB-USDT','30m','2021-07-05','2021-08-14','145','193.09','-22.28',1436663,'30','7.24','64490.03','3','15',228,-33,'44','101','50.6'
'BNB-USDT','30m','2021-06-27','2021-08-06','137','183.25','-19.35',1060123,'29','7.38','54780.83','3','15',304,-33,'40','97','36.67'
'BNB-USDT','30m','2021-05-09','2021-06-18','136','176.39','-38.61',852381,'30','4.87','22078.45','4','13',245,-97,'41','95','-49.15'
'BNB-USDT','30m','2021-04-25','2021-06-04','152','170.39','-38.73',700918,'28','4.75','18097.65','3','13',246,-90,'42','110','-4.83'
'BNB-USDT','30m','2021-05-18','2021-06-27','144','167.98','-39.16',647175,'27','4.7','16524.69','4','13',207,-64,'39','105','-49.49'
'BNB-USDT','30m','2021-07-06','2021-08-15','149','133.01','-17.71',186301,'29','5.79','10519.96','3','15',225,-42,'43','106','56.63'
'BNB-USDT','30m','2021-07-13','2021-08-22','148','131.82','-17.77',178007,'28','5.56','10016.94','3','12',200,-38,'42','106','64.73'
'BNB-USDT','30m','2021-07-08','2021-08-17','152','106.76','-17.77',64232,'28','5.08','3613.92','4','17',204,-38,'43','109','48.28'
'BNB-USDT','30m','2020-12-16','2021-01-25','146','91.89','-31.72',33010,'24','3.8','1040.6','3','26',246,-47,'35','111','64.98'
'BNB-USDT','30m','2020-11-16','2020-12-26','174','92.83','-34.23',34482,'28','4.43','1007.36','4','26',188,-42,'49','125','26.27'
'BNB-USDT','30m','2020-11-21','2020-12-31','170','88.62','-33.48',28311,'27','4.35','845.72','4','26',170,-37,'46','124','23.53'
'BNB-USDT','30m','2021-03-29','2021-05-08','170','81.0','-37.27',19578,'26','3.8','525.3','3','15',125,-68,'44','126','125.71'
'BNB-USDT','30m','2021-05-31','2021-07-10','146','62.52','-27.46',7445,'28','3.42','271.14','3','12',117,-30,'41','105','-17.66'
'BNB-USDT','30m','2021-05-19','2021-06-28','140','58.55','-39.1',5952,'26','3.16','152.22','4','13',134,-42,'36','104','-46.6'
'BNB-USDT','30m','2021-05-20','2021-06-29','140','58.55','-39.1',5952,'26','3.16','152.22','4','13',134,-42,'36','104','-24.57'
'BNB-USDT','30m','2020-10-29','2020-12-08','181','42.93','-33.33',2305,'22','2.69','69.15','3','22',155,-34,'39','142','25.91'
'BNB-USDT','30m','2020-11-01','2020-12-11','176','26.7','-39.47',722,'23','2.08','18.3','4','26',129,-28,'41','135','22.21'
'BNB-USDT','30m','2020-11-02','2020-12-12','177','24.86','-43.44',622,'24','2.02','14.31','4','26',127,-28,'43','134','17.3'
'BNB-USDT','30m','2020-12-12','2021-01-21','155','16.62','-31.69',293,'23','1.71','9.24','3','26',246,-47,'36','119','81.57'
'BNB-USDT','30m','2021-05-24','2021-07-03','147','16.34','-41.31',285,'28','1.68','6.89','4','13',94,-30,'41','106','-4.58'
'BNB-USDT','30m','2021-02-08','2021-03-20','144','12.66','-40.23',189,'28','1.48','4.7','4','12',129,-38,'40','104','98.21'
'BNB-USDT','30m','2021-02-07','2021-03-19','141','7.98','-39.48',98,'28','1.26','2.48','4','12',119,-36,'39','102','86.9'
'BNB-USDT','30m','2020-12-28','2021-02-06','152','6.81','-36.94',80,'24','1.19','2.16','4','27',79,-31,'36','116','87.46'
'BNB-USDT','30m','2020-12-17','2021-01-26','145','-1.12','-38.42',-10,'24','0.67','-0.25','3','26',70,-32,'35','110','48.37'
'BNB-USDT','30m','2020-12-14','2021-01-23','155','-9.14','-41.58',-57,'23','0.29','-1.38','5','26',66,-29,'35','120','54.4'
'BNB-USDT','30m','2021-02-13','2021-03-25','162','-13.03','-38.03',-71,'25','0.05','-1.87','4','13',53,-27,'41','121','15.51'
'BNB-USDT','30m','2020-10-07','2020-11-16','189','-41.85','-48.8',-99,'20','-3.67','-2.03','3','20',54,-35,'37','152','13.29'
