'Time','AAVE','ETH','BNB','BTC','NEO','QTUM','Mean','AAVEdev','ETHdev','BNBdev','BTCdev','NEOdev','QTUMdev','AAVEndev','ETHndev','BNBndev','BTCndev','NEOndev','QTUMndev','SumNorm.Dev.'
'10/12/2020',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
'11/12/2020',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
'12/12/2020',0.0,0.4,0.4,0.0,0.0,0.0,0.132,-0.132,0.268,0.268,-0.132,-0.132,-0.132,1.0,1.4,1.4,1.0,1.0,1.0,6.8
'13/12/2020',0.0,1.46,0.4,0.0,0.0,0.0,0.31,-0.31,1.15,0.09,-0.31,-0.31,-0.31,1.0,2.46,1.4,1.0,1.0,1.0,7.86
'14/12/2020',0.0,1.46,0.4,0.0,1.46,0.0,0.554,-0.554,0.906,-0.154,-0.554,0.906,-0.554,1.0,2.46,1.4,1.0,2.46,1.0,9.32
'15/12/2020',0.0,0.5,0.5,0.0,1.46,0.0,0.411,-0.411,0.089,0.089,-0.411,1.049,-0.411,1.0,1.5,1.5,1.0,2.46,1.0,8.46
'16/12/2020',0.0,-5.09,-5.09,0.0,1.46,0.5,-1.369,1.369,-3.721,-3.721,1.369,2.829,1.869,6.09,1.0,1.0,6.09,7.55,6.59,28.32
'17/12/2020',0.0,-5.44,-5.44,0.0,1.46,-5.09,-2.417,2.417,-3.023,-3.023,2.417,3.877,-2.673,6.44,1.0,1.0,6.44,7.9,1.35,24.13
'18/12/2020',0.0,-4.84,-4.84,0.0,-5.44,-5.09,-3.367,3.367,-1.473,-1.473,3.367,-2.073,-1.723,6.44,1.6,1.6,6.44,1.0,1.35,18.43
'19/12/2020',-5.44,-5.44,-5.44,0.0,-5.44,-5.09,-4.473,-0.967,-0.967,-0.967,4.473,-0.967,-0.617,1.0,1.0,1.0,6.44,1.0,1.35,11.79
'20/12/2020',-1.29,-5.44,-1.29,0.0,-5.44,-5.09,-3.092,1.802,-2.348,1.802,3.092,-2.348,-1.998,5.15,1.0,5.15,6.44,1.0,1.35,20.09
'21/12/2020',-1.83,-1.83,-1.29,-1.29,-5.44,-5.09,-2.796,0.966,0.966,1.506,1.506,-2.644,-2.294,4.61,4.61,5.15,5.15,1.0,1.35,21.87
'22/12/2020',-1.83,-1.83,-3.54,-1.29,-1.83,-5.09,-2.568,0.738,0.738,-0.972,1.278,0.738,-2.522,4.26,4.26,2.55,4.8,4.26,1.0,21.13
'23/12/2020',-3.36,-3.36,-3.36,-1.29,-1.83,-5.09,-3.047,-0.313,-0.313,-0.313,1.757,1.217,-2.043,2.73,2.73,2.73,4.8,4.26,1.0,18.25
'24/12/2020',-3.36,2.02,2.02,-3.36,-1.83,-5.09,-1.598,-1.762,3.618,3.618,-1.762,-0.232,-3.492,2.73,8.11,8.11,2.73,4.26,1.0,26.94
'25/12/2020',1.82,1.82,1.82,2.02,-1.83,-5.09,0.094,1.726,1.726,1.726,1.926,-1.924,-5.184,7.91,7.91,7.91,8.11,4.26,1.0,37.1
'26/12/2020',1.82,1.82,2.19,1.82,-1.83,-5.09,0.122,1.698,1.698,2.068,1.698,-1.952,-5.212,7.91,7.91,8.28,7.91,4.26,1.0,37.27
'27/12/2020',1.82,2.18,2.18,1.82,-1.83,-5.09,0.179,1.641,2.001,2.001,1.641,-2.009,-5.269,7.91,8.27,8.27,7.91,4.26,1.0,37.62
'28/12/2020',1.98,1.98,1.98,1.82,-1.83,-5.09,0.14,1.84,1.84,1.84,1.68,-1.97,-5.23,8.07,8.07,8.07,7.91,4.26,1.0,37.38
'29/12/2020',1.97,1.98,1.98,1.82,1.98,-5.09,0.774,1.196,1.206,1.206,1.046,1.206,-5.864,8.06,8.07,8.07,7.91,8.07,1.0,41.18
'30/12/2020',1.97,2.12,2.12,1.82,1.98,-5.09,0.819,1.151,1.301,1.301,1.001,1.161,-5.909,8.06,8.21,8.21,7.91,8.07,1.0,41.46
