'Time','AAVE','ETH','BNB','BTC','NEO','QTUM','Mean','AAVEdev','ETHdev','BNBdev','BTCdev','NEOdev','QTUMdev','AAVEndev','ETHndev','BNBndev','BTCndev','NEOndev','QTUMndev','SumNorm.Dev.'
'10/12/2020',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
'11/12/2020',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
'12/12/2020',-1.64,-1.64,-1.64,0.0,0.0,0.0,-0.82,-0.82,-0.82,-0.82,0.82,0.82,0.82,1.0,1.0,1.0,2.64,2.64,2.64,10.92
'13/12/2020',2.07,2.07,-1.64,0.0,0.0,0.0,0.416,1.654,1.654,-2.056,-0.416,-0.416,-0.416,4.71,4.71,1.0,2.64,2.64,2.64,18.34
'14/12/2020',7.91,2.07,-1.64,0.0,2.07,0.0,1.734,6.176,0.336,-3.374,-1.734,0.336,-1.734,10.55,4.71,1.0,2.64,4.71,2.64,26.25
'15/12/2020',3.5,3.5,3.5,0.0,2.07,0.0,2.096,1.404,1.404,1.404,-2.096,-0.026,-2.096,4.5,4.5,4.5,1.0,3.07,1.0,18.57
'16/12/2020',-2.7,-2.7,-2.7,0.0,2.07,3.5,-0.42,-2.28,-2.28,-2.28,0.42,2.49,3.92,1.0,1.0,1.0,3.7,5.77,7.2,19.67
'17/12/2020',1.3,1.3,1.3,0.0,2.07,-2.7,0.544,0.756,0.756,0.756,-0.544,1.526,-3.244,5.0,5.0,5.0,3.7,5.77,1.0,25.47
'18/12/2020',3.58,3.58,3.58,0.0,1.3,-2.7,1.555,2.025,2.025,2.025,-1.555,-0.255,-4.255,7.28,7.28,7.28,3.7,5.0,1.0,31.54
'19/12/2020',4.5,4.5,4.5,0.0,1.3,-2.7,2.018,2.482,2.482,2.482,-2.018,-0.718,-4.718,8.2,8.2,8.2,3.7,5.0,1.0,34.3
'20/12/2020',7.23,4.5,7.23,0.0,1.3,-2.7,2.927,4.303,1.573,4.303,-2.927,-1.627,-5.627,10.93,8.2,10.93,3.7,5.0,1.0,39.76
'21/12/2020',5.09,5.09,7.23,7.23,1.3,-2.7,3.874,1.216,1.216,3.356,3.356,-2.574,-6.574,8.79,8.79,10.93,10.93,5.0,1.0,45.44
'22/12/2020',4.15,5.09,4.15,7.23,5.09,-2.7,3.837,0.313,1.253,0.313,3.393,1.253,-6.537,7.85,8.79,7.85,10.93,8.79,1.0,45.21
'23/12/2020',4.77,4.77,4.77,7.23,5.09,-2.7,3.991,0.779,0.779,0.779,3.239,1.099,-6.691,8.47,8.47,8.47,10.93,8.79,1.0,46.13
'24/12/2020',5.64,5.64,5.64,4.77,5.09,-2.7,4.017,1.623,1.623,1.623,0.753,1.073,-6.717,9.34,9.34,9.34,8.47,8.79,1.0,46.28
'25/12/2020',6.53,6.53,6.53,5.64,5.09,-2.7,4.603,1.927,1.927,1.927,1.037,0.487,-7.303,10.23,10.23,10.23,9.34,8.79,1.0,49.82
'26/12/2020',6.86,6.53,6.86,6.53,5.09,-2.7,4.863,1.997,1.667,1.997,1.667,0.227,-7.563,10.56,10.23,10.56,10.23,8.79,1.0,51.37
'27/12/2020',6.33,6.33,6.33,6.53,5.09,-2.7,4.655,1.675,1.675,1.675,1.875,0.435,-7.355,10.03,10.03,10.03,10.23,8.79,1.0,50.11
'28/12/2020',5.24,5.24,5.24,6.53,5.09,-2.7,4.109,1.131,1.131,1.131,2.421,0.981,-6.809,8.94,8.94,8.94,10.23,8.79,1.0,46.84
'29/12/2020',5.94,5.24,5.24,6.53,5.24,-2.7,4.25,1.69,0.99,0.99,2.28,0.99,-6.95,9.64,8.94,8.94,10.23,8.94,1.0,47.69
'30/12/2020',5.93,5.93,5.93,6.53,5.24,-2.7,4.475,1.455,1.455,1.455,2.055,0.765,-7.175,9.63,9.63,9.63,10.23,8.94,1.0,49.06
'31/12/2020',6.97,6.97,6.97,6.53,5.24,-2.7,4.999,1.971,1.971,1.971,1.531,0.241,-7.699,10.67,10.67,10.67,10.23,8.94,1.0,52.18
