'Time','ETH-USDT','NEO-USDT','QTUM-USDT','LTC-USDT','ETC-USDT','TRX-USDT','FIL-USDT','LINK-USDT','ADA-USDT','Mean'
'11/08/2021',-5.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.635,-5.082,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,1.0,6.717,6.717,6.717,6.717,6.717,6.717,6.717,6.717,54.736
'12/08/2021',10.484,0.0,0.0,0.0,-5.717,-5.717,-5.717,0.0,0.0,-0.741,11.225,0.741,0.741,0.741,-4.976,-4.976,-4.976,0.741,0.741,17.201,6.717,6.717,6.717,1.0,1.0,1.0,6.717,6.717,53.786
'13/08/2021',0.268,10.484,10.484,10.484,10.484,10.484,10.484,10.484,10.484,9.349,-9.081,1.135,1.135,1.135,1.135,1.135,1.135,1.135,1.135,1.0,11.216,11.216,11.216,11.216,11.216,11.216,11.216,11.216,90.728
'14/08/2021',0.268,10.484,0.268,10.484,10.484,10.484,10.484,0.268,10.484,7.079,-6.811,3.405,-6.811,3.405,3.405,3.405,3.405,-6.811,3.405,1.0,11.216,1.0,11.216,11.216,11.216,11.216,1.0,11.216,70.296
'15/08/2021',4.58,10.484,0.268,8.235,8.235,8.235,8.235,0.268,10.484,6.558,-1.978,3.926,-6.29,1.677,1.677,1.677,1.677,-6.29,3.926,5.312,11.216,1.0,8.967,8.967,8.967,8.967,1.0,11.216,65.612
'16/08/2021',4.58,4.58,0.268,4.58,8.235,8.235,4.58,4.58,10.484,5.569,-0.989,-0.989,-5.301,-0.989,2.666,2.666,-0.989,-0.989,4.915,5.312,5.312,1.0,5.312,8.967,8.967,5.312,5.312,11.216,56.71
'17/08/2021',2.056,5.161,0.268,5.161,8.235,5.161,5.161,5.161,10.484,5.205,-3.149,-0.044,-4.937,-0.044,3.03,-0.044,-0.044,-0.044,5.279,2.788,5.893,1.0,5.893,8.967,5.893,5.893,5.893,11.216,53.436
'18/08/2021',2.786,2.056,2.056,2.056,2.056,2.056,2.056,2.056,2.056,2.137,0.649,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.73
'19/08/2021',2.31,2.786,2.786,2.786,2.786,2.056,2.786,2.786,2.786,2.652,-0.342,0.134,0.134,0.134,0.134,-0.596,0.134,0.134,0.134,1.254,1.73,1.73,1.73,1.73,1.0,1.73,1.73,1.73,14.364
'20/08/2021',2.42,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.786,2.375,0.045,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,-0.065,0.411,1.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.476,9.586
'21/08/2021',2.42,2.31,2.31,2.42,2.42,2.31,2.31,2.42,2.42,2.371,0.049,-0.061,-0.061,0.049,0.049,-0.061,-0.061,0.049,0.049,1.11,1.0,1.0,1.11,1.11,1.0,1.0,1.11,1.11,9.55
'22/08/2021',2.197,2.31,2.31,2.42,2.42,2.31,2.31,2.42,2.378,2.341,-0.144,-0.031,-0.031,0.079,0.079,-0.031,-0.031,0.079,0.037,1.0,1.113,1.113,1.223,1.223,1.113,1.113,1.223,1.181,10.302
'23/08/2021',2.042,2.31,2.197,2.197,2.42,2.31,2.31,2.42,2.197,2.267,-0.225,0.043,-0.07,-0.07,0.153,0.043,0.043,0.153,-0.07,1.0,1.268,1.155,1.155,1.378,1.268,1.268,1.378,1.155,11.025
'24/08/2021',2.281,2.042,2.042,2.042,2.042,2.042,2.31,2.042,2.197,2.115,0.166,-0.073,-0.073,-0.073,-0.073,-0.073,0.195,-0.073,0.082,1.239,1.0,1.0,1.0,1.0,1.0,1.268,1.0,1.155,9.662
'25/08/2021',2.258,2.042,2.281,2.281,2.281,2.281,2.281,2.281,2.197,2.243,0.015,-0.201,0.038,0.038,0.038,0.038,0.038,0.038,-0.046,1.216,1.0,1.239,1.239,1.239,1.239,1.239,1.239,1.155,10.805
'26/08/2021',2.258,2.258,2.258,2.258,2.258,2.258,2.281,2.258,2.258,2.261,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,0.02,-0.003,-0.003,1.0,1.0,1.0,1.0,1.0,1.0,1.023,1.0,1.0,9.023
'27/08/2021',2.286,2.258,2.081,2.258,2.081,2.258,2.281,2.081,2.081,2.185,0.101,0.073,-0.104,0.073,-0.104,0.073,0.096,-0.104,-0.104,1.205,1.177,1.0,1.177,1.0,1.177,1.2,1.0,1.0,9.936
'28/08/2021',2.156,2.258,2.081,2.286,2.081,2.286,2.281,2.081,2.286,2.2,-0.044,0.058,-0.119,0.086,-0.119,0.086,0.081,-0.119,0.086,1.075,1.177,1.0,1.205,1.0,1.205,1.2,1.0,1.205,10.067
