['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USDT', '30m', '2021-05-20', '2021-06-19', '35', '30.34', '-9.78', 2164, '37', '4.01', '221.2', '2', '4', 1544, -509, '13', '22', '-10.49']
['ETH-USDT', '30m', '2020-02-24', '2020-03-25', '47', '58.85', '-12.36', 23152, '32', '4.89', '1872.9', '2', '7', 2975, -927, '15', '32', '-49.59']
['ETH-USDT', '30m', '2020-10-19', '2020-11-18', '63', '-10.08', '-16.92', -71, '24', '-3.25', '-4.22', '3', '14', 382, -298, '15', '48', '27.54']
['ETH-USDT', '30m', '2021-06-07', '2021-07-07', '44', '29.3', '-9.78', 1961, '41', '3.94', '200.44', '3', '4', 1353, -669, '18', '26', '-14.55']
['ETH-USDT', '30m', '2020-11-23', '2020-12-23', '54', '-9.04', '-21.95', -67, '20', '-1.13', '-3.06', '2', '9', 846, -430, '11', '43', '12.98']
['ETH-USDT', '30m', '2020-06-05', '2020-07-05', '70', '-1.62', '-9.76', -17, '20', '-0.25', '-1.79', '3', '15', 865, -290, '14', '56', '-5.81']
['ETH-USDT', '30m', '2021-02-25', '2021-03-27', '57', '8.7', '-10.66', 167, '28', '1.81', '15.68', '3', '10', 721, -383, '16', '41', '4.27']
['ETH-USDT', '30m', '2021-05-01', '2021-05-31', '31', '43.77', '-10.51', 7084, '29', '5.86', '674.16', '2', '10', 1556, -372, '9', '22', '-13.85']
['ETH-USDT', '30m', '2020-03-22', '2020-04-21', '59', '-7.52', '-23.94', -60, '25', '-0.16', '-2.51', '3', '8', 2099, -1045, '15', '44', '28.92']
['ETH-USDT', '30m', '2020-02-20', '2020-03-21', '49', '55.04', '-12.36', 17372, '31', '4.65', '1405.28', '2', '7', 2863, -892, '15', '34', '-48.11']
['ETH-USDT', '30m', '2021-04-18', '2021-05-18', '43', '-6.68', '-18.47', -56, '21', '-1.15', '-3.01', '2', '17', 894, -730, '9', '34', '41.12']
['ETH-USDT', '30m', '2021-02-15', '2021-03-17', '56', '7.22', '-10.12', 127, '32', '1.29', '12.58', '3', '6', 2146, -429, '18', '38', '0.06']
['ETH-USDT', '30m', '2021-01-03', '2021-02-02', '43', '13.57', '-18.66', 347, '26', '1.79', '18.61', '2', '7', 3249, -422, '11', '32', '77.5']
['ETH-USDT', '30m', '2020-01-15', '2020-02-14', '69', '-11.98', '-13.92', -78, '22', '-2.41', '-5.58', '2', '8', 682, -407, '15', '54', '63.96']
['ETH-USDT', '30m', '2021-07-21', '2021-08-20', '59', '42.79', '-14.73', 6531, '31', '4.79', '443.37', '2', '7', 2999, -304, '18', '41', '78.44']
['ETH-USDT', '30m', '2021-07-07', '2021-08-06', '53', '2.13', '-14.73', 28, '32', '0.7', '1.91', '3', '7', 816, -475, '17', '36', '21.92']
['ETH-USDT', '30m', '2021-07-13', '2021-08-12', '55', '35.84', '-14.73', 3584, '33', '4.2', '243.28', '3', '7', 3098, -314, '18', '37', '55.64']
['ETH-USDT', '30m', '2021-08-09', '2021-09-08', '63', '57.55', '-7.7', 21009, '22', '4.68', '2726.96', '2', '11', 3784, -264, '14', '49', '13.77']
['ETH-USDT', '30m', '2020-07-28', '2020-08-27', '59', '-9.22', '-10.33', -68, '22', '-1.87', '-6.58', '2', '8', 546, -248, '13', '46', '19.22']
['ETH-USDT', '30m', '2020-04-05', '2020-05-05', '67', '-3.3', '-25.01', -33, '24', '0.32', '-1.31', '3', '11', 2315, -1153, '16', '51', '43.09']
['ETH-USDT', '30m', '2020-12-21', '2021-01-20', '50', '13.44', '-20.53', 342, '26', '1.74', '16.64', '3', '7', 3259, -424, '13', '37', '114.61']
['ETH-USDT', '30m', '2020-05-18', '2020-06-17', '68', '-13.15', '-20.74', -81, '19', '-2.38', '-3.9', '3', '19', 729, -357, '13', '55', '13.51']
['ETH-USDT', '30m', '2021-03-17', '2021-04-16', '65', '56.56', '-5.31', 19505, '29', '7.13', '3673.0', '5', '13', 2871, -338, '19', '46', '38.91']
['ETH-USDT', '30m', '2020-09-27', '2020-10-27', '70', '-11.0', '-16.17', -75, '20', '-2.71', '-4.62', '2', '14', 620, -736, '14', '56', '10.81']
['ETH-USDT', '30m', '2021-01-23', '2021-02-22', '52', '41.27', '-12.91', 5742, '31', '4.43', '444.82', '2', '5', 3752, -466, '16', '36', '57.36']
['ETH-USDT', '30m', '2020-08-22', '2020-09-21', '68', '24.01', '-9.55', 1160, '26', '3.21', '121.41', '1', '8', 2447, -352, '18', '50', '-4.41']
['ETH-USDT', '30m', '2021-07-01', '2021-07-31', '52', '0.99', '-12.06', 12, '38', '0.49', '1.02', '4', '7', 646, -519, '20', '32', '8.48']
['ETH-USDT', '30m', '2020-05-15', '2020-06-14', '70', '-17.06', '-20.74', -89, '20', '-3.38', '-4.29', '3', '19', 504, -373, '14', '56', '16.91']
['ETH-USDT', '30m', '2020-08-30', '2020-09-29', '64', '42.93', '-7.42', 6604, '34', '5.3', '890.41', '2', '5', 2676, -316, '22', '42', '-11.26']
['ETH-USDT', '30m', '2020-10-13', '2020-11-12', '64', '-14.01', '-14.97', -83, '22', '-4.97', '-5.55', '3', '14', 355, -255, '14', '50', '19.75']
['ETH-USDT', '30m', '2020-10-17', '2020-11-16', '67', '-9.08', '-16.92', -67, '22', '-2.3', '-3.98', '3', '14', 389, -304, '15', '52', '22.62']
['ETH-USDT', '30m', '2020-09-02', '2020-10-02', '67', '27.54', '-7.42', 1653, '28', '3.73', '222.89', '2', '8', 2489, -294, '19', '48', '-26.0']
['ETH-USDT', '30m', '2021-04-21', '2021-05-21', '39', '3.28', '-17.74', 46, '15', '0.88', '2.61', '2', '17', 1319, -711, '6', '33', '18.41']
['ETH-USDT', '30m', '2021-06-28', '2021-07-28', '46', '10.16', '-10.87', 212, '39', '2.54', '19.55', '4', '7', 645, -518, '18', '28', '16.72']
['ETH-USDT', '30m', '2021-03-20', '2021-04-19', '60', '62.03', '-5.31', 29257, '32', '7.63', '5510.34', '5', '13', 2858, -336, '19', '41', '23.41']
['ETH-USDT', '30m', '2021-02-13', '2021-03-15', '52', '14.21', '-10.29', 378, '33', '2.06', '36.75', '3', '5', 2141, -428, '17', '35', '0.0']
['ETH-USDT', '30m', '2020-01-23', '2020-02-22', '68', '-14.47', '-15.6', -84, '22', '-3.88', '-5.39', '2', '8', 484, -300, '15', '53', '57.75']
['ETH-USDT', '30m', '2020-07-25', '2020-08-24', '54', '-9.4', '-10.35', -69, '22', '-1.97', '-6.64', '2', '8', 545, -247, '12', '42', '39.7']
['ETH-USDT', '30m', '2021-04-05', '2021-05-05', '64', '6.65', '-17.32', 114, '23', '1.41', '6.55', '3', '17', 974, -832, '15', '49', '55.92']
['ETH-USDT', '30m', '2020-05-26', '2020-06-25', '63', '-1.57', '-14.5', -17, '21', '-0.1', '-1.17', '3', '19', 821, -281, '13', '50', '15.0']
['ETH-USDT', '30m', '2020-12-15', '2021-01-14', '54', '-26.08', '-26.22', -97, '20', '-4.76', '-3.71', '3', '8', 1290, -418, '11', '43', '92.67']
['ETH-USDT', '30m', '2021-05-02', '2021-06-01', '31', '42.62', '-10.51', 6438, '29', '5.73', '612.69', '2', '10', 1556, -372, '9', '22', '-8.15']
['ETH-USDT', '30m', '2021-03-19', '2021-04-18', '60', '56.0', '-5.31', 18685, '32', '7.09', '3519.62', '5', '13', 2869, -337, '19', '41', '30.74']
['ETH-USDT', '30m', '2020-10-05', '2020-11-04', '69', '-9.16', '-18.39', -68, '23', '-2.08', '-3.68', '3', '14', 650, -771, '16', '53', '10.26']
['ETH-USDT', '30m', '2021-03-14', '2021-04-13', '71', '37.66', '-8.5', 4209, '25', '4.94', '495.38', '5', '14', 2653, -312, '18', '53', '11.3']
['ETH-USDT', '30m', '2020-08-17', '2020-09-16', '65', '27.91', '-10.61', 1714, '31', '3.62', '161.66', '2', '8', 2548, -367, '20', '45', '-16.35']
['ETH-USDT', '30m', '2021-03-20', '2021-04-19', '60', '62.03', '-5.31', 29257, '32', '7.63', '5510.34', '5', '13', 2858, -336, '19', '41', '23.41']
['ETH-USDT', '30m', '2020-03-10', '2020-04-09', '55', '61.47', '-13.49', 28100, '27', '4.57', '2082.69', '2', '7', 3148, -872, '15', '40', '-15.05']
['ETH-USDT', '30m', '2021-06-11', '2021-07-11', '46', '14.72', '-10.78', 404, '37', '2.21', '37.48', '4', '6', 1300, -643, '17', '29', '-14.51']
['ETH-USDT', '30m', '2021-08-10', '2021-09-09', '66', '69.68', '-7.7', 50450, '23', '5.36', '6548.5', '2', '11', 4832, -264, '15', '51', '10.76']
['ETH-USDT', '30m', '2020-01-13', '2020-02-12', '70', '-6.56', '-14.03', -55, '23', '-0.94', '-3.92', '2', '8', 896, -442, '16', '54', '61.59']
['ETH-USDT', '30m', '2021-05-06', '2021-06-05', '34', '30.75', '-10.1', 2249, '29', '4.49', '222.63', '2', '7', 1510, -602, '10', '24', '-23.81']
['ETH-USDT', '30m', '2020-09-04', '2020-10-04', '64', '18.18', '-7.42', 615, '28', '2.76', '82.91', '2', '8', 2305, -272, '18', '46', '-9.63']
['ETH-USDT', '30m', '2021-01-16', '2021-02-15', '47', '48.78', '-8.27', 10650, '28', '4.46', '1287.12', '2', '6', 3919, -463, '13', '34', '53.62']
['ETH-USDT', '30m', '2021-03-29', '2021-04-28', '57', '27.76', '-14.33', 1690, '30', '4.02', '117.89', '5', '13', 2559, -1052, '17', '40', '58.08']
['ETH-USDT', '30m', '2020-04-17', '2020-05-17', '66', '10.26', '-16.54', 216, '23', '1.77', '13.05', '2', '11', 1012, -326, '15', '51', '16.03']
['ETH-USDT', '30m', '2021-05-22', '2021-06-21', '41', '23.41', '-9.78', 1090, '37', '3.28', '111.45', '2', '4', 1469, -485, '15', '26', '-8.02']
['ETH-USDT', '30m', '2020-07-06', '2020-08-05', '64', '1.39', '-9.06', 18, '20', '0.58', '1.95', '3', '14', 651, -269, '13', '51', '71.08']
['ETH-USDT', '30m', '2020-04-16', '2020-05-16', '63', '13.47', '-16.54', 343, '24', '2.19', '20.71', '2', '11', 1012, -326, '15', '48', '29.05']
