Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	30m	'R<js+/0'	2021-09-12	2021-11-12	73	100	0	17.99	-4.44	164.88	29	3.31	3.46	37.1	3	9	721.67	-138.6	21	52	320.4	44.75
ETH-USDT	30m	'DAduF:U'	2021-09-12	2021-11-12	49	100	0	17.61	-4.33	159.83	24	5.23	3.43	36.89	2	7	804.84	-231.85	12	37	217.09	44.75
ETH-USDT	30m	'kd3EQJ]'	2021-09-12	2021-11-12	39	100	0	15.58	-3.72	134.51	31	4.98	3.15	36.14	2	8	700.17	-210.35	12	27	172.21	44.75
ETH-USDT	30m	'kd3EoM]'	2021-09-12	2021-11-12	39	100	0	15.58	-3.72	134.51	31	4.98	3.15	36.14	2	8	700.17	-210.35	12	27	172.21	44.75
ETH-USDT	30m	'vd2poL_'	2021-09-12	2021-11-12	40	100	0	15.36	-3.72	131.9	30	4.81	3.11	35.44	2	8	696.17	-198.6	12	28	176.17	44.75
ETH-USDT	30m	'vd3EoJ_'	2021-09-12	2021-11-12	40	100	0	15.14	-3.72	129.33	30	4.69	3.06	34.74	2	8	696.17	-209.49	12	28	176.11	44.75
ETH-USDT	30m	'vd3EoM_'	2021-09-12	2021-11-12	40	100	0	15.14	-3.72	129.33	30	4.69	3.06	34.74	2	8	696.17	-209.49	12	28	176.11	44.75
ETH-USDT	30m	'vd3poL_'	2021-09-12	2021-11-12	40	100	0	15.14	-3.72	129.33	30	4.69	3.06	34.74	2	8	696.17	-209.49	12	28	176.11	44.75
ETH-USDT	30m	'vd3soK_'	2021-09-12	2021-11-12	40	100	0	15.14	-3.72	129.33	30	4.69	3.06	34.74	2	8	696.17	-209.49	12	28	176.11	44.75
ETH-USDT	30m	'kd3so5]'	2021-09-12	2021-11-12	55	100	0	14.65	-4.16	123.67	27	3.7	2.96	29.73	2	4	829.23	-148.66	15	40	239.14	44.75
ETH-USDT	30m	'pX3Eo\\]'	2021-09-12	2021-11-12	34	100	0	14.22	-4.73	118.69	32	3.23	2.87	25.11	1	7	735.94	-207.76	11	23	148.47	44.75
ETH-USDT	30m	'ke3Eo\\]'	2021-09-12	2021-11-12	34	100	0	14.22	-4.73	118.69	32	3.23	2.87	25.11	1	7	735.94	-207.76	11	23	148.47	44.75
ETH-USDT	30m	'kb3Eo\\]'	2021-09-12	2021-11-12	34	100	0	14.22	-4.73	118.69	32	3.23	2.87	25.11	1	7	735.94	-207.76	11	23	148.47	44.75
ETH-USDT	30m	'k[3Eo\\]'	2021-09-12	2021-11-12	34	100	0	14.22	-4.73	118.69	32	3.23	2.87	25.11	1	7	735.94	-207.76	11	23	148.47	44.75
ETH-USDT	30m	'ps3Eo\\]'	2021-09-12	2021-11-12	34	100	0	14.22	-4.73	118.69	32	3.23	2.87	25.11	1	7	735.94	-207.76	11	23	148.47	44.75
ETH-USDT	30m	'pw3Eo\\]'	2021-09-12	2021-11-12	34	100	0	14.22	-4.73	118.69	32	3.23	2.87	25.11	1	7	735.94	-207.76	11	23	148.47	44.75
ETH-USDT	30m	'vdJpoL]'	2021-09-12	2021-11-12	39	100	0	14.13	-4.6	117.7	31	3.81	2.83	25.58	2	8	700.17	-316.67	12	27	171.71	44.75
ETH-USDT	30m	'vdOpoL\\'	2021-09-12	2021-11-12	39	100	0	14.13	-4.6	117.7	31	3.81	2.83	25.58	2	8	700.17	-316.67	12	27	171.71	44.75
